en_text,jp_text,google_translated,score,semantic_score
I don't want to let you go again.,もう君を放したくない,I do not want to release you anymore,0.38461538461538464,0.5778949
Don't say a word...,何も言わないで,Do not say anything,0.25,0.41884142
Why?,どうして,why,0.5,0.8013931
This is a love that cannot be.,叶わぬ恋だから,Because it is love to come true,0.14285714285714285,0.32892776
Because I am the son of the Montague House and you are the daughter of the Capulet House?,僕がモンタギュー家の息子で、君がキャピュレット家の娘だから,"Because I am a son of Montigue home, because you are a capillary girl",0.35,0.59328705
Yes.,うん,Yes,0.5,0.836856
"But to me, you are Juliet.",でも、僕にとって、ジュリエットはジュリエットだから,"But for me, Juliet is Juliet",0.4,0.85856885
Don't misunderstand.,勘違いしないで、前にあなたのシャツ燃やしちゃったから,"Don't misunderstand, before you burned your shirt before",0.3,0.45269668
"But I'm not very good at it, and it looks awful...",でも、こういうこと得意じゃなくて、下手くそで,"But I'm not good at this, not good",0.5,0.526706
"So, this is...",だから、これは…,So this is ...,0.8,0.9379712
Farewell!,さよなら,Goodbye,0.0,0.7830003
Wait!,待って,hang on,0.0,0.23915736
Juliet!,ジュリエット,Juliet,0.5,0.89496535
These are the blessings of the Goddess.,女神のご加護,Goddess of Goddess,0.2857142857142857,0.5723805
"Thank you, Friar.",ありがとう、神父様,Thank God Father,0.14285714285714285,0.39425153
What a sly old weasel.,とんだ狸神父ですよ,It is a father who is Tonishi,0.09090909090909093,0.06335604
He's also the one who informed us about the Red Whirlwind.,赤い旋風の情報を流したのも、あいつです,It is also true that the red whirlwind information was flowed,0.21052631578947367,0.69698775
This will be of great help.,憲兵団の安月給じゃ、ロクな楽しみも買えんだろう,"If you save the Masayuki of the Corps, you will also buy a good fun",0.10526315789473684,0.14618708
There!,そこ,There,0.5,0.79745114
Let me see.,見せて,show me,0.2,0.4787605
What's wrong?,ちょっと、酷いじゃない,It's not terrible,0.14285714285714285,0.25767615
"You are acting strangely today, Odin.",今日のオーディン、何か変よ,"Today's Odin, something strange",0.2727272727272727,0.79908115
Truly?,本当に,very,0.0,0.34142974
I'm all right. Don't worry yourself over me.,大丈夫、心配しないで,"Okay, don't worry",0.2307692307692308,0.513088
