en_text,jp_text,google_translated,score,semantic_score
"All right, one final spurt!",しゃっ　ラストスパート！,Sharst Spart!,0.1111111111111111,0.2717362
I came face to face with my destiny.,《俺は　運命と出合った》,"""I got fate and meeting""",0.07142857142857142,0.43169886
See you later! amber concerto,いってきま～す。,I will come.,0.0,0.22718193
You're delivering papers now?,あれ　倫也君。 今度は新聞配達かい？→,"Oh, Iyuya.This time is newspaper delivery?→",0.07142857142857142,0.44591492
What happened to your other job?,前　やってたバイトは どうしたの？,What happened to the previous byte?,0.4,0.32476372
I've just taken on a morning job as well now.,朝のバイトを　増やしただけ。,Just increasing the morning byte.,0.2,0.4017311
"After all, I've given myself a goal to pursue now.",大丈夫。　だって　俺 でっかい目標ができたんだ。,fine.Because I was able to do a big goal.,0.2777777777777778,0.28832674
So I've got no time to hang around and dawdle!,だから　今は　立ち止まってる 暇なんか　ないんだよ！,So now there is no spare time to stop!,0.29411764705882354,0.47292268
Morning!,おはよう。,good morning.,0.25,0.6844223
"Hey, look at that.",ねえ　ほら　見て。 私たち　同じ　Ｇ組だよ。,Hey look.We are the same G group.,0.16666666666666666,0.31278366
"O-Oh, we are too.",そっ　そうね。,That's right.,0.1111111111111111,0.1701769
"Let's have a good year together, then.",これから　１年間　よろしくね。,Come on a year from now on.,0.21428571428571427,0.44371754
"Huh? Oh, it's nothing.",澤村さん？ えっ？,Mr. Sawamura?eh?,0.09090909090909093,0.13715899
Looks like we're in the same class again this year!,ことしも　同じクラスだな。,This is the same class.,0.2857142857142857,0.5371735
"Oh, please. With what?  You doing a winter anime roundup?",何だよ。　冬アニメの総評か？,What.Nostalbs of winter animation?,0.125,0.55095863
Or are you reviewing March's light novels?,それとも　３月売りラノベの レビューか？,Or is it a review of Ranobe sold March?,0.1875,0.52165973
I finished all of that ages ago.,そんなの　とっくに終わってる。,It's been over that.,0.16666666666666666,0.19154371
"light novels within three days of publishing,",ラノベなら　発売３日以内。 ゲームなら　１週間以内。,Within 3 days of launch in Ranobe.If it is a game within one week.,0.15789473684210525,0.2832948
"What are you working on now, then?",で　結局　何やってんだよ？ フッ　これはな…。,"After all, what do you do?This is ....",0.25,0.289286
What you see here is a mission  of the utmost importance.,あっ。 とても重要な　ミッションなんだ。,Ah.It's a very important mission.,0.1875,0.69104594
"Half-Japanese, wealthy,  and daughter of an English diplomat.",父親が　イギリス外交官の ハーフお嬢さま。→,My father is a Half mother of the UK diplomat.→,0.05263157894736842,0.6584027
"Plus, she's the art club's super ace, being accepted into the municipal art exhibition right after enrolling here!",しかも　入学して　すぐに 市の展覧会で入選した→,"Moreover, I entered the city's exhibition immediately after entering →",0.19230769230769232,0.40334445
You still haven't let go of 3D girls?,まだ　３次元に　未練があるのかよ。,It is still unlocked in three dimensions yet.,0.05555555555555555,0.4389862
Even after my efforts through all of  first year to get you to fixate on 2D girls.,俺が　１年かけて ２次元に　はめてやったってのに。,I said that I fell in two dimensions over a year.,0.07692307692307693,0.32463217
She's a fair skinned half-Japanese!,色白！　ハーフ！　金髪！ ツインテール！→,Voltage!Half!Blonde!Twin tail!→,0.07692307692307693,0.29568902
She's a moe heroine with ticks  in every box on the 2D checklist!,２次元的記号だらけの 萌えヒロインじゃないか。,Isn't it a two-dimensional symbol full of moe heroine?,0.13043478260869565,0.5811303
3D girls are way too much trouble.,３次元ってのはな もっと　めんどくさいんだよ。,It is more than 3 dimensional.,0.07142857142857142,0.3542574
"Hey, Tomoya, aren't you coming  to the opening ceremony?",おい　倫也。 始業式　出ないのかよ。,Your good morning.Do you not start the opening ceremony.,0.2222222222222222,0.67852426
Sorry. I'll catch up with you later.,悪い。 ちょっと　先　行っててくれ。,bad.Please go ahead.,0.08333333333333333,0.27961385
"That was careless, Eriri.",≪うかつだったな　英梨々。 うっ！,«か か 英 梨 梨.Uh!,0.0,0.020342855
"Well, online retailers did stop  taking orders quite a while ago.",まあ　通販サイトは　だいぶ前に 注文　締め切ってたしな。,"Well, the mail order site is just before the order was closed.",0.13636363636363635,0.4994166
Be grateful I placed orders at all the shops selling exclusives as soon as they started taking pre—,予約開始の日に 特典の付く　全部のショップで→,In all the shops with benefits on the date of reservation → →,0.12,0.43904573
That's what you have to say to the guy who lugged  five 1.8kg boxes around Akiba for you on release day?,発売日に　重さ　１．８ｋｇの ボックスを　５つ　抱えて→,Hold five 1.8 kg boxes on the release date →,0.19230769230769232,0.5882744
"I let you take the bonus wall scroll, didn't I?",特典タペストリーは あんたに渡したでしょ。,Benefits Tapestry passed to you.,0.05882352941176471,0.25594223
"Anyway, why did you come over to Class G?",だいたい Ｇ組まで　何しに来たのよ。,What did you come to G-set?,0.38461538461538464,0.55744106
They were only announced today.,今日　発表だったのに。 うっ…。,It was announced today.Uh ...,0.1,0.7580907
"If that's all you came to say, I'm leaving!",用がないなら　もう　行く！,If there is no use!,0.1176470588235294,0.28011277
I have something important to discuss.,待ってくれ！ 大事な話があるんだ。,Wait please!I have an important story.,0.3333333333333333,0.4445326
It's now or never.,今じゃなきゃ　駄目なんだ。,I have to do it now.,0.3,0.2598011
Please.,頼むよ。,please.,1.0,1.0000001
"And how exactly does someone arrive at such a  nonsensical, stupid, and downright pathetic idea?",何が　どうなったら そういう意味不明で　バカげた→,What happened if what happened and stupid →,0.1,0.30718783
"You see, I had this life-changing event last week!",実はな　先週　すげえイベントが 起こったんだよ！,Actually I had a wonderful event last week!,0.42857142857142855,0.7434702
I felt the hand of something at work that day.,そのとき　俺　運命っていうか 天啓っていうか→,"At that time, I say that I'm going to be a destiny →",0.14285714285714285,0.12966551
"It may have been fate, or a divine revelation!",そういうものを感じたっていうか。,I felt that kind of thing.,0.0,0.2485331
It's just like in a girls' manga  or a romance anime!,まるで　少女漫画か 恋愛アニメか→,Girl cartoon or love animation →,0.05555555555555555,0.4328895
"Yeah, sounds like something well  worn out I've seen a million times.",そうね　何度も見た 使い古されたイベントね。,"Yes, the used events you saw many times.",0.13636363636363635,0.24507596
"Well, winning formulas work  because people love them.",王道は　面白いから　王道なんだよ。,The royal road is a royal road because it is interesting.,0.1176470588235294,0.099941865
So I just had to express  what I felt at that moment.,だから　俺　あのときの感動を どうしても表現したくて…。,So I really want to express I'm feeling I'm feeling ....,0.29411764705882354,0.53455204
You want to base a game on this  chance encounter you had with that girl?,その女の子との出会いを ゲームにしようって？,Do you want to meet the girl with the girl?,0.3333333333333333,0.6012209
That's right. This is actually my first time in town...,あのとき　俺の脳内に→,At that time in my brain →,0.25,0.08110731
Mystery Girl,あのとき　俺の脳内に→,At that time in my brain →,0.0,0.1432631
"When I saw her, game dialogue, visuals,  and music started flooding through my mind.",あのとき　俺の脳内に→,At that time in my brain →,0.045454545454545456,0.33500844
That's how I knew.,それで分かったんだ！,So I understand!,0.1111111111111111,0.37914124
"How about instead, you find her  and tell her how you feel?",どうして　その子を探し出して 告白するって流れにならないの？,Why not find out that child and confess?,0.17647058823529413,0.21416919
Why would I profess feelings to some 3D girl?,えっ？　何で　３次元の女子に 告白しなきゃならないんだ？,eh?Why don't she have to confess to a 3D girl?,0.29411764705882354,0.6138464
And so now you want to drag me into your  little masturbatory fantasy because... why exactly?,それで？ その　あんたのオナニーに→,So?To the masturbation of her child →,0.125,0.40964887
Because you're the best illustrator I know of!,そりゃ　俺の知るかぎりじゃ→,That's why I know it →,0.13333333333333333,0.2513854
"By day, you may be the star of the  Toyogasaki Art Club, Sawamura Spencer Eriri.",豊ヶ崎学園　美術部　エース 澤村・スペンサー・英梨々。,"Toyogasaki Gakuen Art Club Ace Sawamura, Spencer, Hikari.",0.3684210526315789,0.67058694
"But by night, you're a member of ""egoistic lily"",  the super-popular 18+ doujin circle,",その正体は　隠れオタクにして 超人気　１８禁同人作家。,The correct body is a hidden nerd and super popular 18 prohibited same person writer.,0.0625,0.18386519
How many times have I told you not to utter that name on school grounds?!,学校内で　その名前を出すなって 言ってるでしょ！,I'm saying that the name is given in the school!,0.21739130434782608,0.5918754
I'm definitely gonna become  president of a game company one day!,《俺　いつか　必ず ゲーム会社の社長になる》→,"""I will be the president of the game company someday"" →",0.2380952380952381,0.783718
"And when I do, I'll come and hire you!",《そして 英梨々を迎えに行くから》,"""And I'm going to pick up a habit",0.1111111111111111,0.2617685
why don't you just do the  illustrations and scenario yourself?!,自分で　絵とシナリオ　かいて 作ればいいじゃない！,You should make pictures and scenarios yourself!,0.25,0.6663984
Isn't that the doujin way?!,そういうのが　同人活動でしょ？,That's why is it the same person's activity?,0.2857142857142857,0.21215205
She wore a white one-piece  dress and a white beret.,白いワンピースに　白いベレー。,White Beret on a white dress.,0.5,0.7953854
"That fleeting glimpse  of her standing atop the hill,",風に舞う　桜の花びらに彩られ→,Color of cherry blossom petals dancing in the wind →,0.1111111111111111,0.22978333
colored by cherry blossoms  dancing in the breeze...,坂の上に立ち尽くす彼女の はかない姿。,A figure that is not she standing up above the slope.,0.05,0.11528977
That doesn't tell me a damn thing  about what she looks like.,それ　全然　顔のこと 触れてないじゃない。,It doesn't have to touch the face at all.,0.13636363636363635,0.23410651
To even attempt to would demean her.,そんなの 彼女を　おとしめることになる。,I will leave her.,0.2,0.22388414
That's why I need the power of your illustrations!,だからこそ　英梨々の イラストの力が必要って…。,That's why I need the power of the illustration of the hairdress ....,0.5333333333333333,0.60149634
Your way of thinking is warped in the first place.,あんた　最初から 考え方が　ゆがんでるのよ。,The way of thinking is distorted from the beginning.,0.42857142857142855,0.6356773
I never expected to hear that from a pornographic doujinshi artist.,エロ同人誌　描いてるお前に→,I'm drawing Erotic Doujinshi →,0.125,0.58428866
That tells me you aren't serious about this at all.,全然　本気が感じられない。,I can not feel serious at all.,0.25,0.6472843
You're just like a con man claiming to be a producer who just wants to kick back and enjoy the profits.,とにかく 楽して　もうけたいっていう→,"Anyway, I enjoy it",0.04166666666666666,0.23956364
I'm nothing like those half-hearted types!,俺は　そんな いいかげんな人種とは　違う！,I'm different from such a good guy!,0.21428571428571427,0.31585386
I'm the only man who can bring this project proposal to fruition!,だから　この企画を実現できるのは俺しか…。,So I can realize this project ....,0.2222222222222222,0.4325181
