en_text,jp_text,google_translated,score
"Congratulations on your graduation,",卒業おめでとうございます,Congratulations graduation,0.4
e,繰り返しの毎日に,Every day of repetition,0.0
r,繰り返しの毎日に,Every day of repetition,0.0
h,繰り返しの毎日に,Every day of repetition,0.0
p,繰り返しの毎日に,Every day of repetition,0.0
a,繰り返しの毎日に,Every day of repetition,0.0
t,繰り返しの毎日に,Every day of repetition,0.0
I,繰り返しの毎日に,Every day of repetition,0.0
て,繰り返しの毎日に,Every day of repetition,0.0
く,繰り返しの毎日に,Every day of repetition,0.0
c,繰り返しの毎日に,Every day of repetition,0.0
o,繰り返しの毎日に,Every day of repetition,0.0
l,繰り返しの毎日に,Every day of repetition,0.0
u,繰り返しの毎日に,Every day of repetition,0.0
i,繰り返しの毎日に,Every day of repetition,0.0
n,繰り返しの毎日に,Every day of repetition,0.0
し,繰り返しの毎日に,Every day of repetition,0.0
g,繰り返しの毎日に,Every day of repetition,0.0
d,繰り返しの毎日に,Every day of repetition,0.0
y,繰り返しの毎日に,Every day of repetition,0.0
s,繰り返しの毎日に,Every day of repetition,0.0
w,繰り返しの毎日に,Every day of repetition,0.0
出,繰り返しの毎日に,Every day of repetition,0.0
shi,繰り返しの毎日に,Every day of repetition,0.0
ni,繰り返しの毎日に,Every day of repetition,0.0
pa,繰り返しの毎日に,Every day of repetition,0.0
re,繰り返しの毎日に,Every day of repetition,0.0
to,繰り返しの毎日に,Every day of repetition,0.0
de,繰り返しの毎日に,Every day of repetition,0.0
ro,繰り返しの毎日に,Every day of repetition,0.0
chi,繰り返しの毎日に,Every day of repetition,0.0
ku,繰り返しの毎日に,Every day of repetition,0.0
ri,繰り返しの毎日に,Every day of repetition,0.0
ka,繰り返しの毎日に,Every day of repetition,0.0
wo,繰り返しの毎日に,Every day of repetition,0.0
no,繰り返しの毎日に,Every day of repetition,0.0
ma,繰り返しの毎日に,Every day of repetition,0.0
da,繰り返しの毎日に,Every day of repetition,0.0
に,繰り返しの毎日に,Every day of repetition,0.0
パ,繰り返しの毎日に,Every day of repetition,0.0
レ,繰り返しの毎日に,Every day of repetition,0.0
ッ,繰り返しの毎日に,Every day of repetition,0.0
日,繰り返しの毎日に,Every day of repetition,0.0
ト,繰り返しの毎日に,Every day of repetition,0.0
で,繰り返しの毎日に,Every day of repetition,0.0
色,繰り返しの毎日に,Every day of repetition,0.0
