en_text,jp_text,google_translated,score,semantic_score
"All that time, she,",いつだってあいつは,When is that,0.14285714285714285,0.25651348
"Well then, let's go to the circle together, Katou.",さっ　一緒にサークル行こうぜ　加藤,Let's go with the circle together Kato,0.42857142857142855,0.81713676
It appears you completely fell for my feigned sleep.,どうやら俺のたぬき寝入りに見事にだまされたようだな,Apparently I think that I was smiling to go to bed,0.0,0.34424487
"you say that, but you actually were asleep, weren't you, Aki-kun?",えっと　そう言いつつ本気で寝てたよね　安芸君,"While saying that it was rooked to sleep well, I was sleeping seriously",0.09090909090909093,0.4657675
I meant to just pretend to sleep at first!,最初は寝たふりだけのつもりだったんだよ,At first I was going to go to bed only,0.2857142857142857,0.54824835
t,繰り返しの毎日に,Every day of repetition,0.0,0.13272806
h,繰り返しの毎日に,Every day of repetition,0.0,0.12395534
e,繰り返しの毎日に,Every day of repetition,0.0,0.16249846
r,繰り返しの毎日に,Every day of repetition,0.0,0.19349079
p,繰り返しの毎日に,Every day of repetition,0.0,0.165074
a,繰り返しの毎日に,Every day of repetition,0.0,0.10852449
l,繰り返しの毎日に,Every day of repetition,0.0,0.16907358
u,繰り返しの毎日に,Every day of repetition,0.0,0.092930004
し,繰り返しの毎日に,Every day of repetition,0.0,0.08325223
て,繰り返しの毎日に,Every day of repetition,0.0,0.1020017
く,繰り返しの毎日に,Every day of repetition,0.0,0.14150615
I,繰り返しの毎日に,Every day of repetition,0.0,0.17571002
c,繰り返しの毎日に,Every day of repetition,0.0,0.12289583
o,繰り返しの毎日に,Every day of repetition,0.0,0.17235814
g,繰り返しの毎日に,Every day of repetition,0.0,0.1600927
i,繰り返しの毎日に,Every day of repetition,0.0,0.17571002
n,繰り返しの毎日に,Every day of repetition,0.0,0.15575068
d,繰り返しの毎日に,Every day of repetition,0.0,0.17729697
y,繰り返しの毎日に,Every day of repetition,0.0,0.15776326
s,繰り返しの毎日に,Every day of repetition,0.0,0.121325746
w,繰り返しの毎日に,Every day of repetition,0.0,0.1255736
出,繰り返しの毎日に,Every day of repetition,0.0,0.10012296
を,繰り返しの毎日に,Every day of repetition,0.0,0.15338275
ni,繰り返しの毎日に,Every day of repetition,0.0,0.058701683
pa,繰り返しの毎日に,Every day of repetition,0.0,0.08337467
re,繰り返しの毎日に,Every day of repetition,0.0,0.20231141
to,繰り返しの毎日に,Every day of repetition,0.0,0.17052922
de,繰り返しの毎日に,Every day of repetition,0.0,0.14628987
ro,繰り返しの毎日に,Every day of repetition,0.0,0.1677859
chi,繰り返しの毎日に,Every day of repetition,0.0,0.12706059
ku,繰り返しの毎日に,Every day of repetition,0.0,0.14401485
ri,繰り返しの毎日に,Every day of repetition,0.0,0.12770976
ka,繰り返しの毎日に,Every day of repetition,0.0,0.18366598
shi,繰り返しの毎日に,Every day of repetition,0.0,0.14471146
no,繰り返しの毎日に,Every day of repetition,0.0,0.12930167
ma,繰り返しの毎日に,Every day of repetition,0.0,0.13643649
wo,繰り返しの毎日に,Every day of repetition,0.0,0.14410855
da,繰り返しの毎日に,Every day of repetition,0.0,0.17236598
日,繰り返しの毎日に,Every day of repetition,0.0,0.35455817
に,繰り返しの毎日に,Every day of repetition,0.0,0.14710912
パ,繰り返しの毎日に,Every day of repetition,0.0,0.13305102
レ,繰り返しの毎日に,Every day of repetition,0.0,0.10892261
ッ,繰り返しの毎日に,Every day of repetition,0.0,0.18312885
ト,繰り返しの毎日に,Every day of repetition,0.0,0.2131157
で,繰り返しの毎日に,Every day of repetition,0.0,0.102001674
色,繰り返しの毎日に,Every day of repetition,0.0,0.14637543
毎,繰り返しの毎日に,Every day of repetition,0.0,0.14637543
te,繰り返しの毎日に,Every day of repetition,0.0,0.12484557
繰,繰り返しの毎日に,Every day of repetition,0.0,0.14637543
り,繰り返しの毎日に,Every day of repetition,0.0,0.15598963
返,繰り返しの毎日に,Every day of repetition,0.0,0.14637543
の,繰り返しの毎日に,Every day of repetition,0.0,0.13084161
b,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.08400843
z,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.1518458
k,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.16498916
yo,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.17532378
ke,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.17451935
nu,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.17953987
ki,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.14788607
fu,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.27221602
ga,そよ風が吹き抜けてくように,Let's blow through the wind,0.0,0.09385336
