en_text,jp_text,google_translated,score
"Warning
Dear Viewers Sitting in Front of the Television,","（神山(かみやま)）前略
テレビの前の視聴者様",")
Viewer in front of TV",0.23076923076923078
Do not imitate! Or this will happen!,"このアニメのマネは
しないでください","The mane of this animation is
please do not",0.21428571428571427
Shooting Star Press,〜♪,~ ♪,0.0
There's trouble! Aliens came out of it!,（仲買人Ａ）相変わらず精が出るね,"As usual, it will come out",0.14285714285714285
They're coming down this way.,"（ナレーション）
ここは東京の台所 築地(つきじ)魚河岸(うおがし)",This is Tokyo Kitchen Tsukiji  fish riverbank,0.07692307692307693
Aliens...,"（仲買人Ａ）おはよ〜っす
（仲買人Ｂ）おう",Good morning ~,0.0
Now we'll introduce ourselves.,"（仲買人Ｂ）
ああ 貧乏暇なしってやつさ
ハッハッハ","Oh no poverty
Hackha",0.0
Who are you?,どうだい 買わねえか？,How do you buy it?,0.25
"I'm a pitiful man who's lost the timing
to introduce himself for a variety of reasons.",近海もののマダイだぜ,It's a madai of the sea,0.19047619047619047
"Then I'll tell you, alien. My name is...","まいったな
ゴリさんは目が肥えてっからよ","I'm sorry
Gori is from the eye",0.1111111111111111
What did they come here for?,"（仲買人Ｃ）えっ… あっ
どうしたい？　ゴリさん","Eh ...
What do you want?Gori",0.15384615384615385
I couldn't say my name...,"しょうがねえや
それ持っていきな","Ginger hey
I do it",0.09090909090909091
Can I talk to you for a moment?,また いいの持っていかれちまう,I have a good deal again,0.15384615384615385
"Listening to your conversation with the alien,
I reflected on my actions.",将来が楽しみだ,I look forward to the future,0.17647058823529413
Really?,"（仲買人Ａ）誰っすか あれ
（仲買人Ｂ）ん？　ああ","Someone
? Ah",0.25
"There's trouble! The aliens took
Freddie by mistake!","そろそろ ゴリに
賄いでも作らせてみるかなってよ","It's almost time to go
I will try to make it by meals",0.1
My... My name is...,しっかりしたヤツだぜ,It is a solid guy,0.125
"That's a rep from Hokkaido,
Bear Killer Kashiwabara!","（若衆Ａ）お〜 なんだ お前
内緒(ないしょ)で 賄い作ったのか","Oh, you are
Did you make a meal with secret",0.10526315789473684
They said that he can talk with bears!,うん いける！,!,0.1111111111111111
All right! Let's meet in the finals!,どんな料理でも基本は同じ,The basics are the same in any dish,0.14285714285714285
What? What did we talk about those guys for?,"余りものの素材を
うまく生かしたな","Material of remainder
I did well",0.07142857142857142
We will now start the Japan Boss Championship.,"（若衆Ｂ）いえ ですから
店主は 今 おりませんから",Because the shopkeeper has not now,0.15384615384615385
"Then, here is the first question.","上手なヤツってのは
何作らせたって うまいんだ","The good guy is
What I made",0.15384615384615385
