en_text,jp_text,google_translated,score
Eat up.,たんと食えよ,Early eating,0.0
Prototype 1,超大作だな,It is super big work,0.0
Prototype 2,超大作だな,It is super big work,0.0
Prototype 3,超大作だな,It is super big work,0.0
She must have quite the masterpiece in store.,超大作だな,It is super big work,0.0
She was up late last night working on these.,美咲先輩、夕べは遅くまで頑張れてたもんな,"Misaki senior, the evening was late until late",0.125
Today is Valentine's Day.,今日はバレンタイン,Today is Valentine,0.5
I'll be going now.,行ってきます,I'm going,0.2857142857142857
Take care!,青山、行ってらしゃい,"Aoyama, I'm going to go",0.0
Right!,うん,Yes,0.0
...the day of Aoyama's audition.,青山のオーディションの日,Aoyama audition day,0.375
"Seeing as Nanohana-sou's so popular at the moment,",近頃、なのはな荘の人気も上がっているし,"Nowadays, the popularity of Nanoha Sanso is rising",0.11764705882352941
"Monochrome may be avant-garde and all, but no!",黄色？一色なんだあばんぎゃるたけどダメよ,"yellow?It's one color, but I'm sorry",0.10526315789473684
This is the front cover! We need to battle for attention!,表紙なのよ、勝負なの,"Cover, it is a match",0.125
Battle...,勝負、うん,"Famage, Yeah",0.0
"""Take care?"" That's the best I could come up with?",何て、行ってらしゃだけ何だよ,What's just like going,0.05555555555555555
I should have sent her off with something more thoughtful!,もっと昨日聞いたこと行って送りだせい俺,I heard more yesterday and I'm going to send me,0.10526315789473684
Shiina! It's about time you got u—,椎名、そろそろ起き,"Shiina, soon",0.09090909090909091
"Shiina, you got ready all by yourse—",椎名、お前、自分で準備,"Shiina, you are preparing yourself",0.2727272727272727
"Well, they don't automatically pair up, you know!",それは自動的ペーアで行動するものじゃないからだ,It's not something that acts with automatic peak,0.0
"Wait, you're not going commando under that skirt, are you?",お前、スカートの中真空とスデイルだったりしないよね,You won't be the sky and Sudale in the skirt,0.1
"All right, let me see what you've packe—",じゃ、カバンの中も見せ,Well then show me inside the bag,0.0625
You want to rummage through a girl's bag? You're despicable!,女の子のカバンを調べるなんて最低よ,It is the lowest to check the girl's bag,0.2222222222222222
Huh? What if you've forgotten to pack somethin—,何だよ、それ,"What is it, that",0.07142857142857142
"Battle? as much as i'd like to spend time catching up with mashiro, that's going to have to wait.",真白との再会をゆっくり楽しみたいのですが,I want to enjoy the reunion with me,0.11538461538461539
"Now then, I shall be off!",では、行って参ります,"Well, I will go",0.18181818181818182
Morning!,かっこいいね,Cool,0.0
V,かっこいいね,Cool,0.0
l,かっこいいね,Cool,0.0
',かっこいいね,Cool,0.0
D,かっこいいね,Cool,0.0
y,かっこいいね,Cool,0.0
I,かっこいいね,Cool,0.0
A,かっこいいね,Cool,0.0
It's so cold!,かっこいいね,Cool,0.0
b,かっこいいね,Cool,0.0
h,かっこいいね,Cool,0.0
C,かっこいいね,Cool,0.0
c,かっこいいね,Cool,0.0
"Aoyama, I thought you had an audition to go to?",青山、お前オーディション行ったんじゃなかったのか,"Aoyama, I did not go audition",0.38461538461538464
"I'll still make it even if I leave after class,",授業終わってからでも間に合うから,Because it will be in time after the class is over,0.15789473684210525
Um... sorry.,その、悪い,That's bad,0.0
It's fine. i wasn't expecting any amazing pep talk from you.,大丈夫、神田君から上手な励ます何て期待してないから,"Okay, Kanda-kun's good encourage so I do not expect",0.08695652173913043
Besides... you've already given me a lot of courage. dad,それに、神田君には勇気をもらったから,"Besides, Kanda-kun got courage",0.125
I heard that your audition's today!,聞いたぞ、今日オーディションだって,"I heard, it is audition today",0.36363636363636365
"Come on Miyahara-kun, you're making too big of a deal out of it.",もう、宮原君、大げさだって,"Anyway, Miyahara-kun, it is great",0.16666666666666666
"All right, good luck!",じゃ、頑張ってな,"Well, do my best",0.1
"The word ""chocolate"" originates chocolate",チョコレートの語源はね,The word sources of chocolate,0.375
"from the Aztec word ""xocolatl"", which means ""bitter water"".",もっともっとはメキシコシティの苦い水と言う意味を,Meaning of the bitter water of Mexico City more,0.16666666666666666
Shiina Mashiro,ほうかご、おくじょうでまつてる,"Hodakagu, I'm sorry",0.0
I'll be waiting  on the roof after school.,ほうかご、おくじょうでまつてる,"Hodakagu, I'm sorry",0.07142857142857142
I'll be waiting on the roof after school.,ほうかご、おくじょうでまつてる,"Hodakagu, I'm sorry",0.07142857142857142
"So you shouldn't give chocolate to the person you like, okay?",ほうかご、おくじょうでまつてる,"Hodakagu, I'm sorry",0.058823529411764705
Does this mean that...,やっばり、これで,"After all, this",0.125
"Shiina, are you going to give me chocolate?",椎名、俺にチョコくれるつもりなのか,"Shiina, I'm going to chocolate",0.4166666666666667
Give it up already!,いい加減に諦めろう,Let's give up with good,0.2222222222222222
"What is it that you don't like about me, Ryuunosuke?",龍之介は私の何が気にいらないですか,How do you feel about Ryunosuke?,0.25
"Everything! anyway, would you accept my chocolate?",とにかく、チョコは受け取ってもれいます,"Anyway, chocolate receives it",0.25
Could you not make me out to be a terrorist?,人をてろりすとみたいに言わないでください,Please do not say that people are trillary,0.05555555555555555
That's exactly what you are!,むしろそのものだ,Rather the,0.0
On Christmas Eve...,クリスマスイプ、メールをもらえて,"Crisma Sipe, Get Mail",0.0
I was extremely happy to receive your email.,とてもうれしかったのですが,I was very happy,0.3
"Japanese people are big on formalities, you know.",日本人は理事儀だからな,Japanese people are a board of directors,0.21428571428571427
"All right, that'll be all for today.",はい、今日はここまで,"Yes, today",0.2
"I'm treated like a slave at Sakura-sou, and school doesn't seem to be any different.",さくら荘でもこき使われ,Sakuraso is also used,0.0
"Seniors don't have to attend classes, but Souichirou-kun promised to bring him here.",三年は自由登校だが,Three years are free school,0.0
The student council president? yup! that's why i'm waiting here.,そう、だからここで待ってるの,"Yes, so I'm waiting here",0.2222222222222222
"Those chocolates are quite small compared to the prototypes, though.",なるほど、でも、いろいろ作ったみたいなのに,"I see, but I want to make various things",0.10526315789473684
"Give them to him, Misaki-senpai. I'm cheering for you.",渡してください、美咲先輩,"Please pass, Misaki senior",0.0625
"You have a very kind junior, Misaki.",美咲はいい後輩を持ったな,Misaki has a good junior,0.2727272727272727
There we go.,よし,Good,0.0
I wonder if Shiina's already waiting for me.,椎名、待ってるかな,"Shiina, I wonder if I'm waiting",0.4166666666666667
Incoming Call... Aoyama Nanami,青山、もしもし,"Aoyama, Moshi",0.14285714285714285
I'm sure they'll understand once you explain the situation!,事情言えば、分かってくれるだ,"Speaking of circumstances, I understand",0.125
"All right, wait for me outside the turnstiles!",じゃ、階段出たところで待ってろ,"Well, wait in the place where the stairs appeared",0.1875
I'm coming right now!,今すぐ行く,Go now,0.14285714285714285
"Shiina, I'm sorry, I'll be late—",椎名、悪い、ちょっと遅れ,"Shiina, bad, a little delay",0.16666666666666666
Please leave a message after the tone.,発信音の後に、メッセージをどうぞ,"After the outgoing tone, please click on the message",0.4166666666666667
"Dude, that was close! oh, it's you, sorata.",危ない,Dangerous,0.0
"Miyahara, I can swap places with you.",宮原、もう変わるから,"Miyahara, it changes",0.18181818181818182
I ain't so soft! i'll show you the power of love!,なめんな、愛の力を思い思いしれ,I think about the power of love,0.3333333333333333
I'm finished!,限界、バトン駄賃だ,"Limit, Baton Hall",0.0
Correction... It's the power... of the loser's love...,訂正、負け犬の愛の力,"Correction, losing dog love power",0.25
Thanks!,ありがとう,Thank you,0.0
'Cause you're the one Nanami called in her time of need!,七海が最大のピンチに電話してきたのは,The Nanami calls the biggest pinch,0.125
"Aoyama! Take this and get a taxi, quick!",青山、これで急ぎで,"Aoyama, with this hurry",0.25
I won't let you give up here!,こんなところで一人降りるなんて,I'm getting down one person like this,0.0625
"Take me there, Kanda-kun! To the audition!",連れて行って神田君　オーディション会場に,Take it to Kanda-kun audition hall,0.36363636363636365
I have to catch my flight.,もう飛行機の時間です,It is already the time of the plane,0.0
"Though I really didn't have the time, I just had to see you today.",本当に時間はなくて　それでも今日だけはあなたに会いたくて,I really don't have time and still want you to see you today,0.45
