en_text,jp_text,google_translated,score,semantic_score
and this and that which\nhas been happening.,（ゴサク）あっ ううっ…,Yuu ...,0.0,0.14847863
I was so surprised!,（カンベエ）見つけたぞ 我が怨敵,I found  I'm an enemy,0.1111111111111111,0.18409044
we supported the samurai-sama with rice.,はっ,Haze,0.0,0.009674856
when we're the ones who raise it?\NI don't understand.,（キララ）駄目 あのお方は,If you don't use it,0.17647058823529413,0.12465869
"Okay, I'll write you another\nletter soon. Bye now.",決めました,I decided,0.08333333333333333,0.30070984
akirameteta anata ni au made wa,～♪,~ ♪,0.0,0.109867126
"Embrace this miracle\nof an encounter now,","（キクチヨ）
おう サムライだ サムライよ","Oh, Samurai Samurai",0.1111111111111111,0.09038709
mitsume attara tsuyoku nareru,（マサムネ）おっ お… おお,Oo ...,0.0,0.18126985
then what is it you call love now?,こりゃまた 随分と鋭い切り口だ,It is a sharp threshold again,0.15384615384615385,0.13087463
"This was no ordinary quarrel, was it?","ああ 分かった 分かった
やってよし","Oh, I understand
Do it",0.16666666666666666,0.061964862
No quarrel. It was a battle.,"珍しいですな 農民が
このような街場(まちば)にいるとは","It is unusual farmer
What is in such a city",0.14285714285714285,0.08866778
"Yeah, a samurai. A samurai!","（カツシロウ）
しばらく！　しばらくお待ちを！",for a while!Wait for a while!,0.2222222222222222,0.18330765
Sister...,"後ほど お持ちします
今は どうか…","I will bring me later
How is it now ...",0.09090909090909093,0.15676168
I ain't got any idea\nwhere he went off to.,"伏してお願い申し上げます
天下泰平左衛門嘉親(てんかたいへいざえもんよしちか)殿","I would like to ask
Tenshira Taei Yasuke July",0.1111111111111111,0.22480777
That is a problem.,"お待ちください
お願いの儀がございます","Please wait
There is a request for request",0.2,0.15441874
"Still, she is fine, huh?",理想のサムライなのです,It is an ideal samurai,0.09090909090909093,0.096031964
A moment!,お願いがございます！,There is a request!,0.3333333333333333,0.4708364
