en_text,jp_text,google_translated,score
What the heck are you two doing?,"（フウ）
何してんのよ あんたたち！",What do you do?,0.3333333333333333
This just means that no matter how hard we try to split up...,"（ムゲン）
どんなに離れようがな…",No matter how far ...,0.26666666666666666
...it was always meant to turn out like this!,こうなる運命だってこった！,This fate was this fate!,0.25
Hey!,こら！,Hey!,1.0
I...,（お鈴）私…,me ...,0.3333333333333333
I'm sorry.,逃げるんだ,I'm running away,0.3333333333333333
Think you can do something about it?,"（力鋭）ほーお
やれるのか？ おめえに",Can you do it?Forward,0.5555555555555556
I knew that you two would come.,"（力鋭）おめえらが来ることは
分かってたんだよ","That Megera comes
I knew it",0.2727272727272727
I'm the one who's gonna kill him!,邪魔すんな！,I'm getting in the way!,0.2857142857142857
Restrain yourself for now.,今は こらえろ,I'm here now,0.125
"If you lay down your life now, the person you're trying to save will be lost, too.","命を落とせば 助けられるものも
助けられなくなるぞ","If you drop your life, you can help
I can not help",0.20833333333333334
Damn it!,クソッ！,Fucking!,0.25
That man even cuts down his own allies...,"あんな
味方まで斬っちまうような男","Such
A man who cuts up to allies",0.21428571428571427
It was a fine opportunity to let our own men see what he's capable of.,"うちの人間に あの男を見せる
いい機会になったんだからな","Show that man to our man
Because it became a good opportunity",0.21739130434782608
"B-But... But, boss!",（石松）しかし 親分,But parent,0.14285714285714285
"If you truly want to rescue her, your only option is to crush the Nagatomi Gang.","（ジン）本気で助けたくば
永富(ながとみ)組を潰すしかない","If you really want to help
I have no choice but to destroy Nagato set",0.14814814814814814
"I swear, we did terrible business today!","（世話係）まったく
今日は商売あがったりだ！","at all
Today is a business of business!",0.21428571428571427
"Let's come up with a way to escape, okay?","なんとかして逃げよう
ねっ？","Let's go away somehow
Hey?",0.1875
It's no use.,ダメだよ,That's no good,0.2857142857142857
Why not?,なんで？,why?,0.6666666666666666
"If I ran away from here, my father would be killed.","私が逃げたら
お父(と)っつあん殺されちゃうもん","If I escape
Father  I'm killed",0.26666666666666666
"But... you don't want to do this, right?",でも イヤなんでしょ？,But isn't it?,0.23076923076923078
"Well, because we're family.",だって 家族だもん,Because it is a family,0.2
"You have a family, too, don't you?",あんたにだって家族… あっ,My family is a family ...,0.16666666666666666
I'm sorry. Did I say something wrong?,"は… ごめん
悪いこと聞いちゃった","... sorry
I heard something bad",0.25
You don't have to draw your sword anymore.,"あんたは もう
刀を抜かなくていい","Any
I do not have to get out of the sword",0.23529411764705882
"Say what?! Why the hell did you ask me here, then?",何だと？ なんで俺を誘った,What did you say?Why invited me,0.4666666666666667
Wasn't it because you wanted to win your fights?,"ケンカに勝ちたいからじゃ
ねえのかよ","I want to win Kenka
Hey",0.13333333333333333
Listen. There are only two kinds of people in the world.,"いいか？
世の中には２種類の人間しかいない","Is it okay?
There are only two types of people in the world",0.5294117647058824
The rulers and the ruled.,"支配されたやつらは
刃向かっちゃこねえ","The ruled guys
It's a blade",0.2
"So, this power you keep talking about is the power to control other people?","あんたの言う力ってのは
他人を支配するための力か？","What is the power of
Is it a power to control others?",0.3
That's right. What's your point?,そのとおりだが,That's right,0.375
I ain't the least bit interested in that crap.,"俺はな
そんなもんに興味ねえ","I
I'm interested in such a thing",0.2
Where are you going?!,どこへ行く？,Where are you going?,0.8333333333333334
"For me, I don't believe in anything but my own skills.","（ムゲン）俺はな
てめえの腕以外 何も信じねえ","I
I believe anything other than the army arm",0.15789473684210525
Are you turning on me?! Do you think you can just walk away?!,"俺を裏切るのか？
ただで済むと思ってるのか！","Do you betray me?
Do you think it's just done!",0.4117647058823529
"If you're gonna send somebody after me,","（ムゲン）
追っ手をよこすんならなあ",If you have a chasing hand,0.14285714285714285
What's with you? You want some?,何だよ やろうってのか？,What is it?,0.2222222222222222
"I didn't believe in anything but my own skills, either.","俺だって
てめえの腕しか信じてなかったよ","I am
I did not believe it only by my arm",0.21052631578947367
"When I left Boss Kawara's gang, I thought to myself,",そう思ってた,I thought so,0.16666666666666666
But the world doesn't work that way. It's not that simple.,"けどな 世の中
そんなに甘くできちゃいねえ","But in the world
You can do so much sweet",0.15
There are times when you gotta agree to something even when you think it's wrong.,"首を縦に振らなきゃ
いけねえときだってあんだよ","I have to sway the neck vertically
Even if you can't do it",0.15384615384615385
What?,なに？,what?,1.0
Don't spend your life making excuses to yourself.,言い訳しながら生きてんじゃねえよ,Don't live while excusing,0.15384615384615385
You're the one who decides how to live your life.,"てめえの生き方 決めんのは
てめえ自身だろ","How to make a way of life
It is himself",0.15789473684210525
