en_text,jp_text,google_translated,score
"No need to worry, my friend","{\pos(340,1020)}♬～\N",♬ \ N,0.0
I can't answer the phone right now.,"{\pos(500,1020)}電話に出られないので➡\N",Because I can not answer the phone ➡ \ n,0.26666666666666666
Please leave a message after the tone!,"{\pos(460,900)}発信音の後に メッセージを\N",Message after the sender sound \ N,0.25
"Mari, our meeting's begun.","{\pos(420,1020)}打ち合わせの時間ですよ～｡➡\N",It is time for meeting ~. \ n,0.14285714285714285
Can you call me?,"{\pos(540,1020)}とっとと連絡ください｡\N",Tell me. \ N,0.1111111111111111
No luck?,"{\pos(620,1020)}(萌)不在ですか？\N",Is it absent?\ N,0.125
"Well, she's always been a bit \Neccentric when she's composing.","{\pos(340,900)}(萌)まあ 曲作りのときは\N",Well when making songs \ N,0.125
"But this time, she's been having mood swings.","{\pos(340,1020)}今回は 妙に 情緒が不安定です｡➡\N",This time is strangely unstable. \ N,0.1875
Wait!,"{\pos(660,1020)\c&H00ffff&}(正義)待て～！\N",Wait!\ N,0.5
Bastard!,"{\pos(700,1020)}(男)おわっ！\N",!\ N,0.25
Samurai Punch!,"{\pos(580,1020)\c&H00ffff&}サムライ パーンチ！\N",Samurai Panchi!\ N,0.3333333333333333
Thank you!,"{\pos(580,1020)}わあ… ありがとう｡\N",Wow ... Thank you. \ N,0.25
Mysterious Hero Saves the Day\NSamurai Flamenco\N Punishes Purse Snatcher,"{\pos(420,900)\c&H00ff00&}だけど 最初のころに比べたら\N",but compared to the first time \ N,0.0625
Look... I caught a purse snatcher!,"{\pos(380,1020)\c&H00ffff&}僕 ひったくり 捕まえたんです｡\N",I was caught strike. \ N,0.15384615384615385
Well done!,"{\pos(620,1020)}(要)よくやった！\N",I did it well!\ N,0.25
Your training has paid off.,"{\pos(340,1020)}(要)これも 私の特訓の成果だな｡\N",This is also the result of my special training. \ N,0.125
"You weren't lacking physical strength, and your reflexes are sharp.","{\pos(340,900)}もともと 基礎体力はあったのだ｡\N",originally had basic strength. \ n,0.1111111111111111
Thank you very much.,"{\pos(540,1020)\c&H00ffff&}ありがとうございます｡\N",Thank you \ N,0.2857142857142857
"Under the tutelage of a talented instructor, me,","{\pos(380,900)}私という優秀な指導者によって\N",by excellent leader of me \ N,0.14285714285714285
It's that simple.,"{\pos(620,1020)}そういうことだよ｡\N",That's right. \ n,0.375
You have my eternal respect!,"{\pos(460,1020)\c&H00ffff&}足を向けて 寝られません！\N",I can not sleep with my feet!\ N,0.14285714285714285
Don't get cocky!,"{\pos(660,1020)}調子に乗るな！\N",Do not get in the condition!\ N,0.2727272727272727
Huh? Why?,"{\pos(620,1020)\c&H00ff00&}《えっ？ 何で!?》\N","""Eh?What!? ""\ N",0.1111111111111111
You've only started down the path of justice.,"{\pos(380,900)}正義の道は 始まったばかりだ｡\N",The way of justice has just begun. \ n,0.25
Master!,"{\pos(820,900)\c&H00ffff&}師匠！\N",Master!\ N,0.5
Has he forgotten Masayoshi's name?,"{\pos(540,900)\c&H00ff00&}《この人 正義の名前\N","""This person justice name \ N",0.07692307692307693
I'm considering patrolling the town of Numasaki next.,"{\pos(420,1020)\c&H00ffff&}行ってみようと思うんですが｡\N",I'm going to go. \ N,0.2
Numasaki?,"{\pos(820,1020)\c&H00ff00&}沼先？\N",swamp destination?\ N,0.16666666666666666
Lots of people and crime.,"{\pos(540,1020)\c&H00ff00&}事件も やたらあるし｡\N",There are cases and cases. \ N,0.18181818181818182
I shall accompany him.,"{\pos(380,1020)}心配はいらない 私も同行する｡\N",I do not worry I will accompany. \ n,0.2727272727272727
You can count on me!,"{\pos(620,1020)}私に任せたまえ！\N",I left for me!\ N,0.18181818181818182
Student.,"{\pos(540,1020)}サポートしてあげよう｡\N",Supported. \ N,0.2
"I received an offer from Hollywood, so I won't be able to join you.","{\pos(340,1020)}ハリウッドから オファーが来て➡\N",Offer comes from Hollywood ➡ \ N,0.15
Have no fear. You can do this!,"{\pos(420,1020)}｢大丈夫だ｡ 君なら出来る｣➡\N","""It's okay. You can do it"" ➡ \ N",0.23529411764705882
Huh? Look...,"{\pos(540,1020)}(男性)えっ？ あれ…｡\N",?... \ n,0.3333333333333333
The one with Flamenco in his name?,"{\pos(460,1020)}(男性)何とか フラメンコ？\N",somehow flamenco?\ N,0.18181818181818182
