en_text,jp_text,google_translated,score,semantic_score
"No need to worry, my friend","{\pos(340,1020)}♬～\N",♬ \ N,0.0,0.04723241
It's time to revive,"{\pos(420,1020)}超おかしいだろうが！\N",It will be super good!\ N,0.08333333333333333,0.19689067
What took so long?!,"{\pos(420,900)}来んのが 遅えんだよ なあ!?\N",The coming is late!? \ n,0.16666666666666666,0.32183415
"I realize that you're drunk, but what you're doing is wrong.","{\pos(340,1020)\c&H00ffff&}今 君は 最低なことをやっている｡\N",You are doing the lowest thing. \ n,0.15789473684210525,0.30444497
Bastard...,"{\pos(580,1020)}うっ… てめえ…｡➡\N",Um ....,0.25,0.4354711
Samurai Flamenco...,"{\pos(460,1020)}(原塚)サムライフラメンコ｡\N",Samurai Ramenko. \ N,0.14285714285714285,0.59207106
You'll die soon!,"{\pos(580,1020)}あなたは 死にます！\N",You will die!\ N,0.375,0.7746577
I'm going to die?,"{\pos(740,1020)\c&H00ffff&}僕が 死ぬ？\N",I die?\ N,0.375,0.6031177
"If we talk here, we shouldn't be interrupted.","{\pos(460,900)}(原塚)ここなら\N",here \ N,0.08333333333333333,0.19397882
What do you want?,"{\pos(580,900)\c&H00ffff&}僕に 何の用ですか？\N",What is it for me?\ N,0.18181818181818185,0.2725467
"I am Harazuka, from Monsters Stationery's R&D department.","{\pos(380,1020)}私 ﾓﾝｽﾀｰｽﾞ･ｽﾃｰｼｮﾅﾘｰ 開発課の➡\N",I Monsters Stationery Development Division ➡ \ N,0.16666666666666666,0.5426406
"Ah, nice to meet you.","{\pos(500,1020)\c&H00ffff&}ああ どうも 初めまして｡\N",Nice to meet you. \ N,0.5555555555555556,0.77180594
I've seen your commercials.,"{\pos(460,1020)\c&H00ffff&}ＣＭで 見たことあります｡\N",I have seen in CM. \ n,0.2727272727272727,0.29181576
It's a big company...,"{\pos(420,900)\c&H00ffff&}すごい大きな 会社ですよね｡\N",It is a great big company. \ N,0.3636363636363637,0.8169745
I'm from Cae—,"{\pos(420,1020)\c&H00ffff&}僕は シーザー…｡\N",I'm Caesar ... \ N,0.25,0.33500385
Er...,"{\pos(740,1020)\c&H00ffff&}この動画…｡\N",This video ... \ N,0.16666666666666666,0.2919099
I'm Samurai Flamenco!,"{\pos(460,1020)\c&H00ffff&}サムライフラメンコです！\N",Samuri Flamenco!\ N,0.25,0.73098475
"As you see here, you have limited attack options,","{\pos(380,900)}ご覧のように あなたの戦い方は\N",How to fight as you can see \ N,0.2,0.33937573
"At this rate, it's only a matter of \Ntime before you incur a lethal blow.","{\pos(460,1020)}致命傷を負うでしょう｡➡\N",It will be fatal wound. \ N,0.08695652173913042,0.4431515
That's why I said that you're going to die.,"{\pos(620,1020)}そういう意味です｡\N",That means that. \ n,0.14285714285714285,0.26596642
But a true superhero...,"{\pos(820,1020)}あっ…｡\N",... \ n,0.14285714285714285,0.17475228
Samurai Flamenco will fight on—,"{\pos(540,900)\c&H00ffff&}サムライフラメンコは\N",Samuri Flamenco \ N,0.125,0.63373876
Your passion is not enough!,"{\pos(420,1020)}思いだけでは 駄目なのです！\N",I can not do it alone!\ N,0.15384615384615385,0.30827847
"Without the force to back it, justice is hollow...","{\pos(420,1020)\c&H00ffff&}だからって 正義の味方は…｡\N",is justice ally ... \ n,0.21428571428571427,0.48541722
