en_text,jp_text,google_translated,score
"Unlucky Early, Lucky Late",深夜俺はテレビを観ていた,Late Night I watched TV,0.1111111111111111
I have to go make copies!,コピーとってこなきゃ！,I have to copy!,0.5
Ito,でもきっと君がいたら変わる？,But will you change if you change?,0.0
Sensei!,せ… 先生！,Let's go ... teacher!,0.14285714285714285
That voice...,あ… その声は… 藤吉さんですか？,Oh ... that voice ... is Mr. Fuji Yoshi?,0.3333333333333333
What's all this?,なんですか？ これは,what is it?this is,0.42857142857142855
"You just saw it all, didn't you?!",見ましたね？ 今 見ましたね！,Did you see?I saw it now!,0.46153846153846156
No...,え… いや…,Eh ... No ...,0.6666666666666666
Please don't tell anyone about this!,絶対 誰にも言わないでくださいね！,Please do not say anything to anyone!,0.3333333333333333
I'm making my own doujinshi.,実は私 同人誌を描いているんです,Actually I'm drawing a doujinshi,0.3
Doujinshi?,同人誌？,Doujinshi?,1.0
This is the manuscript.,はい　これは その原稿です,Yes this is the manuscript,0.6666666666666666
It's not really a hobby I can brag to others about.,あまり人に自慢できる趣味ではないんで,It is not a hobby that can be boasted much,0.2777777777777778
There is nothing to be embarrassed about.,恥ずかしい事なんてありませんよ,There is no embarrassing thing,0.18181818181818182
To tell the truth...,そうですか　同人誌ですか…,Is it the same person magazine ...,0.2
"When I was a student, I also made doujinshi.","実は先生も 学生時代に
同人誌を やっていたんですよ","In fact, teachers are also in school days
She was doing her doujinshi",0.21052631578947367
You made doujinshi!?,は？,teeth?,0.16666666666666666
"If I were to say, I support Ath x Caga.",しいて言うなら アス×カガ派ですけど,If it says,0.07692307692307693
"Asukaga style, you say? I don't know of it...",アスカガ派？ ですか,Asukaga?Is it?,0.21428571428571427
What anime is Ara x Ragi from?,アラ ラギって 何のアニメかしら？,Arala rag and what anime?,0.2727272727272727
You making doujinshi is...,先生が同人誌を…,The teacher is a coterie ...,0.2222222222222222
Deadline?,シメキリ？,Shimei?,0.3333333333333333
It's a big festival that takes place twice a year!,年に２回の 大きなお祭りだから,Because it is a big festival twice a year,0.46153846153846156
How about you participate too?,あ そうだ！ 先生も一緒にどうですか？,Yes!How about teachers together?,0.3
What an impressive showing!,いいですねー　私も参加しましょう！,Good-I will join me!,0.1111111111111111
It really is a festival.,すごい熱気ですねぇ！ 確かにお祭りです,It's amazing hot air!Certainly it is a festival,0.3333333333333333
I didn't think there would be so many active literary circles.,"こんなにも文学界が盛り上がっていようとは
思いませんでした","That the literary world is so excited
I did not think",0.2631578947368421
Excuse me...,あ あの…,Oh ...,0.25
Please let me take a picture!,写真撮らせて下さい,Please take a picture,0.5714285714285714
Me too!,私も！,me too!,1.0
What is this?,な… 何なんですか？,... What is it?,0.5
My sensei is...!,ああ… 私の先生が…,Oh ... my teacher is ...,0.42857142857142855
"Your outfit is a cosplay of Zakuro Chinmyoji from Zakuro Wars, right?","それって ざくろ大戦の
珍妙字ざくろのコスプレですよね？","That's why
It is a cosplay of a rare leisurely rusty?",0.25
A womans life,目線下さい,Give a look,0.2
Please strike a pose suggesting imminent danger,"秘剣オクリカン斬りのポーズで
お願いします！","In the pose of the secret sword Okrikan
please!",0.14285714285714285
What is this!? What's going on!?,な 何なの？ 何なのー？,What is it?What is it?,0.3333333333333333
What was that all about?,"はあ～ どういう事だったんでしょう？
一体…","Ha ~ What was it?
...",0.3
It's a real customer this time.,あ 今度は本当のお客さんですね,Oh this time is a real customer,0.5
Washino,あぁ…,Ahh…,0.0
I couldn't even sell one volume...,"１冊も売れない…
やはり私に 文才はないのでしょうか…","I can not sell one book ...
After all, don't you have a literature?",0.25
Excuse me.,あの,that,0.0
You're really buying it?,それを… 買ってくれるんですか！,... Do you buy ...?,0.2222222222222222
I love you!,好きだー っ！,I like it!,0.3333333333333333
It is dangerous!,はっ！ 危ないっ！,Hey!Dangerous!,0.4
What are you trying to pull!?,"あなたは そうやって 人の心のスキマに
入り込もうとするんですねー！","You are working so to speak a person's heart
You're going to enter!",0.2222222222222222
...and the opening to your heart too.,あと 先生の心のスキマも,After the teacher's heart ski,0.15384615384615385
"No, the last one is not for sale.",いえ… スキマは 売り物ではないので…,No ... Because the skima is not a sale ...,0.35714285714285715
Drink this.,お飲みなさい,Drink,0.3333333333333333
May I have a look?,見ていいですか？,May I look at it?,0.5
Go ahead.,どーぞ,Sort,0.0
Joule!,イライラするの！,I'm frustrating!,0.2
"Note: ""Yaoi"" is an acronym of the Japanese phrase ""YAma nashi, Ochi nashi, Imi nashi"" - ""no climax, no punch line, no meaning"", just as Chiri said.","こーゆう ヤマなし オチなし イミなしな
起承転結の はっきりしない漫画！","No Yama no Yama no Ochi no I'm sorry
Cartoon that does not clear the functional connection!",0.10256410256410256
"No, that's why it's called yaoi...",いや… だからヤオイっていうんだけど…,No ... Because it is Yaoi ...,0.36363636363636365
"I told you, I don't accept anything but 4 Koma manga!","言ったでしょ？
私は４コマ漫画以外認めないって！","Did you say?
I do not recognize except 4-frame manga!",0.25
Rewrite it this instant!,すぐに描き直しなさい！,Retake again!,0.14285714285714285
Right here and now?,今ここで？,Where is it now?,0.25
"Miss Komori, do you want a drink?",小森さんも飲む？,Do you drink Mr. Komori?,0.5
Don't open it.,開けないでよ…,Do not open ...,0.2857142857142857
This is fine.,これでいいのよ,This is good,0.4
That's fine?,それで いいんだ…,That's fine ...,0.6
"But, Harumi, if you're going to write manga, why don't you aim for something more proper?","どうせ漫画描くなら 何かこう
もっとキチンとしたものを目指したら？","Anyway, if you draw a cartoon
What if you aim for something more chitin?",0.32
"What are you doing at a place like this, Kafuka-chan?","何してんの？ 可符香ちゃん
こんな所で","what are you doing?Yesuka-chan
In such a place",0.4666666666666667
...take me to the Manga Koushien!,"藤吉さん…
私を まんが甲子園に連れてって！","Mr. Fuji Yoshi ...
Her manager to Koshien!",0.21428571428571427
Manga Koshien?,まんが甲子園？,Manga Koshien?,1.0
That's it!,それよ！ キッチリしてそう！,That's right!I'm going to Kitchi!,0.3
in which high school manga authors participate.,高校ペン児達の甲子園です,It is Koshien of high school pengu child,0.14285714285714285
"If you're going to write mangas, aim for the Manga Koushien!","晴美！ 漫画描くなら
まんが甲子園を目指しなさい！","Harumi!If you draw a cartoon
Manga aim at Koshien!",0.25
Why am I doing this when it's summer vacation...,うそでしょ？ 夏休みなのにー！,You must be kidding?It's summer vacation!,0.23529411764705882
Write a 4 Koma manga with proper composition.,"いいこと！ 起承転結のキッチリした
４コマ漫画を描くのよ！","good thing!Kitchi
4 Draw a 4-frame cartoon!",0.125
Maria draw manga too!,マリアも漫画描く！,Maria draws cartoons!,0.2857142857142857
"Mataro, do you know the four stages of composition?",マ太郎 起承転結ってわかる？,Kantaro I know I'm going to get rid of it?,0.15789473684210525
Wounds!,は！,teeth!,0.3333333333333333
It's sort of different...,うーん… ちょっと違うかなぁ,Hmm ... I wonder if it's a little different,0.3333333333333333
"What do you mean, four stages of composition?",何が 起承転結ですか,What works,0.09090909090909091
Sensei.,先生,teacher,0.0
Forbidden 5th koma?,禁断の５コマ目…？,Forbidden 5 pieces ...?,0.2857142857142857
...is darkness!,闇が あるのです！,There is a darkness!,0.5
Darkness,ああっ！　闇,Oh! darkness,0.3333333333333333
What's that?,何それ…,What that…,0.2
The tax payment of the following year for someone who is unemployed would be the fifth panel.,"無職になった人の５コマ目は
翌年の税金請求","The 5 pieces of people who became unemployed
Tax claim of the following year",0.3333333333333333
"After a successful diet, the fifth panel will be a rebound!",ダイエット成功の５コマ目は リバウンド,The 5th frame of Diet success is rebound,0.17647058823529413
"The fifth panels are very, very painful!","それはそれは…
とても辛い５コマ目なんです","well well…
It is very painful 5 pieces",0.14285714285714285
...is darkness?,じー …,...,0.25
Time for a CM.,CMです,CM,0.2
Give me one Blue Hawaiian please.,ブルーハワイを１つ,One Blue Hawaii,0.25
What should I have?,えーと 何にしようかなー …,What should I do?,0.6666666666666666
I guess I'll get strawberry.,おじさん イチゴ１つ,Uncle strawberry,0.14285714285714285
That's a normal choice for being so troubled over it.,悩んだ割には普通だね,It is normal for suffering,0.21428571428571427
"After all, strawberry is the standard, right?",だって イチゴ味は定番でしょ？,Because the strawberry taste is a standard?,0.4166666666666667
Don't say normal!,普通って言うな！,Don't say normal!,1.0
