en_text,jp_text,google_translated,score,semantic_score
We need to get Tsuda's confirmation for this.,"この件は津田(つだ)に
確認を取らないといけないな","This matter is Tsuda 
I have to make a confirmation",0.25,0.7962539
But... Calling at this time might be a bit troublesome.,"しかし この時間に
電話は迷惑かもしれないな","But at this time
Phone may be annoying",0.3333333333333333,0.5412047
No! Perhaps he's right in the middle of his climax!,"今 まさに
絶頂の瞬間を迎えているかも","Right now
Maybe the moment of climax",0.26666666666666666,0.40071326
"So I couldn't contact you last night, thinking all that...","…と思ったら 結局 昨晩
連絡できなかった ヘへッ","If you think ... after all last night
She could not contact her",0.3684210526315789,0.5800171
Ousai Academy's Student Council rules:,桜才(おうさい)学園 生徒会会則,Cherry blossoms  Gakuen Student Council,0.2,0.40714657
Thirteen!,13！,13!,0.3333333333333333,0.8986394
LIFE IS...,じーん…,...,0.3333333333333333,0.33503368
Don't say any more!,"（タカトシ）
それ以上はやめてー！",Stop more!,0.2857142857142857,0.47028586
一世一代　一念発起,♪〜,♪ ~,0.0,0.25531223
We love Ousai. We are S Y D!,〜♪,~ ♪,0.0,0.132228
What? Is it an earthquake?!,うっ 地震か？,Is it an earthquake?,0.7142857142857143,0.9060599
Let's seek shelter underneath the table.,"（萩村(はぎむら)スズ）
テーブルの下へ避難しましょう","tin)
Let's evacuate under the table",0.3333333333333333,0.6942704
Yeah.,うむ,Mum,0.0,0.13958424
It was pretty big.,大きかったですね,It was big,0.6,0.8809065
Earthquakes are scary.,地震は怖いな,The earthquake is scary,0.14285714285714285,0.91268
They are for everyone...,みんなそうですよ,Everyone is so,0.14285714285714285,0.35933962
"You see, I had a traumatic experience with earthquakes.",いや 私は地震にトラウマがな,"No, I have a trauma on earthquakes",0.26666666666666666,0.7797978
"When I was little, I was straddling over a pull-up bar as an earthquake occurred...","子どもの頃
鉄棒にまたがっていた時に—","Childhood
When I was spanning a rod-",0.2222222222222222,0.34786907
"So ever since, I've remembered that experience...",地震に襲われて以来…,Since being attacked by the earthquake ...,0.13333333333333333,0.3071633
Oh. A Robot Research Club?,"（タカトシ）
あっ ロボット研究会？",A Robot Study Group?,0.3333333333333333,0.78654385
