en_text,jp_text,google_translated,score
"A.K.A. ""The Maiden Club.""",エメラルド編集部　通称「乙女部」,"Emerald editorial department common name ""Maiden club""",0.3333333333333333
Excuse me.,あの　すみません,Excuse me,0.6666666666666666
I believe I told you all that today is \Nthe deadline for the manuscript...,俺今日が原稿締め切りだと言ってあると思うんですが,I think today is said to be closed by the manuscript,0.25
So why is not a single person finished?!,なんで誰一人あがってないんですか,Why are you only one person?,0.21428571428571427
Huh?,は？　記憶にねーや,teeth?Memory,0.25
The deadline's today?,え？　今日締め切りだっけ,picture?Tighten it today,0.25
How many times have I told you?!,何度も言ってあったじゃないですか,How many times did you say,0.36363636363636365
"Just yesterday, I reminded you all repeatedly!",昨日も散々あれだけ念を押したのに,I just pressed for a while yesterday,0.23076923076923078
I've recently been made the \Nprogram director for the magazine.,漫画編集新人の俺が　最近雑誌の進行係を任されることになった,Cartoon editor's newcomer I recently been appointed the progress of magazines,0.21052631578947367
...to regulate the production schedule \Nup to the magazine's release date.,進行係とは　雑誌発売までのスケジュールを管理する仕事で,Progresser is a job that manages a schedule until magazine release,0.15789473684210525
and the editors gather the manga\Nartists' manuscripts accordingly.,まず　印刷所と校了までのスケジュールを相談し,First consult the schedule until the print place and the school,0.125
he wanted me to learn the flow \Nof magazine publishing. Still...,多分雑誌を作る流れを覚えさせるために,Maybe to remember the flow to make magazines,0.17647058823529413
What am I supposed to do \Nwithout my manuscripts?!,肝心の原稿が集まらなくてどうするんですか,What do you do not gather,0.14285714285714285
I'll go make ya a copy.,コピー取ってくる,Copy,0.125
Don't give Onodera too much trouble.,あんまり小野寺を困らせるな,Don't bother you so Ono Temple,0.15384615384615385
You're one to talk.,お前んとこ　締め切り破り常習犯抱えてるくせに,You're tightening and closed,0.2222222222222222
"When it comes to breaking deadlines, \Nyour artist is a serial offender.",お前らいい加減にしておけよ,Please make it up,0.058823529411764705
Not this time.,今回は大丈夫だ,This time is fine,0.3333333333333333
What time do you think you can \Nget the manuscript to me?,それで　何時頃受け取れそうですか,So what time it will be received?,0.17647058823529413
"I was struck by a sudden fever and \Ncold symptoms this morning, so...",余裕もって描かせたからな,I made it a margin and drawn,0.15789473684210525
Sorry.,すみません　吉川千春が至急家に来てほしいそうなので,"Sorry, Chiharu Yoshikawa wants to come to the house as soon as possible",0.07692307692307693
What?,え？　あの　原稿は？,picture?What is the manuscript?,0.3333333333333333
I told everyone that we \Nhad to meet this deadline!,あんなに締め切り厳守って言ったのに,I said that so closely closed,0.13333333333333333
Is this bullying?,いじめか　これは俺に対するいじめなのか,Is bullying or this is bullying for me,0.42857142857142855
I already promised the printer.,印刷所と約束してるのに　これじゃ,I'm promised to be a print place,0.16666666666666666
You know...,どうすんだよ,How are you,0.2
Go backwards from our past releases \Nto get an idea of the schedule.,今までの発売からスケジュールを逆算してみろ,Let's reverse the schedule from the previous release,0.15789473684210525
"How many days does it take to collect \Nthe stuff, print it, and deliver it?",さっぱん　印刷　搬入に何日かかる,It takes a few days to carry out printing,0.14285714285714285
"See, it's set early.",早めに設定されてるだろ？,Is it set early?,0.3333333333333333
Are you an idiot?,アホか　お前は,Aho or you,0.14285714285714285
94% of an editor's job is to...,編集の仕事は９４パーセント,Edit work is 94%,0.25
"...take the manuscript from the \Nauthor, who doesn't want to",原稿を手放さない作家をいかに騙くらかして取り上げて,How to take up a writer who does not let the manuscript,0.3333333333333333
"hand it in, by any means necessary!",要するに　お前　印刷所からなめられてんだよ,"In short, it is made from the presence",0.2
And making the printer wait \Nuntil the very last...,ギリギリのギリギリまで印刷所を待たせて原稿を捻じ込むこと,Let me wait for the print place to the last minute of the last minute,0.17647058823529413
Is that really what an editor's job is?,で　でも　こう言ってはなんですが,But what is said,0.18181818181818182
"I guess I'll have to call the printer by tomorrow,",とりあえず　明日にでも印刷所に連絡して,"For the time being, I contacted the print place tomorrow",0.23529411764705882
Onodera.,小野寺君,Onodera,0.5
Yes?,はい,Yes,0.5
Samples of Mutou's newest book just arrived.,武藤さんの新刊　見本出来たから　置いておくね,I can put it out because I was able to show a new book of Muto,0.09090909090909091
I'll leave them here.,そうか　俺なめられてたんだ,I was able to,0.1111111111111111
"Right, thank you!",はい　ありがとうございます,"Yes, thank you",0.5
Wow!,すごいすごい,Wow wow,0.5
I guess they'll be in the \Nstores in about a week or so.,書店に並ぶのは一週間後くらいか,It is about a week later to line up at the bookstore,0.18181818181818182
"Well, I don't have anything else \Nto do today,",よし　今日はもう仕事もないし,"Yoshi, I have no work today",0.3076923076923077
so I'm going to leave work on a high note.,やばい　嬉しすぎて売れ行き見に行ってしまいそうだ,I'm too happy to go to see selling,0.17647058823529413
The samples of Mutou's latest book are here.,いい気分のまま帰ろう,Let's go back with good feeling,0.0625
I left them on your desk.,武藤先生の新刊　見本出ましたので　机に置いておきました,"I found a new publication of Mr. Muto, so I put it on my desk",0.15789473684210525
Yes.,あ　はい,"Oh, yes",0.25
Hey.,あ　高野さん,Mr. Takao,0.0
What are you...,帰るのか,Do you go back,0.14285714285714285
This was in your hair all day!,ほこり　お前一日中頭につけてたのかよ,Dust I was putting on the inside the day,0.14285714285714285
That's what you get for sleeping on the floor.,床で寝てるからゴミつくんだろ,I'm sleeping on the floor,0.3076923076923077
"Excuse me, but I happen to sleep in a bed.",お先に失礼します,"Pardon me, I have to go now",0.25
I'm not lying!,ちゃんとベッドで寝てますよ,I'm sleeping in bed,0.25
"If you slept at my place, I'd wake\Nyou up any time you wanted.",俺んちで寝れば　いつでも起こしてやるのに,"If you go to bed, you will do it at any time",0.2857142857142857
"What the hell is he thinking, \Nsaying stuff like that?",し　失礼ですね,It is rude,0.07142857142857142
What if somebody heard him?,うっかり誰かが聞いたら　どうするんだよ,What if someone listens to me,0.2
I don't want people touching me.,気安く人に触れないでほしい,I want you to touch people,0.2727272727272727
I've been trying my hardest to forget\Nhow close we came the other night...,こっちは必死に忘れようとしているのに,I'm trying to forget my desperately,0.2222222222222222
"How it felt when he kissed me,",キスされて　抱きしめられて,It is kissed and hugged,0.18181818181818182
It's not like I like him or anything!,あれはあっちが無理やりやってきたことで,That's because I've been doing it,0.21428571428571427
One Week Later,それから,after that,0.0
I guess I'm curious to see \Nhow well it will sell.,おいおいおいおい　しっかりしろよ　俺,Hey Ooichi I'm firm,0.13333333333333333
I could really use one of those.,うん　贈り物可愛かったね,Yeah I was lovely,0.09090909090909091
All right!,やっぱり売れ行きが気になるんだよな,After all I'm worried about selling,0.1111111111111111
"Wish, Wish, Wish, Wish",あ　『ラブスター』出てる,"Oh, ""Love Star"" is out",0.1111111111111111
Please buy it!,よーし　どうか買ってください,Please buy it,0.75
What are you doing here?,今月号のエメラルド買った？,Did you buy Emerald of this month?,0.16666666666666666
I'm not!,俺は仕事だ　サボってんじゃねーよ,I'm working Sabo,0.3333333333333333
I just came to see how \NMutou's newest book was doing.,武藤先生の新刊の状況見に来ただけで,Just come to see the new issue of Mr. Muto,0.15
What the hell?,状況見るって？,Do you see the situation?,0.25
Are you a total amateur?,素人か　お前は,Amateur or you,0.2857142857142857
"This store sells a lot of our works, \Nso I thought I should...",この書店　うちの本よく売ってくださる店だから,Because this bookstore is a shop that is sold well,0.09523809523809523
That's sales' job.,そういうのは営業の仕事なんだよ,That's a business of sales,0.3333333333333333
Mr. Yokozawa!,横澤さん　お待たせしました,Mr. Yokozawa Thank you for waiting,0.2857142857142857
I'm sorry to have kept you waiting.,一編集ごときが首突っ込むな　うぜぇ,I'm going to stick with one editor,0.21428571428571427
It's not a problem at all.,いえ　大丈夫です,It is all right,0.2
"Oh, yes. Why don't I introduce you two?",そうだ　ついでですが　紹介しておきます,"That's right, but I will introduce",0.17647058823529413
"This is Onodera, the editor of Love Star,",今日発売の『ラブスター』の担当編集をしている小野寺といいます,"It is called Ono-ji Temple who is editing the ""Love Star"" released today",0.21052631578947367
"It's a pleasure to meet you, too.",はじめまして　武藤さんの本　前回動きがよかったので,"Nice to meet you, Mr. Muto's main movement was good",0.29411764705882354
"Mutou's last work did quite well, which is\Nwhy I ordered a lot of copies this time.",今回多めに入れたんですよ,I put a lot this time,0.25
I'm really sorry.,すみません　余計な手間増やしたみたいで,I'm sorry I wanted to increase extra trouble,0.3
I'll just tell you one more thing.,ついでだ　もう一つ言っておく,Say one more,0.2
