en_text,jp_text,google_translated,score,semantic_score
and checked them out.,大昔　先輩の読んでいた本は全部探し出して借りていた,The book I was reading a senior was searched out and borrowed,0.14285714285714285,0.18528585
There were all sorts of books.,面白い本も　自分には合わなかった本も　いろいろあったけれど,There were various books that did not fit my interesting book,0.2,0.70435834
...in the world of these books.,たとえもし君が　世界の果てにいても　今すぐに見つけるよ,"Even if you are at the end of the world, you will find it now",0.15789473684210525,0.30669
"Even though that's all it was, \Nthat alone made me so happy.",たったそれだけなのに　それだけが　自分にはすごく嬉しくて,"Even though it is only that, it is very happy to himself",0.3,0.51277626
You used a taxi to pick up a manuscript?,お前原稿受け取るにタクシー使ってんの？,Are you using a taxi to receive your parody?,0.35714285714285715,0.6088698
No.,違いますよ　今日は事情があって,"No matter, there is a circumstance today",0.1111111111111111,0.14233963
What issue?,え　何？,What?,0.6666666666666666,0.3802879
"I took the train to the author's \Nhouse, but then I rode it too far.",作家の家に行くとき　電車を乗り過ごしてしまって,"When I go to a writer's house, I got rid of the train",0.25,0.61529785
I know that!,わ　わかってますよ,I know,0.5,0.77873564
What do you think? Work.,というか　お二人こそ　こんなところで何してんですか,What do you do with such places?,0.4,0.21741828
"While someone was sleeping on the train,",誰かさんが電車の中で寝ぼけてる間　三時間打っ通してるな,Someone is doing three hours while sleeping in the train,0.38461538461538464,0.7413052
"Mr. Yokozawa's hard on me, like always.",相変わらず横沢さんは俺に対してきつい,"As usual, Mr. Horizawa is tight against me",0.1875,0.38539007
Uh... I'll take the stairs.,あ　俺階段で行きます,Oh I go on the stairs,0.2727272727272727,0.721305
Let me see the manuscript.,原稿を見せて,Show me the manuscript,0.42857142857142855,0.8186446
"Hey, that's my bag!",あの　それ　俺の鞄,That's my bag,0.5714285714285714,0.8172689
I don't want to mix our personal \Nand professional lives.,公私混同するの　いい加減やめてほしい,I want you to stop by public-private confusion,0.17647058823529413,0.32819846
"Damn, looks like I've caught a cold.",あ　やべー　がちで風邪引いたかも　頭いてー,"Oh, it might have a cold cold",0.21428571428571427,0.6409268
Who knows?,熱は？,What is the heat?,0.14285714285714285,0.12351131
