en_text,jp_text,google_translated,score,semantic_score
Homura-tan... he's not a normal Sekirei.,普通のセキレイではないのですよ,It is not normal Sekirei,0.2727272727272727,0.52889574
"He'll get mad if I say anymore, so I'll stop...","（電話:松(まつ)）
１つだけ言っておくですが
焔(ほむら)たんはですね",I will say only one,0.13333333333333333,0.17703116
"...but if you want to know the truth, catch him and make him confess.","知りたければ
本人をとっ捕まえて吐かせるです","If you want to know
I caught myself and spit",0.3,0.29487854
That's because the checks have become stricter.,"こっから先は
怒られるので言えません","The destination is
I can not say because I'm angry",0.1176470588235294,-0.046950836
She's a subordinate of ours... let's just leave it there.,"電車も
乗れなくなっちゃってさ","Train
I can not get rid of it",0.10526315789473684,0.07717349
"...secretary, Kagizaki.",ま… まだ最後の１羽が,Ma ... still last one,0.1111111111111111,0.11762348
Pissed!,（鈿女(うずめ)）くっ！,)!,0.3333333333333333,0.30125153
This grown-up is messing with me!,"く〜と
決まったわけじゃないんですから","With
Because it is not decided",0.18181818181818185,0.01718009
You make it sound easy.,"変な葦牙(あしかび)に捕まったら
かわいそうだもん","If you caught in a strange grip 
It looks cute",0.14285714285714285,0.1101779
That brat...,（陸奥）ん…,...,0.3333333333333333,0.23377079
Akitsu!,"陸奥(むつ) あのヒラヒラしたヤツ
やっちゃって！","Mutsu  That Hirahira Yatsu
Good morning!",0.125,0.2967379
It's time to run.,もう１対１とかいいから！,It's all about one to one!,0.3,0.2072693
Eh? Are we running away?,（御子上(みこがみ)）何 あいつ？,) What are you?,0.2222222222222222,0.14479938
You asked me why I have a master.,"炎だよ 自然系だよ
レアだよ 欲しいよ","It is a natural system
I want a rare",0.13333333333333333,0.14773956
This is bad!,（鈿女）うっ！ ああっ！,!Oh!,0.2,0.33697423
That's what I think.,その秘書 柿崎と申します,I say that secretary Sakazaki,0.2222222222222222,0.13865249
"You can be winged, right?","おとなしくしていただければ
何もしませんよ","If you can make it easy
I will not do anything",0.125,0.11049645
I'm jealous.,いんぎん無礼 大人って！,I'm an ungrungable adult!,0.25,0.17467988
Shall I have you come with me?,"（陸奥）
まあ ５羽だろうが10羽だろうが
俺には関係ないがな","Well, it will be five wings, but it will be 10 birds
I have nothing to do with me",0.19047619047619047,0.22671157
There was a loud noise just now!,（御子上）むか〜！,!,0.125,0.3339678
"Yukari-san, are you all right?",チューしてもいいし〜 祝詞(のりと) 祝詞,You may want to chew-the CONP,0.08333333333333333,0.133046
Dammit! Be careful!,（柿崎）あっ！,!,0.25,0.30730438
Huh?! Weren't you the one who ran into me suddenly?!,最後の１羽どころじゃなさそうだ,It seems not to be the last one tight,0.1,0.030172065
That's because you... oww!,あのガキ…,That oyster ...,0.25,0.2319633
Your knee...,ハア ハア…,Haa Haa ...,0.25,0.30200344
Dammit! A girl's leg is scraped!,（陸奥）秋津(あきつ) 引き揚げるぞ！,Akitsu Akitsu  is pulled!,0.2,0.30156344
That was a pretty good kick.,迷いのない いい目だ,It is a good eye without getting lost,0.15384615384615385,0.21012068
"If you do exactly as I say, I won't kill you.","葦牙のためなら
死をもいとわない","For grip
I do not want to die",0.1111111111111111,0.39083296
The Sekirei... the Sekirei that I saved...,己が認めたから主なのだ… と思う,I think it's the main reason because I admitted myself ...,0.21428571428571427,0.087560385
...I am satisfied.,うらやましいよ,I'm so jealous,0.125,0.29700583
Homura!,"（ブレーキ音）
（ユカリ）うわっ！",Wow!,0.3333333333333333,0.22554111
