en_text,jp_text,google_translated,score,semantic_score
What is that?,なんだ？ あれは｡,what? That is.,0.8,0.6111952
That is Dromos.,あれは ドロモス…｡,That is Dolomo ....,0.5,0.5464009
You know of it?,ご存じなのですか？ 我々 神から奪った➡,Do you know?I took it from God ➡,0.3636363636363637,0.28856885
born from the forbidden knowledge humanity stole from us.,数々の禁じられた技術により 作り上げられた破壊兵器｡,Failure weapons made by a number of prohibited technologies.,0.05555555555555555,0.13904534
We cannot stay here!,このままではいけません！,Don't leave this!,0.1,0.46195215
We are moments away from taking the castle! Why?,なっ…｡ 城の制圧は目前です！ なぜ!?,Become .... The Castle's control is not!why!?,0.2777777777777778,0.75065607
This is a direct order. we must not fight here any longer.,命令です｡ これ以上 この地で戦うことはなりません｡➡,It is an instruction. You will not fight more than this. ➡,0.2380952380952381,0.4343754
We must return to heaven immediately!,今すぐ 神界に戻るのです！ なぜだ!?,I will go back to the gods now!Why!?,0.125,0.5156148
Why?! The humans are on their last legs!,人間どもは もはや 虫の息だ！,People are no longer a bug!,0.13333333333333333,0.41134495
We should at least fall back without them.,私たちだけでも 先に戻りましょう｡,Let's go back first with us.,0.13333333333333333,0.4745939
What are you talking about?,≪何言ってるの？,«What are you saying?,0.5,0.22617784
We have not saved my mother yet.,まだ お母さんを助けてないよ｡,I have not helped my mother yet.,0.6,0.6014444
Seems like we popped up in the middle of a battlefield.,戦場の真っただ中に出ちまったな｡,I came out in the middle of the battlefield.,0.4,0.65449506
We should move to an area where we won't be seen.,ひとまず 人目を避けられる所に移動しよう｡,I will move to a place where I can avoid the eyes.,0.2,0.52714837
"Hey, Rita! where are you going?!",おい リタ｡ どこへ行く！,Rita. Where to go!,0.25,0.8559612
What?!,何!? ああっ…｡,What!?,1.0,0.89816386
I've got a bad feeling about this.,やばい気がする｡,I feel good.,0.18181818181818185,0.34951937
You must retreat with us!,やめなさい エル！ 一緒に逃げるのです！,Don't stop el!I'm running away together!,0.06666666666666668,0.4325596
Over there! the human king is there!,あそこだ！ 人間の王は あそこだ！➡,That's right!Human king is that he is there!➡,0.4166666666666667,0.7954309
Kill the king of man!,人間の王を殺せ～！,Kill human king ~!,0.375,0.8207143
"If this continues, we will be annihilated.",このままでは 全滅する｡,It will be annihilated as it is.,0.3333333333333333,0.7068403
Don't...,殺すな…｡,Don't kill ....,0.6,0.53019714
Don't kill them!,殺さないでくれ～！,Don't kill!,0.8,0.83048487
Where's Favaro?!,ファバロは？ 分からない｡,What can be done?I do not understand.,0.07142857142857142,0.039004218
I saw him get blown pretty far away.,かなりの勢いで飛んでったのは 見たけど｡,I saw it flew at a considerable momentum.,0.2,0.44996497
Where did you get blown away to?,ニーナ どこへ飛ばされたのかしら｡,What did you be blown away?,0.5,0.8585235
It seems that you've successfully escaped your prison.,脱獄は成功したようだな｡ えっ…｡,Jailbreak seems to be successful. Eh ....,0.125,0.27217036
I can still see you with one eye.,片目でも お前は見える｡,You can see you in one eye.,0.6,0.8380513
What are you after?!,あ… あなた どういうつもり？ ｢どう｣とは？,"Oh ... What does you mean?What is ""How?""",0.21428571428571427,0.07466957
