en_text,jp_text,google_translated,score
"Charioce XVII razed the demons' capital, Cocytus,",俺たちの魔都コキｭートスを 滅ぼしたシャリオス１７世は➡,"Sharios 17, who destroyed our Maji Cachutus,",0.0625
"We finally meet, Rag Demon!",ようやく会えたな 包帯悪魔｡,I finally met the bandage devil.,0.07692307692307693
Charioce!,シャリオ～～ス！,Chario ~ ~!,0.25
So this is the red dragon.,これが 赤い竜…｡,This is a red dragon ....,0.5555555555555556
I'm sure even you have heard the rumors,貴様らも うわさぐらいは 聞いたことがあるだろう｡➡,You have heard about your rumor. ➡,0.21428571428571427
about the dragon who routed the humans with overwhelming power and sent the capital in a panic?,圧倒的な力で 人間どもを蹴散らし➡,Kicking people with overwhelming power,0.16666666666666666
Please turn back. Beyond this point--,お止まりください！ ここから先は…｡,Please stop!From here ....,0.15384615384615385
"Your Majesty, please do not attend the parade.",陛下！ パレードへの参列を お取りやめくださいませ｡,Majesty!Please stop attending the parade.,0.38461538461538464
The demons are involved in suspicious activities.,魔族が不穏な動きをしております｡,The demon makes a disturbing movement.,0.15384615384615385
Do you mean the Rag Demon?,それは 包帯悪魔か？,Is it a bandage devil?,0.08333333333333333
"Yes, My Lord.",アザゼルといったな｡ はっ｡,It was called Azazel.,0.1111111111111111
Do you not think it would be entertaining?,余興になるとは思わないか？,Do you not think that it will be aside?,0.5833333333333334
It was on this day that the demon capital Cocytus fell.,今日は 魔都コキュートスが陥落した日｡,The day when the Mizana cachutus falls today.,0.17647058823529413
It is a day to celebrate the time mankind overcame its fear of demons.,人が魔の恐怖を克服した 記念の日だ｡,It is a memorial day that people overcome the fear of magic.,0.4
Let us liven things up,包帯悪魔の首で 花を添えてやろう｡,Let's add flowers at the neck of the bandage devil.,0.06666666666666667
The parade will be carried out as scheduled.,パレードは予定どおり行う｡,Parade will be scheduled.,0.5555555555555556
"If the demons mean to interfere,",悪魔どもが邪魔するなら 皆殺しにするまでだ｡,It is until you kill everyone if the devil gets in the way.,0.1111111111111111
A delicious zombie omelet just as good as yesterday's spicy chicken wings!,昨日の 手羽先の 唐辛子揚げにも負けない➡,I do not lose to the pepper fried 羽 yesterday's chicken wing,0.13043478260869565
-Is it rotten or something? -Watch it.,おい！ 腐ってなんかないわよ｡,Oi!I'm not rotten.,0.15384615384615385
It's a legendary flavor over 200 years old.,２００年にわたる伝説の味！,The legendary taste over 200 years!,0.3076923076923077
Just try a bite!,一つ 口にしてみて～！,Try to be in one mouth!,0.2
"I'll take one, then.",じゃあ 俺 それ１つ｡ じゃあ 俺も｡,Well then I am one. Well then I too.,0.4
"-I'll have one, please. -Could I get one too?",１つ 下さい｡ 俺も１つ くれ｡,Please. I also give me one.,0.26666666666666666
I'm surprised they'd order something with this name.,って よくも まあ こんな名前で注文するわね｡,"Well, I will order it with this name.",0.4
"Here you go, thanks! please come again! there you go!",はい どうも！ また来てね｡ はい～｡➡,"Yes, thankyou!Come again. Yes ~.",0.2857142857142857
It'd be nice if that handsome guy from yesterday showed up again.,昨日のイケメン 今日も来るといいですね｡,Yesterday's handsome is good to come today.,0.15
What? Who are you talking about?,えっ！ 何？ 誰のこと？,eh!what?Who?,0.3333333333333333
They say that what happens twice will happen thrice.,二度あることは三度ある っていうでしょう？,Is there anything about twice?,0.06666666666666667
"The arm wrestling, last night's festival,",腕相撲 前夜祭 そして 今日ですよ！➡,My wrestling eve and eve festivals and today!➡,0.06666666666666667
Could I take your orders? we already gave our order.,へっ？ さっき言ったけど｡ えっ？ あっ はい ごめんなさい！,?I said earlier. Eh?I'm sorry!,0.16666666666666666
Right! Sorry about that! i wonder if something did happen yesterday.,やっぱり 昨日 なんかあったのかもね｡,After all there was something yesterday.,0.17647058823529413
Perhaps she took a step towards adulthood.,大人の階段を 上がってしまったんですクワァね｡,I got up my adult stairs.,0.07142857142857142
A step towards adulthood. i remember a time like that.,大人の階段を 駆け上がったあのころ…｡,After running up the stairs of adults ....,0.05555555555555555
It brings back so many memories.,懐かしいわね｡ いつの話ですクワァ？,It is nostalgic. When is it a story? Kuwa?,0.14285714285714285
"We've got fluffy, delicious zombie omelets that will melt in your mouth!",ふわふわで とろとろの ゾンビオムレツ おいしいよ！,Fluffy and Toro Toro's zombieomelets delicious!,0.15789473684210525
Don't be scared because of the name! Just try them!,ゾンビだからってビビんないで 食べてみて！ ほらほら～｡,"Because it is zombie, I try to eat without being bib!Remove.",0.125
I hear you have an unusual power.,お前 妙な力 持ってるらしいじゃねぇか｡,You seem to have a strange power?,0.23076923076923078
Can you really not talk?,ほんとに しゃべれねぇのか？,Is it really talking?,0.2222222222222222
Why are you always smiling?,なんで いつも笑ってんだ？,Why are you always laughing?,0.7142857142857143
"Actually, you look like someone.",つぅか お前 誰かに似てんなぁ｡,I'm similar to someone.,0.18181818181818182
What are you doing?,≪何をしている？ うわぁ～！➡,«What are you doing?Wow!➡,0.5555555555555556
Don't sneak up on me!,脅かすんじゃねぇ！ その後 どうだ？,It's a threat!How is it?,0.07142857142857142
Nothing new has happened on my end either.,こちらも進展がなくてな｡,There is no progress here.,0.07142857142857142
It's been five days since I came down to the lower world.,下界に来て ５日もたつというのに…｡,It's about 5 days to come to the lower world ....,0.4444444444444444
Sorry to hear that!,それは ご苦労なこった｡ お前も大変だな｡➡,It was hard to work. You are also hard.,0.07692307692307693
Sounds like things have been tough.,あはははっ！ あ～はははっ…｡,Ahahaha!Ah ~ ....,0.08333333333333333
Who is that child?,その子供は なんだ？ あはっ… えっ？ えっ？ あっ｡,What is the child?Ah ... Eh?eh?Ah.,0.2727272727272727
"Oh, this one? just some demon kid, that's all.",あっ… こ… こいつは あれだよ ただの悪魔のガキだ｡➡,There is ... this guy ... It's a daughter's girl.,0.14285714285714285
I just picked the kid off the street and put the brat to work.,道端で拾って 働かせてるだけだ｡,I just pick up and work on the roadside.,0.35294117647058826
"Oh, right!",そ… そうだ！ お前 ほら➡,That's right!Yoho,0.2857142857142857
"Now go over to Nina, okay?",早く ほら ニーナんとこ い… 行ってこい｡ なっ？,Getting Started early ... I'm going to go.,0.125
I will be back.,また来る｡,It will come again.,0.25
Why didn't you tell her the truth?,≪なぜ言わないんですクワァ 本当のことを！,«I don't say why Kuwa real thing!,0.11764705882352941
"Don't sneak up on me either, idiot!",おめぇも脅かすなよ バカ！,Don't threaten you too stupid!,0.21428571428571427
Is it because Nina would be sad if Mugaro went away?,ムガロがいなくなると ニーナが 悲しむクワァらですクワァ？,Nina is sad if there is no Mugaro Kuwa?,0.4
So you would have no problem if I went and told Lady Sofiel?,じゃあ 私が ソフィエル様に 言ってもいいですね？,"Well then, can I tell Sophier, right?",0.09523809523809523
About the color of the child's eyes?,あの子の瞳の色を｡,The color of that child's pupil.,0.45454545454545453
Why not? Then we would be able to return to heaven!,なぜですクワァ？ そしたら 神界に帰れるのですよ！,Why? Kuwa?Then I can go home!,0.23529411764705882
I have a bad feeling about it.,嫌な予感がする｡,I have a bad feeling.,0.75
What do you mean by that?,それ どういう意味ですクワァ？,That means that it means Kuwa?,0.2
Don't you think it's messed up that the Orleans Knights aren't in the parade?,オルレアン騎士団が パレードに出ないって➡,Orleans Knights do not go out to the parade,0.25
I guess that's just how things go.,まっ しかたないっすかね｡,I can't wait.,0.16666666666666666
We haven't exactly accomplished much lately.,最近 俺たち なんの手柄も立ててないし｡➡,Recently we have not set up our hand. ➡,0.2
It's the captain!,あっ 団長だ｡,It is a leader.,0.1111111111111111
Captain! Has something happened?,団長！ 何かあったのですか？,Unagayer!What happened?,0.375
The demons are scheming something.,悪魔たちが 何か たくらんでいる｡ えっ｡,The devil has something. Eh.,0.3333333333333333
The parade will commence at noon.,正午には パレードの開始だ｡➡,It is the start of the parade at noon.,0.45454545454545453
We have to find and stop them before then!,それまでに捜して 取り押さえなければ｡,"If you look for it so far, if you do not get caught up.",0.0
You don't think they're after...,まさか ヤツらの狙いは…｡,The aim of the guy is ....,0.07142857142857142
What are you talking about?,何なんすか？ それ｡ 急ごう！,What do you do?That's it!,0.2727272727272727
What's going on?,ちゃんと…｡ なんすか？,.... What?,0.2857142857142857
Why is she not coming?,なぜ来ない…｡,I will not come ....,0.09090909090909091
I wonder what the parade is like.,パレードって どんなだろうね？,What is the parade?,0.4444444444444444
You can't see anything from here.,ここじゃ見えないね｡,I can not see it here.,0.25
I can't see!,見えないよ～！,I can not see it!,0.375
We managed to get everything ready on our end.,こちらは 問題なく整った｡,This is unique.,0.07692307692307693
"Good. Wait for the signal, then.",よし 合図を待て｡,Wait for a diagram.,0.3
"Heh, the king's already come and gone.",もう 王様は 先 行っちゃったけどな｡,The king already went ahead.,0.3333333333333333
I don't really care about the king.,私 王様は別にいい｡ えっ？,My king is good separately. Eh?,0.13333333333333333
-What? -The parade is so cool!,パレード かっこいい～！,Parade cool!,0.375
Hey!,ちょっ ちょっ… お～い！,A little ... Oh!,0.16666666666666666
Why did you not show up where we were supposed to meet?,貴様 なぜ約束の場所に来ない？,Don't come to the place of a promise?,0.09523809523809523
Because I was watching the parade!,だって パレード見てたんだもん｡,Because I saw the parade.,0.4444444444444444
Just come! We're out of time!,とにかく来い！ もう時間がない！,Anyway!I have no time!,0.16666666666666666
"Is that you, Mugaro? that's right. she's cute, isn't she?",ムガロなのか？ そうだよ｡ かわいいでしょ｡,Is it Mugaro?That's right. It is cute.,0.6153846153846154
Send the carriage back to the palace. the other soldiers should get back immediately as well.,王宮まで 馬車を戻せ｡ 他の兵も 一刻も早く戻るんだ｡,Return to the Royal Palace Return the carriage. Other soldiers will return as soon as possible.,0.42105263157894735
It's no use.,≫無駄だ｡,»Waste.,0.14285714285714285
All of our escape paths have been cut off.,四方の退路は 全て封鎖されている｡,All four-way retraction is blocked.,0.14285714285714285
We will not be able to easily return to the palace.,容易に王宮へは戻れまい｡,Easily return to the Royal Palace.,0.5
That means that,ここが 魔族どもとの➡,Here is the magic number,0.0
this is where we battle the demons.,決戦の地ということだ｡,It means the place of the battle.,0.25
"Hey, what was that noise?",ねえ 今の音 何？,Hey What is the sound now?,0.2727272727272727
"Seriously, what are you doing?",だから 何してんの？,So what do you do?,0.3333333333333333
I have no other choice.,ちっ しかたない｡,There is no way.,0.2222222222222222
"I'm not really sure why,",えっ？ いや よく分かんないけど…➡,"eh?No, she won't understand well ... ➡",0.058823529411764705
but my heart isn't racing at all.,なんか 全然ドキドキしないんだよね｡,Something doesn't pound at all.,0.3333333333333333
-The red dragon? -There are no reports yet.,赤い竜は？ まだ報告はない｡,What is the red dragon?There is no report yet.,0.4
They should have acted by now.,遅いな｡ どうする？,Slow. What do you do?,0.08333333333333333
"It's weird, isn't it?",おっかしいよね～｡,It's funny ~.,0.2
