en_text,jp_text,google_translated,score,semantic_score
Animation,ではでは皆さん 準備をお願いします,"Well, please prepare",0.0,0.06815389
Club,ではでは皆さん 準備をお願いします,"Well, please prepare",0.0,0.1581017
"Well then, is everyone ready?",ではでは皆さん 準備をお願いします,"Well, please prepare",0.2222222222222222,0.500428
Let us swear on these Hyotanya donuts...,この ひょうたん屋の ドーナツにかけまして,I'm going to donut of this Hyotan shop,0.0,0.6691902
"...that we, the Kaminoyama High Animation Club...",我らが 上山高校 アニメーション同好会は,We are Omayama High School Animation Club,0.3333333333333333,0.68881226
...will do everything in our power to make an original...,自主作品制作に努力することを,To make efforts to produce voluntary works,0.13333333333333333,0.15116963
Why don't you just move out of home already?,そんなの さくっと 家出ちゃえばいいじゃん,You should be able to get out such a dream,0.10526315789473684,0.24688926
Ema could make it work.,絵麻なら どうにでもなるっしょ,It will be a picture of it,0.09090909090909093,0.08548302
Not to mention how tough the competition is for voice actors.,声優志望なんて ものすごい倍率だしさ,Voice actor's desire is a great magnification,0.1111111111111111,0.4895574
"Sorry, it's too hot! Let me take a break!",ずびばせん… 暑くて ちょいギブです,It's a bit hot and a little bit,0.26666666666666666,0.35878733
"Whoa, it's 36 degrees Celsius today in Tokyo!",へえ～ 東京 今日36℃だって,Husei-Tokyo Today 36 ° C,0.14285714285714285,0.62300766
Right. what? you still haven't decided?,何？　まだもめてんの？,what?Are you still?,0.4,0.50435174
"Oi-chan, is it just me or are  donuts not a summer thing?",おいちゃんさあ ドーナツって 夏向きじゃなくなくない？,Hey Chan Donuts are not in summer?,0.29411764705882354,0.8448097
"What do you mean? Donuts make the world go 'round, all year 'round!",えっ？　ドーナツはオールシーズン オールマイティーの,eh?Donut is all season all-mighty,0.1,0.58396745
She moved!,動いた！ 動いてるね～,moved!I'm moving ~,0.2857142857142857,0.6508979
It's so much more satisfying when I see it move!,やっぱ動くの見ると ガン上がりますね～！,After all I see it when I see it!,0.38461538461538464,0.47222617
More like a third done. Maybe a fifth—,いや３分の１… ２割…,No 3/3 ... 20% ...,0.0,0.3411189
"Why do you have to be such a downer, Ema?",もう 絵麻はなんで そういうこと言うかな～,I wonder if the picture is already,0.0,-0.0004939902
Will we really finish in time for the school fair?,え～ だって 学園祭に間に合うかな？,"Well, is it a time to meet the school festival?",0.21052631578947367,0.56281656
Wanna watch it again? totally!,もっかい見ていい？ 見る！,Can you see it?look!,0.25,0.30853483
But I'll have to figure out how to support myself after that.,でも その間に ちゃんと生活できるようになれって,But I can live in a while,0.1111111111111111,0.31575504
Gave the cold shoulder or roughed them up a bit?,ハンストとかやったんですか？ 無視とか無言とか家庭内暴力とか,"Did you do Hanst?Ignore, silent or home violence",0.1,0.31458306
I wrote a letter every day.,手紙 毎日 口だとダメだから,Because it is no good if it is a letter every day,0.3076923076923077,0.6669321
I'm not good with words.,へえ～！　すごい！,Hey! very!,0.0,0.22041409
"We'll be waiting for you, Mii, Rii.",みーも りーも 待ってるよ,I also wait for Me,0.07142857142857142,0.45942426
I... hope so.,ああ… 頑張る,Oh ... I will do my best,0.2,0.2850005
"All right, let's run through it once more!",はい もっかい いきま～す,Yes,0.0,0.17961082
Know your place!  I'll deal with all ten of you at once!,うう… しゃらくせえ！ 10人まとめて引きちぎってやる！,Uru ... Come on!10 people are tied together!,0.043478260869565216,0.44488394
Don't listen to them! It's a trap!,挑発に乗っちゃダメ！ これはワナよ！,I'm sorry I'm going to prepare!This is Wana!,0.1111111111111111,0.15631185
Yeah! It's defnitate—,そうだ ワナに違いなゃ… あっ！,That's right I guess it's different ...!,0.2727272727272727,0.2766305
"Yup, once more.",はい もっかい～,Yes,0.0,0.42291358
Sorry...,ごめん,sorry,0.5,0.62501717
Kaminoyama High School,ごめん,sorry,0.0,0.14190131
School  Culture Fair,ごめん,sorry,0.0,0.10157015
"We'll now be screening the  animation club's production,",これより アニメーション同好会制作,Animation from this production work production,0.14285714285714285,0.48588112
The Divines: Seven Lucky Warriors.,「神仏混淆七福陣」を 上映いたします,"We will screen ""God Buddha mixed sanity seven lucky team""",0.1176470588235294,0.5225947
We hope you can stay to the end!,どうぞ最後まで ごゆっくりご覧ください,Please see slowly until the last,0.07142857142857142,0.29930675
"The year is 300,000,000 AD.",時代は西暦３億年,The era is 300 million years AD,0.3,0.7029511
...an animated...,作りま…,Make it ...,0.2,0.3199666
That was an email from Anime Wizard-san.,はい というわけでラジオネーム アニメ元帥さんからのお便りでした,"Yes, and I was happy from Radio Name Anime Animation",0.1875,0.37242672
"Thanks for all your emails, Anime Wizard-san!",アニメ元帥さん いつもメール ありがとうございま～す,Animation Anime Thank you for your email,0.2307692307692308,0.7673893
2.5 years later,まあ確かにね メールにもあったけど,Well certainly there was also an email,0.0,0.12043932
Shinotei,数多くの秋アニメの中からですね,It is from among many autumn animations,0.0,0.23577552
Yeah! And since we're so excited for Exodus...,は～い！　その一押しタイトル 「えくそだすっ！」のですね,"Yes!It is pushing the title ""Eko Sosho!""",0.047619047619047616,0.2907216
"For free?! the show's going to be airing soon, so we came to promote it!",今日ね この後すぐオンエアなので 宣伝にやってきました,Today I came to advertise because it was on the air immediately after this,0.14285714285714285,0.30707914
What is Exodus about?,はい「えくそだすっ！」って どんなお話なんですか？,"Yes What kind of story is ""Eko Sada!""",0.14285714285714285,0.2431172
It's about the idol group Tracy escaping various situations. The end.,はい アイドルユニット トレイシーが逃げまくるお話で～す,Yes Idol Unit Tracy is a story that runs away,0.1,0.63903147
"Don't worry, we'll fill you in on more of the details later!",はい あの内容は この後じっくりお話しするとして,Yes that contents will be talked after this,0.0,0.28546178
"It's titled ""I'm Sorry, Exodus!""",“あいむそーりーEXODUS”,"""Aoma-EXODUS""",0.16666666666666666,0.687831
"Later, Tomigaya-san.",ヘヘッ 富ヶ谷さん お先です！,Hehet Tomiya-san is ahead!,0.0,0.648266
I'm here to pick up the animation director ups for Exodus episode 4!,「えくそだすっ！」４話の 作監上がりを頂きに参りました,"""Eko Sada!"" I came to receive the prison of 4 episodes",0.20833333333333331,0.42805597
Segawa Misato Animation Director,は～い,Oblivious,0.0,0.03934866
Animation  Director,ちょっと今日 少ないんだけど,I have a little bit today,0.0,-0.04063443
Tween  Check,ちょっと今日 少ないんだけど,I have a little bit today,0.0,0.11089556
Cell Check,ちょっと今日 少ないんだけど,I have a little bit today,0.0,0.033430956
Screenplay,ちょっと今日 少ないんだけど,I have a little bit today,0.0,0.04125584
Color Setting,ちょっと今日 少ないんだけど,I have a little bit today,0.0,0.090241775
"Sorry, I don't have much for you tonight.",ちょっと今日 少ないんだけど,I have a little bit today,0.13333333333333333,0.36079845
"It's only two days until the final AD up, huh?",あと２日で作監アップだったよね？,"It was a grade up in two days, right?",0.3333333333333333,0.32794192
"The first episode is airing today, right?",今夜 もう１話 始まっちゃうんだもんね,Another episode starts tonight,0.08333333333333333,0.61854434
"Yeah, it is! Finally!",始まっちゃいます いよいよです,I'm getting started,0.0,0.18439756
