en_text,jp_text,google_translated,score,semantic_score
I am the chef here.,シェフは俺だ,The chef is me,0.25,0.7892655
Cooking Battle,食戟…,Shintoshigen ...,0.0,0.17471832
"If I beat you in a Cooking Battle,",食戟で あんたを負かしたら―,If you defeat your food-,0.16666666666666666,0.6923573
A Cooking Battle?,ハッ 懐かしい響きだ,It is a huge sound,0.125,0.13265505
What the hell is the transfer student thinking?,何考えてんだ 編入生のやつ,What is your thoughts,0.2,0.27354565
A Cooking Battle with an opponent who's not currently a student is not without precedent.,在校生以外との食戟 前例がないわけじゃない,There is no other example of food other than school students,0.04166666666666666,0.4144264
"But it does require the consent  of both parties, doesn't it?",…が “食戟には 双方の合意が必要”だろ？,"... But ""I need both sides of the food"".",0.2,0.119154006
I'm afraid that I have no intention  of accepting your challenge.,悪いが 勝負を受ける気はないんでねぇ,I do not feel bad but I'm not going to get a game,0.09090909090909093,0.22264865
There is nothing you can do.,お前が どうあがこうと 田所恵の退学は決定事項…,How do you leave Tedo and the Rie Tanomi's decisive matters ...,0.1111111111111111,0.10039854
"Well, let's not be too hasty.",まあ そう 急くな ん？,"Well, isn't it hurry?",0.14285714285714285,0.629096
"Looks like you have quite an interesting situation developing here, Shinomiya.",なかなか面白いことに なっているようだな 四宮,It seems that it seems to be quite interesting Yotsu,0.10526315789473684,0.41797012
Office,うん なるほど,Shattering,0.0,0.26680365
Inui Hinako,う～ん おいしいじゃないですか 田所恵さんの品,"Well, it's not delicious?",0.0,0.06484874
"Japanese restaurant, Kirinoya",う～ん おいしいじゃないですか 田所恵さんの品,"Well, it's not delicious?",0.1,0.15939817
Tadokoro Megumi-san's dish is delicious!,う～ん おいしいじゃないですか 田所恵さんの品,"Well, it's not delicious?",0.16666666666666666,0.29454952
Why not just let her pass?,これなら合格にしてあげても いいでしょう？,Is this a pass?,0.2,0.4343968
It hurts.,はあ… ありゃ…,Ha ... ...,0.0,0.20818453
"Doujima-san, I believe I was given full discretion for this task.",堂島さん この課題は 俺に一任されてるはずだぜ,Mr. Dojima's issue should be one to me,0.0,0.27330506
"Of course, Shinomiya.",もちろんだ 四宮,Of course Shijo,0.3333333333333333,0.5207541
"However, she did try to deal  with the situation at hand.",だが少なくとも彼女は 状況に対処しようとしたんだろ？,But at least she tried to deal with the situation?,0.4117647058823529,0.8498546
Don't you think her courage might merit a certain degree of consideration?,そのガッツには 一考の余地があるとは思わないか？,Don't you think that there is room for one for that guts?,0.2380952380952381,0.3012852
Tohtsuki Resort Head Chef and Company Director,そのガッツには 一考の余地があるとは思わないか？,Don't you think that there is room for one for that guts?,0.0,-0.0070207324
Doujima Gin,そのガッツには 一考の余地があるとは思わないか？,Don't you think that there is room for one for that guts?,0.0,-0.053409476
"Wow, it seems that we have a tie.",む！　なんとこれで同票だ のっぴきならんな,nothing!What is this right with this?,0.0,0.07505734
We are at an impasse.,こいつら…,These guys…,0.0,0.20480475
Think of it as a street brawl.,いわば野試合だな,It is a way,0.2,0.18432237
"Once all the afternoon tasks are complete,",今日午後の課題を すべて消化した後―,After all afternoon issues are digested-,0.2727272727272727,0.55620795
the two of you will face Shinomiya.,君ら２人と四宮で 戦ってもらおう,Let's fight with two people and Shikuma,0.06666666666666668,0.51956916
