en_text,jp_text,google_translated,score
"Isshiki-senpai, we're back!",一色先輩！　帰って来たっす,One color senior!I'm coming back,0.16666666666666666
"Welcome back, everyone! i see that all of you survived the camp from hell.",みんな おかえり！ あの地獄の合宿を生き抜いたんだね,Everybody!I suroved the training camp of that hell,0.35
We are back.,ただいまぁ,I'm home,0.0
The tasks must've been very challenging!,よほど課題が厳しかったと見える,It looks like the challenge was severe,0.07142857142857142
"Is that really you, Tadokoro-chan?",田所ちゃん？ 田所ちゃんなのかい？,Tanago-chan?Case of Tadoko?,0.09090909090909091
You're all kinds of rough around the edges!,みんなも なんだかヤサぐれて,Everybody is somewhat scared,0.0
Boss!,ウッシッシッシッシ　姉御 こいつ袋にしちまいましょうぜ,Ushissississis Sisters Sister Kitten Situ,0.0
"Hey! All of you better respect your elders,",パイセンに 失礼ブッこいてんじゃねえよ,It's rude to paisen.,0.0
or there's gonna be hell to pay!,あたいが許さんぜ,Ayana is forgive,0.0
"Ibusaki-kun, your charming hairstyle's been ruined.",伊武崎君 いつもの チャーミングなヘアスタイルが―,Ibasaki-kun usual charming hairstyle-,0.08333333333333333
"Come to think of it, where's Marui-kun?",あっ そう言えば丸井君は？ 彼だけ姿が見えないようだが,"Speaking of that, Mr. Marui?It seems that he can not see only",0.2
This was all that we could find of him.,回収できたのは これだけだ,It is only this that could be collected,0.2
Th-This can't be...,そっ… そんな！,Well ... that!,0.125
I hope you're all okay.,みんな どうか無事で,Everyone is safe,0.0
"Good, you pass the test. you may clean up now, tadokoro megumi.",うん 合格だ 片付けていいぞ　田所恵,It's good to get rid of it,0.05263157894736842
"You've still got some rough patches, but...",やるじゃん 田所 まだ危なっかしいところもあるけど,I'm going to do it still dangerous,0.058823529411764705
Not enough.,足りねえ　まだ ちっとも…,It is still a little ...,0.0
m 0 0 l 436.5 0 436.5 84 0 84,もっと！,more!,0.0
Eggs Before Dawn,もっと！,more!,0.0
m 0 0 l 427.5 0 427.5 78 0 78,もっと！,more!,0.0
m 0 0 l 445.5 0 445.5 90 0 90,もっと！,more!,0.0
You'd best relieve yourself of the notion that you can stay the queen bee forever.,アリス) いつまでも女王様気取りで…,"Alice) Forever, I'm queen ...",0.09523809523809523
Thank you for the advice.,忠告ありがとう,Thank you for your advice,0.5714285714285714
I'll do my best to keep what you said in mind...,一応 頭に入れておきます,I will put in my head,0.1875
as the prattle of the unwashed masses.,下々の戯言としてね,As a decisive thing,0.1
I want to pass out in my room already.,あぅ… 早く部屋で寝たい,Ah ... I want to sleep early in the room,0.3333333333333333
We only have two more days of this.,でも 残りはあと２日,But the rest is two more days,0.23076923076923078
We might scrape by.,ギリギリ何とかなるかもね う… うっ…,It might be something wrong with the last minute ...,0.07142857142857142
I don't see a time listed for lights out.,あら 今夜の就寝時間が書いてない,I have not written my bedtime tonight,0.058823529411764705
Maybe it got left out by mistake?,印刷ミスじゃない？,Isn't it a print mistake?,0.25
Students of Tohtsuki Academy!,遠月学園 全生徒の諸君,Various of the Litering Gakuen All Students,0.2
"One hour from now, at ten o'clock,",今から１時間後 22時に―,1 hour after 1 hour-,0.09090909090909091
assemble in the banquet hall in your uniforms.,制服に着替えて 大宴会場に集合してくれ,Change in uniforms and gather at the large banquet hall,0.38461538461538464
What?! what the hell?,何だ？ めんどくせぇ,What?Manto,0.3333333333333333
"Wow, the herd's really thinned out.",なんか だいぶ数減ったなぁ,Something has dropped a lot,0.0
"Everyone's exhausted, of course.",やっぱり みんなボロボロね,After all everyone Boroboro,0.1
What could they have planned  at this time of night?,こんな時間に一体 何が…,What is one of this time ...,0.2857142857142857
Who the hell are you?,何だよ てめえは 君こそ何だ,What is it? What is you?,0.2222222222222222
How did you guys know  about the Cooking Battle?,２人はなんで 俺らの食戟のこと知ってんの？,Two people know their food?,0.14285714285714285
Everyone's been talking about it!,そこら中で うわさになってんだよ！,It's a rumoring!,0.3333333333333333
"Hang on. If Yukihira's here right now,  wouldn't that mean...",でも幸平がここにいるってことは…,But Yukihira is here ...,0.17647058823529413
No way! You beat Chef Shinomiya?!,まさか四宮シェフに…,Masaka Sutsuma Chef ...,0.09090909090909091
Is that so?,ええっ　そうなの… か,Yeah ...,0.0
Can we please stop talking about this?,いやぁ　だから もう聞かんでくれ,I will hear it anymore,0.0
No way! Explain yourself!,説明しやがれ！ 何がどうなったのか,Describe!What happened,0.125
All eyes up front!,全員 ステージに注目,Attention to all stages,0.125
We've gathered all of you here for one reason and one reason only:,集まってもらったのは他でもない,Nothing else I got it,0.0
to explain to you what tomorrow's task will be.,明日の課題について連絡するためだ,It is to contact tomorrow's challenge,0.21428571428571427
Breakfasts are the face of the hotel.,朝食はホテルの顔,Breakfast is a hotel's face,0.18181818181818182
It is an important meal because it is what starts the guests' day.,宿泊客の１日の始まりを演出する 大切な食事だ,It is an important diet that produces the beginning of the day of the guest,0.3157894736842105
I'd like you all to come up with an innovative dish that will make a vibrant contribution to the breakfast table.,そのテーブルを 晴れやかに彩るような―,It seems to color the table for alarms-,0.1111111111111111
Innovation,新鮮な 驚きのある一品を 提案してもらいたい,I want to suggest a fresh surprise of fresh surprise,0.0
The main ingredient will be eggs.,メインの食材は卵,Main ingredients are eggs,0.2222222222222222
"Your dish may be of whatever cuisine you'd like,",和･洋･中といったジャンルは 問わないが―,"Although the genre like sum, ocean and medium is not limited-",0.09523809523809523
but it must be capable of being served buffet style.,ビュッフェ形式での提供を 基本とする,Based on provision in buffet format,0.0625
The judging will begin at 6 o'clock tomorrow morning.,審査開始は 明日の午前６時だ,The start of examination is 6 am tomorrow,0.2
Make sure that your dish is ready by then.,その時刻に試食できるよう 準備してくれ,Prepare to tast to that time,0.07142857142857142
Did I hear that right?,私の聞き間違いかなぁ？ 午後６時… だよねぇ,Is my mistake wrong?6:00 pm ...,0.07692307692307693
"He meant six in the evening, right? no, he definitely said ""morning.""",いいや 完全に“午前”って言ったぜ,"It was nice and completely ""morning""",0.14285714285714285
You're free to decide how to spend your time.,朝までの時間の使い方は自由,How to use time until morning is freedom,0.2
"You can work on your recipe  in one of the many kitchens,",各厨房で支度を行うもよし 部屋で睡眠を取るもよしだ,It is good to make a quick stay in the room with each kitchen,0.08
I'll see you all again in the morning.,では 明朝また会おう,See you again tomorrow,0.2727272727272727
My brain's barely working as it is!,こんな状態で まともに頭 働かねえよ,"In such a state, I can't work properly",0.0
"Finally, a task worth competing over.",ようやく 張り合いのある課題が出たな,I finally got an issue with a bond,0.14285714285714285
I'll deliver the ultimate breakfast:,イタリアの定番卵料理を,Italian classic egg dishes,0.0
a traditional Italian egg dish that's been prepared with the Aldinis' expertise!,アルディーニの技でアレンジした 至高の朝食を お見舞いしてやる,I would like to visit the supreme breakfast arranged with Ardini's skills,0.12
What's in this traditional Italian egg dish of yours?,へえ～　イタリアの定番卵料理って どんな感じなんだ？,Husei-What is the standard egg meal of Italy?,0.17647058823529413
Stop giving away our secrets!,それ以上のネタばらしは よせ！,"More than that, it is good!",0.07692307692307693
D-Don't you dare act so familiar with me!,きっ 気安く話しかけないで,Don't talk about spirit,0.07142857142857142
A word of advice.,忠告しておくけれど―,I will advise you-,0.0
"If you want to avoid embarrassing yourself in front of the judges, that is.",審査員の失笑を買いたくなければね,If you do not want to buy the guidance staff,0.23809523809523808
Huh? What are you talking about?!,はぁ？　誰が！ 言ったでしょ　まずいって,Has?Who is!I told you,0.23076923076923078
I've secured a kitchen.,調理室の手配が済みました,I arrived the cooking room,0.1
Very well.,よろしい　では向かいましょう,Let's face it,0.0
"Well, good luck racking your  nonexistent brains over this one.",まっ せいぜい ない知恵を絞りなさい,Squeeze the wisdom that is not,0.0
"Um, are you guys all right?",あの… ２人とも大丈夫？,That ... is both okay?,0.07692307692307693
"Fine, I'll show them what I've got!",こうなったら 根性見せてやんよーっ！,"If this happens, I will show you",0.2
"Hey, Marui! Stand up! we're all going back to the dorm together!",ほら 丸井 立ちな 絶対 みんなそろって寮に帰るよ！,"Somizuki absolute absolutely, I will return to the dormitory!",0.18181818181818182
Polar Star fight!,極星 ファイト！　オーッ！,Polar Fight!Oh!,0.6
What a quiet night.,静かな夜だ,It is a quiet night,0.42857142857142855
"what with all the yelling. but all things considered,",うむ だが 恐らく学生たちは 今―,"Um, but the students are now-",0.21428571428571427
I would expect the students to be more frustrated than they'd usually be.,怒号よりも もっと激しい… 焦燥の真っ只中にいるのだ,It is more fierce than angry ... I am in the midst of frigid,0.16666666666666666
I wonder if this'll work.,これで大丈夫かなぁ,Is this all right?,0.09090909090909091
Maybe I'll try another seasoning.,別の味付けも試すか,Do you try another seasoning?,0.3
This assignment is more cruel than I thought.,思った以上に エグい課題だな,It is an expensive task than I thought,0.3076923076923077
I'm retiring to bed.,私はもう休みますが あなたは まだ試作を？,I'm already off but you still prototype?,0.15384615384615385
Don't stay up too late.,そう　程々で切り上げなさいな,Catch so much,0.0
Pressure doesn't exist in her world!,さすが えりな様 プレッシャーなど無きが如し,"Susuma, no pressure, etc.",0.07692307692307693
"In the game of Old Maid yesterday... i wasn't... feeling my best, exactly.",昨日のババヌキは その… 少し不調だっただけだから,Yesterday's Baba Nuki is that ... because it was a little disorder,0.1111111111111111
Got it?,いいわね あっ はい,Good morning,0.0
She's determined to be the victor  in anything and everything.,さすが えりな様　何事にも 常に勝者であろうとするご意志,Thank you very much for your witness,0.0
I will show you what an egg dish worthy of Tohtsuki is made of.,しかと ご覧に入れましょう,Let's take a look,0.0
Is a buffet like one of those all-you-can-eat places?,あ～ ビュッフェってのは確か バイキングみたいなやつだっけ,A-Buffet is surely like buffet guy,0.23076923076923078
I have no idea what breakfast  at a luxury hotel looks like.,高級ホテルの朝食なんて ピンと来ねえけど…,A luxury hotel breakfast is a pin and come ...,0.2222222222222222
Guess I'll give this a shot.,とりあえず作ってみっか,"For now, I make it",0.07692307692307693
If you're talking egg dishes...,卵料理と言えば…,Speaking of egg dishes ...,0.3333333333333333
"In Japanese cuisine, it'd be dashimaki eggs.",和食なら だし巻き卵,It is a Japanese food and rolled egg,0.125
"With Western cuisine,  scrambled eggs sounds about right!",洋食なら スクランブルエッグあたりだな,Western food is a scrambled egg,0.14285714285714285
Self-Praise,うめえ～っ！ ええっ,Ume!Yeah,0.0
"No doubt about that,",うまい　うまいけども これじゃ だめなんだよなぁ,"It's delicious, but this is not good",0.07692307692307693
"Something new for the menu, huh? that was quite interesting...",新メニューか 面白えもん作ったなぁ,I made a new menu or funny,0.1111111111111111
You thought it was good!,いいか 創真　うちは定食屋だぜ,"It is good or creation, it is a set meal",0.15384615384615385
Our customers come to Yukihira  because they're looking for diner food.,客は定食屋らしい品を求めて ゆきひらに来るんだ,Customers will come to Yukihira,0.2857142857142857
Making off-the-wall dishes simply because you can won't win anyone over.,そこから外れた突飛な品を作っても しょうがねえってこった,I made it even if I made an evil item that came out there from there,0.0
Trying to dazzle them with something novel isn't going to work.,奇をてらっただけの料理じゃだめだ,It's just a dish that I'm frustrating,0.0
I need to make something that's both classic and classy enough to be served here. But also...,高級ホテルにふさわしい 卵料理の定番メニュー,Standard menu of egg dishes suitable for luxury hotels,0.0
"There's got to be some kind of twist to  the dish, something fresh and unexpected.",そこに何か１つ 驚きを加えるアイデアを,Ideas to add something surprise there,0.15
This breakfast is a culmination  of the Aldinis' expertise!,これぞ アルディーニの技術を 尽くした朝食,Breakfast who did the technology of Aldini,0.2
Wait till you see my ultimate dish!,この俺の 至高の料理を！,This is my supreme dish!,0.2727272727272727
"Just go to sleep if you're done, Bro.",できたんなら早く寝なよ　兄ちゃん,I'm sleeping soon,0.0
