en_text,jp_text,google_translated,score,semantic_score
"The fourth match in the Autumn Selection,",秋の選抜 第四試合,Autumn selection 4th game,0.2222222222222222,0.7767142
will be a Cooking Battle!,食戟が行われるとのことです！,It is said that food will be held!,0.25,0.5170471
A Cooking Battle in the middle  of the Autumn Selection?!,郁魅) 選抜の真っ最中に食戟？,Yasuo) Shops in the middle of the selection,0.35714285714285715,0.28764358
Is that even allowed?,悠姫) そんなことできるの？,) Can you do that?,0.2222222222222222,0.4630416
There is no question that  the conditions have been met.,条件は問題なく そろっております,Conditions are not problematic,0.07142857142857142,0.5721828
The administration has deemed this an official Cooking Battle!,食戟管理局は この勝負を 正式な食戟として受理しました,Shimokudo Daike has accepted this game as a formal food,0.1111111111111111,0.26085308
"Takumi Aldini            Mimasaka Subaru however, an exception was made for this match, so each judge will cast one vote.",この試合のみ １人１票の多数決―,This match only one person per person per person-,0.12,0.398788
The match will thus follow  the Cooking Battle format.,つまり食戟の形式にのっとって 行われます,"In other words, it will be done in the form of food",0.10526315789473684,0.2627617
Italians always seek  vengeance after humiliation.,イタリア人は 受けた屈辱を必ず返す,Italians must replace humiliation received,0.2,0.7847861
"If I win, I'll have you grovel  and apologize right here,",俺が勝ったら この場でひれ伏し 詫びてもらう,"If I win, I will have an apology at this place",0.2777777777777778,0.75371534
"to the mezzaluna you've tainted,",貴様が汚したメッザルーナに,To Metza Luna that you are dirty,0.16666666666666666,0.3631232
Hey!,あっ！,Ah!,0.3333333333333333,0.49179554
but they didn't say anything about a Cooking Battle.,でも… 食戟なんて 全然言ってなかったのに,But ... I was not saying at all everything,0.05263157894736842,0.3337443
Mimasaka intended to make this into a Cooking Battle from the very start.,美作は最初から 食戟を仕掛けるつもりだったんだ,Beauty I was going to put my food from the beginning,0.13636363636363635,0.36849388
"He does exhaustive research on his targets,",狙いをつけた生徒について 徹底的に調べ上げて―,Examine thoroughly about the target students-,0.0,0.38837218
to drag them into a face-off.,勝負の場に引きずり出す,Drag out to the game,0.2,0.32115597
