en_text,jp_text,google_translated,score
I'll quit being a chef.,料理人―,Cook-,0.0
Yukihira Diner i'll never again set foot  in a professional kitchen.,一生 プロの厨房には 立たないって約束する,We promise to stand in the lifelian kitchen,0.10526315789473684
Would that be enough for you to agree to put your hundred kitchen tools on the line?,それなら 100本の道具に釣り合うか？,"If so, will it be balanced with 100 tools?",0.12
"The second match's topic  is a Western main dish, right?",二回戦のお題は “洋食のメイン”だったよな,"The topic of the second round was ""the main food of Western food""",0.2631578947368421
It's not good enough.,それじゃだめだ あ…,That's right ...,0.1111111111111111
You've robbed a hundred  people of their kitchen tools.,お前が今まで奪ってきた 道具100本―,100 tools that you have been taken up-,0.11764705882352941
I'll return them to their rightful owners.,あるべき場所へ返してもらう,Get it to a place to be,0.07142857142857142
Terms accepted.,成立… だな,It is ...,0.0
after such a humiliating defeat.,“えりな様にお見せする顔など ありません”,"""There is no face to show me like Eri.""",0.058823529411764705
"Please allow me a leave of absence.""",“どうか 暇をお与えください”,"""Please give me free time""",0.23076923076923078
",Arato  Hisako",えりな) 緋沙子　私の意見も聞かずに,Erika) Sakaya Don't hear my opinion,0.0
I'm going on a journey.,えりな) 緋沙子　私の意見も聞かずに,Erika) Sakaya Don't hear my opinion,0.0
You didn't even ask me  what I thought about the match.,えりな) 緋沙子　私の意見も聞かずに,Erika) Sakaya Don't hear my opinion,0.05
The real deal. Wow.,本物だ　すげえ！,It's real!,0.125
I thought you were one  of Mimasaka's spies.,悪ぃ 悪ぃ 美作のスパイかと思ってさ,I wonder if it is a spy of evil bad beauty,0.10526315789473684
Soutsuda Mitsuru,遠月学園 中等部３年 新聞部の者です,Later La Gakuen Maintaining Three-Year News,0.0
Tohtsuki Academy Junior High Division  3rd Year – Journalism Club,遠月学園 中等部３年 新聞部の者です,Later La Gakuen Maintaining Three-Year News,0.0
I'm a third-year in Tohtsuki's junior high division.,遠月学園 中等部３年 新聞部の者です,Later La Gakuen Maintaining Three-Year News,0.0
I'm in the journalism club!,へえ 新聞部ねえ,Human newspaper part,0.0
Cooking Battle,へえ 新聞部ねえ,Human newspaper part,0.0
at the Festival of,へえ 新聞部ねえ,Human newspaper part,0.0
Gourmet Food,へえ 新聞部ねえ,Human newspaper part,0.0
Another,へえ 新聞部ねえ,Human newspaper part,0.0
Subaru,へえ 新聞部ねえ,Human newspaper part,0.0
Mimasaka,へえ 新聞部ねえ,Human newspaper part,0.0
Yukihira  Souma,へえ 新聞部ねえ,Human newspaper part,0.0
He Said He'll Quit Being a Chef!,へえ 新聞部ねえ,Human newspaper part,0.0
So I have a favor to ask.,そこで お願いがあるんです,There is a request there,0.09090909090909091
Would you allow me to provide total coverage  of your week leading up to the Cooking Battle?,食戟までの１週間 先輩を 密着取材させていただけませんか,Could you take a weekly senior for a few days?,0.08
"I was so impressed! i never get big stories because i'm still one of the junior high underlings at the newspaper,",僕はまだ中等部の下っ端だから―,Because I still are the lower end of the second-,0.2
"but I bet if I could write a good story about someone like you,",幸平先輩ほどの人の取材を 成功させれば―,If you make the interview of people of Keihei senior as a successful,0.13043478260869565
Please let me write about you!,取材 お願いします！,Please take care!,0.2222222222222222
What's going on?,何 あれ？ そういう関係なの？,What?What kind of relationship is it?,0.2
I'm so happy to get to write a story about you!,ありがとうございます 取材させてもらえるなんて,Thank you,0.07692307692307693
"Everyone else has practicums in the afternoon,",他の連中は午後も実習だし―,The other station is training in the afternoon-,0.15384615384615385
so it's helpful to have someone who can be an objective taste tester.,客観的に味見してくれる奴がいると 助かるしな,It will be saved if there is a person who tastes objectively,0.125
So you'll finally be testing  your beef stew recipe!,いよいよ ビーフシチューを 試作するんですね,It is finally trototroping beef stew,0.21428571428571427
It's a dish that rests on two pillars:  simmered beef and demi-glace sauce.,煮込んだ牛肉と デミグラスソース その２つの柱で構成される料理,Boiled beef and demigrass sauce: Foods consisting of two pillars,0.2857142857142857
"It may sound simple, but...",口で言うとシンプルですけど…,It is simple to say in the mouth ...,0.23076923076923078
Some restaurants that specialize in Western cuisine  simmer the demi-glace sauce for two weeks.,洋食の専門店とかだと―,Western food specialty stores-,0.05555555555555555
I'll let you have a taste  to see if I'm actually confident!,ん～ まあ 自信があるかどうかは…,Hmm ~ Whether it is confident ...,0.05
This single step makes a huge difference in how fragrant the dish is at the end.,この工程１つで 完成時の香ばしさが段違いだからな,"Because of this process, the aroma at the time of completion is a depression",0.20833333333333334
You bring it to a boil and remove  any scum that rises to the surface.,一度 煮立てて アクを取るのも忘れずにな,Boil it once and do not forget to take action,0.19047619047619047
It already smells heavenly!,既に とんでもなくいい香りがぁ…,There is no longer a good smell ...,0.0
"If you gather parsley, thyme, bay leaf, and tarragon into a bouquet garni,",パセリ タイム ローリエ エストラゴンを束ねて―,Bunch Parsley Time Laurier Estragon-,0.05555555555555555
"Oh, what a nice color!",おお… いい色っす,Oh ... good color,0.2222222222222222
The trick is to strain the demi-glace sauce after you simmer it down.,コトコト煮込んだ デミグラスソースは―,Cottokoto simmered demigrass sauce-,0.0
That helps improve its texture.,そうすることで 口当たりがよくなる,"By doing so, the mouth is better",0.0
Season to taste with salt and pepper...,塩 コショウで味を調えて…,Taste with salt pepper ...,0.625
"I'll have a taste, then.",では 味見を,Then taste,0.25
"When you bite down,  the beef's juice gushes out",かみしめると 牛肉のダシがあふれて―,Missing and beef dumplings are full-,0.0625
and melts into the demi-glace sauce.,デミグラスソースと 溶け合っていく！,Demi-glass sauce and melt!,0.2
but yours is really mellow!,先輩のは ものすごくまろやかです,The senior is truly mellow,0.2222222222222222
