en_text,jp_text,google_translated,score
What?,（ユーリ）何？,What?,1.0
Dunno. It's white as far as the eye can see.,"（ユーリ）
さあ 見渡す限り真っ白だね","Well, it's too white to overlook",0.1875
It's almost like we're the only people in the world.,"（ユーリ）まるで世界に２人しか
いないみたいだね","Almost only two people in the world
It looks like it's not",0.6
"Meanwhile, I'm desperately trying to find us\Na place for us to ride out the cold...","こっちは寒さをしのげる場所を
探すのに必死だってのに…","Here is a place where you can get cold
It is desperate to look for ...",0.18518518518518517
"That, or...",それとも…,Or ...,0.5
"We're actually already dead, and we're in\Nthe pure-white world of the afterlife.","（ユーリ）
実は２人とも もう死んでいて―","Actually, he is already dead-",0.17647058823529413
"Aww, I was just starting to have fun!",え～ 楽しくなってきたのにい,Eh ~ I'm getting fun,0.14285714285714285
"Hey, did you know that the afterlife\Nis supposed to be really warm?",（ユーリ）ねえ 知ってる？,Do you know?,0.2
"If that's true, then it doesn't look like we're dead yet.","（チト）だったら私たちは
まだ死んでないみたいだな","If we are
It seems that it does not die yet",0.3
Sure is cold...,（ユーリ）寒いね…,cold ...,0.5
W-we've gotta find a place to rest soon...,"（チト）そ そろそろホントに
休める場所を見つけないと","Sometimes
I have to find a place to rest",0.35714285714285715
Yeah...,う… くう～ うう…,Uh ...,0.3333333333333333
"Yuu, wake up!",はっ んん！,Haln!,0.16666666666666666
I'm not sleeping.,寝てないよ…,I'm not sleeping ...,0.6666666666666666
A b-b-building...,"（ユーリ）
なな… 何の施設だろう…",What a facility ...,0.4
C-can't read it...,よ 読めないな,I can't read it,0.42857142857142855
This facility's pretty old.,相当古い施設だ,It is a considerable old facility,0.2
Don't know how to get in.,入り口も分からない,I do not know the entrance,0.16666666666666666
"Hey, look, look!",（ユーリ）ねえ 見て見て,Hey watching,0.2
What's up?,（チト）ん？ どうした？,?What happened?,0.4
Th-that pipe doesn't have any snow on it at all.,"（ユーリ）あ あのパイプ
全然雪が積もってない","Ano pipe
Snow is not piled at all",0.25
I-is it hot?!,あっ 熱いのか！？,Hot hot!?,0.6
Hot water!,お湯～,Hot water,0.6666666666666666
What do you mean? C'mon.,（ユーリ）ど どうする？,How do you do?,0.375
I'm glad we found a pipe in such good condition.,具合のいい管があってよかったね～,It was good to have a good tube,0.11764705882352941
Yeah.,うん,Yes,0.0
Bath,（ユーリ）できた… 風呂,I was able to ... Bath,0.16666666666666666
"The water feels really good, Chi!",いい湯だよ ちーちゃん,It is good hot water Chi-chan,0.16666666666666666
Y-yeah.,う うん…,No…,0.0
Feels good...,（チト）気持ちいい…,feeling good ...,0.5
how long has it been since we had a bath?,"そっか～ じゃあ４回目だ
（チト）ハァ～",It's a fourth time,0.14285714285714285
Three.,３回だよ,It is three times,0.2
I feel like I've been brought back to life.,"（ユーリ）せっかく生き返ったのに
縁起でもないね","Even though I changed my life
It is not auspicious",0.1111111111111111
"Hey, what does ""paradise"" mean anyway?","ねえ “極楽”って
どういう意味？","Hey ""Align""
What do you mean?",0.46153846153846156
It means the afterlife.,ああ… 死後の世界って意味だな,Oh ... It means the world after death,0.3
That's an unlucky thing to say\Nafter we've been brought back to life.,（チト）そうだな,That's right,0.13333333333333333
"Yeah, huh.",うん そうだね,It looks like,0.0
Glad we found a place we could stay.,宿りできる場所があってよかったね,It was good that there was a place where you can go,0.11764705882352941
We went into a building and\Nblocked the entrance with snow.,"“私たちは建物に入り
入り口を雪で固めた”","""We enter the building
The entrance was solidified with snow",0.4
"Oh, add more fuel.",あ 燃料追加して,Add a fuel,0.2857142857142857
"Okay, okay.",ヘイヘイ,Heyhey,0.0
One okay is enough.,ヘイは１回だ,Hey is once,0.14285714285714285
Huh.,あ～ う…,Oh ...,0.0
What're you writing again?,それ 何 書いてんだっけ？,What are you writing?,0.5714285714285714
It's a journal or log I've been keeping since we left.,めんどくさいことは私任せで,It is necessary to make a waste,0.10526315789473684
I explained it to you before.,前にも説明したろ,Before you explain,0.25
People like you are exactly why\Nwe need to have a journal like this.,"お前みたいなやつにこそ
こういう記録が必要なんだよ","Only guys like you
I need such a record",0.2222222222222222
Memories just get in the way of living.,記憶なんて生きる邪魔だぜ,I'm in the way I live,0.25
Huh? Did we eat today?,あれ？ 今日ごはん食べたっけ？,that?Did you eat rice today?,0.4444444444444444
"Ever since they were invented thousands of years ago,\Nhumanity has been recording things in books.","何千年も前に
古代人が発明して以来―","Thousands of years ago
Since ancient people invented-",0.23809523809523808
It's thanks to books that we can learn about\Nthings that happened long ago.,本のおかげだしね,Thanks to the book,0.125
"You've always liked books, huh, Chi.","（ユーリ）ちーちゃんは昔から
本 好きだったもんね","Chi-chan old
I liked this",0.07692307692307693
You read a whole lot of Grandpa's books.,"おじいさんの本
たくさん読んでたし","Grandpa's book
I read a lot",0.4166666666666667
"Yeah, but we had to burn most of them.","（チト）
ほとんど燃えちゃったけどね",I almost burned but,0.07142857142857142
"Excluding the couple of journals, we have...","今も持ってるのは
数冊の日記を除けば…","I have now
Except for several diary ...",0.13333333333333333
"One, two, three... four books.",１… ２… ３… ４冊か…,1 ... 2 ... 3 ... 4 books ...,0.16666666666666666
Lemme see.,見せて,show me,0.2
KAPPA\NAkutagawa,はい,Yes,0.0
I wonder how many books are left in the world.,"世界中探しても
もうどれだけ残ってるか…","Even if you look for all over the world
How much remains already ...",0.13636363636363635
I see.,なるほど～,I see ~,0.5
The fire's getting low. Add more fuel.,燃料追加して,Add fuel,0.2222222222222222
"What, are we out of fuel?",何？ 廃材 もうないの？,what?Isn't it wasteful?,0.16666666666666666
The book!,本がっ！！,Book!!,0.6666666666666666
"Hot, hot!","消せ～っ！
（ユーリ）熱っ 熱い…","Delete!
 Hot hot ...",0.4
Not Kappa...,（チト）ああああ… 「河童(かっぱ)」が…,"ah ah ... ""Kappa "" is ...",0.3333333333333333
Kappa?,"ああ…
（ユーリ）「河童」？","Ah…
 ""Kappa""?",0.4
Listen!,聞けよっ！！,Listen!!,1.0
I said I was sorry.,"ごめん それは
あんまり聞いてなかった","Sorry
I did not hear so much",0.2
"Don't ""okay"" me!",“はい”じゃない,"""Yes""",0.25
"Whatever, I'm going to bed!",もういい 寝るっ！,I'm going to sleep already!,0.5
Chi.,（ユーリ）ちーちゃん,Chi-chan,0.0
"Chi, are you still mad at me?",ちーちゃん まだ怒ってる？,Chi-chan still angry?,0.18181818181818182
You definitely are.,怒ってるじゃん,I'm angry,0.0
"Ready, go!",（チト･ユーリ）せーの！,!,0.25
The snow sure piled up.,積もったな,It was piled up,0.25
Think so.,何とか…,somehow…,0.0
"Hey, are you still mad?",ねえ まだ怒ってる？,Hey still angry?,0.375
"Even if we lost a book, we still have the journals.","本は減っても まあ
この日記があるし","Even if the book decreases
There is this diary",0.23529411764705882
Hup.,よいしょっと,Good snack,0.0
What is this?,ん？ 何だ これ？,Yeah?What this?,0.6
"Hey, Yuu, you drew something in here, didn't you?",おい ユー 何か落書きしたろ,Hey you doodle,0.16666666666666666
Did I?,はて？,?,0.3333333333333333
"It's your face, Chi.",ちーちゃんの顔だよ,It is Chi-chan's face,0.3333333333333333
My face doesn't look like this.,（チト）私はこんな顔じゃない,I am not like this,0.18181818181818182
I wanna draw some more now.,もっと落書きしたいなあ～,I want to doodle more,0.18181818181818182
Huh?,（ユーリ）え？,?,0.5
I'M SOKKY,（チト）あと 字 間違えてるぞ,I'm mistaken after the letter,0.2857142857142857
Think it's around here.,"（ユーリ）
よく晴れてるねえ それにしても",It's fine and it's fine,0.25
That's why I figure it's gonna be coming soon.,"だから
そろそろ来るんじゃないかな","that's why
I wonder if it will come soon",0.375
What's coming?,来るって何が？,What will come?,0.3333333333333333
There it is.,すごい量だね,It is a great amount,0.2857142857142857
The water from the melted snow.,ほら 雪解け水が…,Snow remained water ...,0.25
Because it's been warm now for a few days.,"（チト）数日前から
かなりあったかかったからね","From a few days ago
Because it took quite",0.3333333333333333
It must have really filled up.,たまってたはずだよ,You should have been,0.1
Why does a whole lot come out all at once?,"（ユーリ）なんで一度に
たくさん出てくるんだろう？","Why at one time
How many comes out?",0.25
"Because the ancient city's drainage system\Nis still here, or something.","（チト）大昔の都市の排水機能が
残ってるせいだとか何とか…","The drainage function of the old city
It's a reason that you remain or something ...",0.2608695652173913
"In any case, what's important is\Nwe get some drinking water.",とにかく大切なのは 飲み水の確保,"Anyway, it is important to secure drinking water",0.2222222222222222
We going down on foot?,徒歩で行くの？,Will you go on foot?,0.3333333333333333
"Yeah, it can't get down there.",そいつが降りられないからね,I can not get down,0.16666666666666666
"That, and...","（ユーリ）よっこら
（チト）それと…","yoko
 and ...",0.4
Gotta take our shoes off.,靴を脱がなきゃ,I have to take off my shoes,0.2727272727272727
Cold!,冷たっ うう…,Cold ...,0.3333333333333333
"It's so blue, Chi.","（ユーリ）
全部真っ青だね ちーちゃん",It is all right blue Chi-chan,0.18181818181818182
It's like we're in the sky.,空にいるみたいだよ,It looks like it is empty,0.16666666666666666
Watch your step.,（チト）足元 気をつけろよ,Be careful of your feet,0.125
"Let's look up while we walk, Chi.","（ユーリ）
上を向いて歩こうよ ちーちゃん",Let's walk up and walk Chi-chan,0.3333333333333333
"When the sky's so blue,","もったいないな～
こんなに空が青いのに～","It is no longer
Even though the sky is blue ~",0.21428571428571427
it's good weather for a laundry day.,"流されたら危ないだろ
深い所もあるし","It will be dangerous if you
There is a deep place",0.1111111111111111
What's this rope for?,このヒモは何？,What is this cast?,0.375
Are you gonna take off your helmet?,ヘルメット取ったら？,What if you take a helmet?,0.3333333333333333
Half-naked with a helmet...,半裸ヘルメット…,Half naked helmet ...,0.2857142857142857
Why is the sky blue?,空って なんで青いんだろうねえ,Why is it blue?,0.5714285714285714
"You gotta wash your clothes, too.",お前も服を洗うんだよ,You also wash your clothes,0.4
People long ago said it was\Nreflecting the blue of the ocean.,"（チト）昔の人は海の青が
映っているからなんて言ってたり","The old people are the blue of the sea
What he said because he is reflected",0.2631578947368421
The ocean?,（ユーリ）海？,Sea?,0.25
It's a place with water that's way bigger\Nand way deeper than this puddle.,"（チト）この水たまりよりも
ず～っと広く深く水がある場所だよ","More than this water puddle
It is a place where there is water wide and deeply",0.3333333333333333
The water under our feet would go on forever.,"私たちの足元のず～っと下に
まだ あるとか ないとか…","Under our feet
She has not been she yet ...",0.1875
I heard people long ago lived by the ocean.,"昔の人は海のそばで
暮らしてたらしいけど","The old people are by the sea
I would like to live",0.23529411764705882
"C'mon, look, look!",うっ うわああっ！,Ume!,0.2
"Why are you all wet, too?",なんでユーも濡れてんだ？,Why is you too wet?,0.5555555555555556
I fell.,コケた,Moss,0.0
"Forget that, look at this!",それより見てっ これを,See this more,0.1111111111111111
What's a fish?,魚って何なの？,What is a fish?,0.6666666666666666
It's a living thing that lives in water.,水の中に住む生き物だよ,It is a living thing living in the water,0.5
I heard there were a lot of them in the ocean long ago.,昔は海とかに たくさんいたらしい,It seems that there were a lot of sea or others,0.25
"Okay, let's eat it!",よし 食べよう,Let's eat,0.42857142857142855
What? Can we eat it?,え～ 食べられるかな ん～,Eh ~ Can I eat it ~,0.3333333333333333
It doesn't look like it's started to decompose...,"昔の人は食べてたらしいけど…
大丈夫かな","It seems to have eaten old people ...
Is it alright",0.17647058823529413
Let's roast it!,"ここのヒレをパタパタさせて
進むらしいけど","Let's put on the fried rice here
It seems to go",0.21428571428571427
"Hey, I wonder what it feels like to live in the water.","水の中に住むってさ
どんな感じだろうね","I live in the water
What will you feel",0.35294117647058826
"Dunno. Probably floating, and sinking...",さあ 浮いたり沈んだり…,Say floating and sink ...,0.3
Maybe.,そうかもね,Maybe so,0.3333333333333333
Let's eat it!,（ユーリ）食べるっ！,Eat!,0.4
"Be careful, it's hot.",熱いから気をつけろよ,Be careful because it's hot,0.625
H-how is it?,ん… ん？ ん… ん～,...?...,0.2
It's good!,うまい！,good!,0.5
Let me try.,私も,me too,0.2
Don't eat all of it!,あんまり食べないでよ,Don't eat too much,0.3333333333333333
It's weird.,キレイになったね 服,It became beautiful clothes,0.14285714285714285
Me! I'm next!,（ユーリ）次！ 次 私,Next!I am,0.5
"Refreshed, huh...",はむっ ん… ん…,Hmmm ...,0.2
But where did it come in from?,"でも どこから
流れてきたんだろうね","But from anywhere
It will flow",0.2727272727272727
And what if we do?,（チト）いたらどうするの？,What to do ?,0.42857142857142855
We eat them.,（ユーリ）食べる,Eat,0.25
Farewell.,さらば,Farewell,0.5
Bye bye!,バイバ～イ,Bava-i,0.0
