en_text,jp_text,google_translated,score,semantic_score
Huh?,（助六）あれ？,?,0.5,0.6635472
Give a moment's thought to \Nthe difference in our ages.,こちとら じいさんなんだ,It's a torrent,0.14285714285714285,-0.0646032
"Where are we going, anyway?","どこへ行こうって
いうんです","Where are you going
I say",0.3,0.5373693
I can't see the bottom...,"底が
全然見えやしねえ…","Bottom
You can see it at all ...",0.25,0.7447639
What is this place?,ここは 一体？,Is this one?,0.5,0.26717475
I was on the veranda of my house...,あたしゃ てめえんちの縁側で,At the edge side of the sky,0.15384615384615385,0.29444095
"That's right, I saw it all.","そうそう 見てたよ
信之助(しんのすけ)も 一節(ひとふし)やってたなあ","I saw so
Nobono Singuke also did",0.14285714285714285,0.3010085
"He sure is cute, huh?",あいつは本当に かわいいよなあ,He is really cute,0.375,0.6544966
Your condition suddenly got worse.,"あの後 急に容体が
悪くなって—","Suddenly vitals
Get worse-",0.1111111111111111,0.5249236
There was a huge to-do.,大騒ぎだったんだ,It was a fuss,0.25,0.42291677
"While they were on the \Nway, you went into a coma.","車に乗りたがらねえから
医者 呼んで","I got on the car
Call a doctor",0.16666666666666666,0.41001862
Everyone standing over you...,"みんなに見守られて
お前さん 幸せ者だなあ","Everyone is watched
You are a happy person",0.18181818181818185,0.3871332
you're the shinigami I saw in the theater?,"するってえと お前さんは
寄席で見た死神かい？","Oh, you are
Do you have a death that you saw at the same time?",0.2,0.353624
"That old rat, setting fire to the theater!","寄席に 火 付けるなんざ
とんでもねえ野郎だ！","Fire on the side
It's a bastard!",0.1875,0.4325452
"I'll make that old fart pay \Nfor that, next time I see him!","今度会ったら ただじゃおかねえ
あのじじい！","If you meet this time, it's just
Aid!",0.13636363636363635,0.23349728
He's the only one who can go between \Nthe worlds of the living and the dead.,"（助六）
この世とあの世を
行き来できるのは あいつだけだ","This world and the world
He can go back and forth",0.25,0.57968855
"I asked him to take me for a visit,","天寿をまっとうする奴には
取りつけねえんだ","For those who will fulfill Tengu
I'm sorry",0.1176470588235294,0.07358905
Are you saying you haven't moved on yet?,"じゃあ お前さんは
まだ成仏してないってのかい？","Well then you are
Do you haven't yet been to Buddha?",0.4,0.35994527
Wallet?,"（助六）懐の財布を見てみろ
（八雲）財布？","Look at the pupic wallet
 Wallet?",0.3333333333333333,0.64509964
See?,（助六）な？ すげえだろう,?It will be great,0.16666666666666666,0.23985909
I'd have gotten plenty of \Nmoney for the final journey.,"天寿をまっとうすりゃ
死出の路銀をたっぷりもらえるんだ","I'm sorry for Tenri
I will get plenty of the dead silver",0.2631578947368421,0.19962509
Money?!,"（八雲）
金？ そんなもんがいるのかい",Money?There is such a thing,0.25,0.67991585
