en_text,jp_text,google_translated,score
Showa Genroku \NRakugo Shinju\N—Descending Stories—,♪〜,♪ ~,0.0
He's awake!,（与太郎(よたろう)）起きた！,I got up!,0.14285714285714285
Don't move him!,（萬月(まんげつ)）動かしたら あかん,If you move it,0.125
but he's at least he's conscious.,"けど 意識が
戻らはったら—","But the awareness
Back to",0.09090909090909091
That's good.,"（萬月）
あかんな
もうろうとしてはる","Idle
Let's try it",0.125
Hang in there a little longer.,"（小夏）
今 救急車 来るからね
もう少し辛抱して","It's because I will come to an ambulance now
A little more patient",0.10526315789473684
It doesn't look like the \Naudience noticed anything.,こう見えて 元医学部や,It looks like the former medicine department,0.21428571428571427
"Thanks, Bro.",ひとまず安心や,"First of all, peace of mind",0.1111111111111111
Your quick work really saved us.,"テキパキやってくれて
みんな助かった","Teki Paki doing
Everyone was saved",0.08333333333333333
It's a good thing I came back.,"おかしい思って
来てみて良かったわ","I think it's funny
It was good to come",0.2857142857142857
The stretcher's here!,あっ 担架来たよ,There was a stretcher,0.125
Who's immediate family?,え？ ああ…,picture?Ah…,0.14285714285714285
We can take two of you.,"（救急隊員）
近親者は どちらですか？
お２人まで ご同乗できます","Which one is he?
You can pass up to 2 people",0.11764705882352941
"Yota, you're going, right?",ヨタ　行くんだろ？,Do you go to Yota?,0.3
"Matsuda-san, look after our child.","（小夏）
松田(まつだ)さん　子供をお願いします",Matsuda  Mr. Please give me a child,0.07692307692307693
"Sis, I'm staying.",待ってるから,Because I'm waiting,0.25
I gotta... do rakugo.,"そこで 落語ができるのも
あんたしかいないよ","There is also a rakugo
I have no idea",0.14285714285714285
You're the only one who can.,"終わったら すぐ 行く
師匠のこと守って","Go as soon as you finish
Protect the teacher",0.14285714285714285
And you're the only one \Nwho can do rakugo there.,落語 やんなきゃ,If you have a rakugo,0.13333333333333333
We were waiting!,待ってました！,I've been waiting!,0.2857142857142857
There it is!,どうも 「居残り」でございます,"It is ""remain""",0.2857142857142857
The bottom ones stay overnight.,下下の 下の下が 居残りをする,Do not stay under the lower down,0.18181818181818182
No lead-in?,（樋口(ひぐち)）枕なし？,Should I pillow?,0.16666666666666666
"Nobody likes those guys, it seems.","居残りって人は
あんまり好かれなかったんだそうで","There is no one
It seems that it was not good enough",0.11764705882352941
What did you wanna talk about?,佐平次兄(さへいじあに)　話ってのは何です？,What is the talking about Sae Anniversary Strife?,0.21428571428571427
We haven't been out south for a while.,お前ら　久々に南に押し出そう,You are going to push south after a long time,0.1111111111111111
