en_text,jp_text,google_translated,score
It's pretty peaceful here.,（そはら）そうですね,That's right,0.125
I entered the figures wrong again!,"また数字 打ち間違えちゃった
もう！","I also misunderstood the number
Already!",0.2727272727272727
Jeez...,（そはら）あっ…,...,0.5
"Everyone was showing off with\Ntheir love, battles, and tears,","ラブやらバトルやら
お涙やら 大活躍して…","Love and battles
Caughty and good success ...",0.21428571428571427
Where should I direct my anger?,"この怒り
どこに ぶつけたらいいの？","This anger
Where should he hit?",0.4
"No, I know...","いいえ 会長 分かってる
殺(や)るべきは―","No, I understand the chairman
Should be killed-",0.2727272727272727
There's only one person that'll satisfy.,ただ１人,Only one person,0.3333333333333333
at one of the nearby temples.,"今日は みんなで近くの神社の
夏の縁日に来ています","Today is everyone nearby shrines
I'm coming on the summer day",0.11764705882352941
Peace and quiet is the best.,"（智樹）あっ うん… もぐもぐ
やっぱり平和が一番ですなあ","Yes ...
After all peace is the best",0.36363636363636365
Sakurai.,"（美香子）桜井(さくらい)くーん
（智樹）ん？","Sakurai  Kun
?",0.25
Looks like we meet again.,（ゼロ）よう また会えたぜ,I met again,0.125
I came because it was summer.,"（智樹）ギャアアア！
（ゼロ）夏だから来てやったぜ","Gaaaa!
 I came because it was summer",0.6666666666666666
"Oh, before all that...","はい じゃあ今年の催し物
あっ その前に…","Yes, this year's event
She is before that ...",0.3076923076923077
Girls have to come this way.,"じゃあ 残った男の子たちに改めて
今年の催し物は？","Well then, once again to the remaining boys
What is the event of this year?",0.09523809523809523
Girls >,女の子はこっちよ～,The girl is here ~,0.0
A yo-yo fishing competition!,ヨーヨー釣り対決～！,Yo-Yo Fishing Conditioning ~!,0.42857142857142855
No! No way!,（智樹）うっ！,Uh!,0.25
I'm not participating!,"イヤだー！
イヤだ イヤだ イヤだ イヤだ","I'm sorry!
I'm an ear I'm an ear",0.375
I'll explain the rules.,ルールの説明をするわ,I will explain the rule,0.375
"Sakurai, what makes a\Nyo-yo in yo-yo fishing?","桜井君 ヨーヨー釣りの
“ヨーヨー”ってなあに？","Sakurai-kun Yo-yo fishing
What is ""Yo-Yo""?",0.3076923076923077
That's right. Bouncy bouncy.,"（美香子）
そう ばいん ばいんよね？","That's right, right?",0.42857142857142855
Huh?,あ？,Ah?,0.3333333333333333
Fish!,（ゼロ）フィッシュ！,Fish!,1.0
What?!,（智樹）なに！,What is it!,0.4
Look!,"（智樹）なっ！
（男たち）ああっ！","!
 Oh!",0.3333333333333333
There's a whole load of girls in the pool!,"（守形(すがた)）
見ろ！ プールの中に女子たちが！",")
look!Women are in the pool!",0.26666666666666666
Help!,"（中井）何これ！
（柳沢）いやあ～ん",Why!,0.3333333333333333
"and the team to catch the bounciest\N""yo-yo"" is the winner.","制限時間内に一番 大きな
ヨーヨーを釣り上げたチームの勝ち","The biggest within the time limit
Team winning a yo-yo",0.17647058823529413
Okay?,オーケー？,OK?,0.3333333333333333
"It's too bad that one of\Nthe favorites, Sakurai,",絶対に参加しないそうだから,It seems that I will never participate,0.13333333333333333
Hi! Tomoko'll play!,"（トモ子(こ)）きゃる～ん
トモ子 参加しちゃいまーす",")
Let's participate in Tomoko",0.1
