en_text,jp_text,google_translated,score
I want to get stronger!,"(ろくろ)お願いがあります！
俺は強くなりたい｡","There is a request!
I want to be strong.",0.3076923076923077
"I mean, please train us!","修行を頼む！
いや… お願いします!!","Ask for training!
No ... please!!",0.16666666666666666
"Let's see... ""You must hold hands.""",え～っと… ｢手をつなぐべし｣｡,"Well ... ""Hand connection"".",0.2857142857142857
"What do you think? \NMy car's a real beauty, huh?",な… なんでだよ!?,... What is it?,0.125
That was dangerous!,"うちの愛車｡
危ねえよ！","My favorite car.
I'm dangerous!",0.2
This is really bad!,"(２人)うわっ！
(すばる)どや？ 美しいやろ？","Wow!
?Is it beautiful?",0.2222222222222222
We're completely surrounded!,"(きなこ)こら ｱｶﾝ！
めっさ 囲まれてまっせ!!","Kowa Akan!
Surrounded!",0.2857142857142857
"The two of you make one whole,","あんたらは
２人で一つなんやから→","Anyara
One by two people →",0.16666666666666666
"""Twin Star Exorcists"" is a title \Ngiven to a married couple.",双星の陰陽師は夫婦の称号｡,The Nin-Yins of the Aya is the title of the couple.,0.23529411764705882
"Now, let's continue your \Ntraining for marriage.",さぁ 夫婦修行の続き 始めよか｡,Let's start the continuation of the husband and wife training.,0.16666666666666666
N-Now this is a real challenge...,こ… こいつは強敵だぜ｡,This ... This guy is a strong enemy.,0.36363636363636365
Ow!,はぁ～！,Ha!,0.3333333333333333
Why do I gotta do tedious crap like this?!,"なんで 俺が こんなﾁﾏﾁﾏ ﾁﾏﾁﾏ
やんなきゃなんねえんだよ!?","Why are I such a chimerica
I'm sorry I guy!?",0.2222222222222222
"I-It's important to keep your cool, right?",ｷﾐの右腕が暴走したのは→,Your right arm was runaway →,0.14285714285714285
"Ow, ow, ow, ow!",お… ｽ… ｽｶｰﾄ！,... Skirt!,0.2
I love you so much!,"[ﾓﾆﾀ]俺の思いを！ こんなに
お前のことを愛してるのに!!","[Monitor] My thoughts!so
I love you !!",0.45454545454545453
If you had only told me sooner...,[ﾓﾆﾀ]もっと早く言ってくれれば…｡,[Monitor] If you say earlier ....,0.21428571428571427
He's such an idiot.,ｱﾎやな…｡,Aho ....,0.125
I'm sorry!,"[ﾓﾆﾀ]どうして
わかってくれないんだ!?","[Monitor] Why
I can not understand!",0.18181818181818182
so how was she supposed to know?,"へ… 平常心が大事… だよな？
なっ？","To ... Normal heart ... is it?
?",0.15384615384615385
We don't have time to waste!,"お茶いうたら
お茶うけがつきもんやろ？","If you do tea
Do you have tea?",0.16666666666666666
come forth at once!,お茶が入りました すばる様！,Tea has entered Subaru!,0.1111111111111111
This is...,んなこと言われても…｡,Even if it is said ....,0.25
Why?!,"す… すみません｡
なんだよ!? それ！","... sorry.
What is it!?",0.2222222222222222
"Well, why do you think?","弟子やったら 師匠の気分くらい
察するもんちゃいます？","If you do my disciple, I feel like my teacher
Are you looking for?",0.23529411764705882
How do we do that?!,"だから 俺たちは
そんなんじゃねえって…｡","So we are
That's right ....",0.16666666666666666
I'm stepping out for a walk.,"そやけど小言ばっか言うてたら
肩凝ったわあ｡","If you say a word but speaking
I'm stiff.",0.26666666666666666
I feel the same as Rokuro.,あ～あ 疲れた疲れた｡,"Oh, I was tired tired.",0.18181818181818182
"Fair enough. Just for a bit, then.",新婚…｡,just married….,0.2
Hide and seek?!,く～ ｲﾃ！,Ku ~ Ite!,0.125
That's...,だ～ いい加減にしろ！,It's a good time!,0.125
...the training?,"いつになったら本格的に
修行をしてくれるんだよ？","When it becomes,
Are you training?",0.2
"I gotta say, though, the Twelve Guardians \Nsure are a bunch of weirdos.","やんなきゃなんないことが
いっぱいあるんだ！","I have to do anything
There are a lot!",0.13043478260869565
Zero.,"((うう…｡
陰陽呪装 鎮呪和符→","((UU….
Yin-Yang Curly Sealing Skills →",0.1111111111111111
Come and get me.,もっと俺がしっかりしねえと》,"More me """,0.14285714285714285
Benio!,"つうか そんなの
修行と関係ねえし！","Such
Reorality with training!",0.16666666666666666
What's wrong?! Did you find her?,"なんでだよ！
さあ なんでやろ？","why!
Well, what?",0.25
H-How did you find that?!,んなもん わかるか！,Do you understand?,0.2222222222222222
"I found it while I was looking for Master,","そない思てる間は
まだまだや｡","While I think
Still.",0.16666666666666666
A-Are you...,同じ… ねぇ？,Same ... niece?,0.16666666666666666
What is this?,(２人)かくれんぼ？,Shirenbo?,0.2
"Come on now, let's hear it!","これから日が暮れるまでに
うちを見つけられたら２人の勝ち｡","From now on until the sun goes
Two people won if you find it.",0.14285714285714285
"L-Look, it's just...","なんかおかしい？
おかしいって…｡","Something wrong?
It's funny ....",0.2727272727272727
"I said I didn't want it,","いやって言うくらい
しごいてあげる｡","To say
I'll give it up.",0.15384615384615385
A couple shouldn't hide \Nthings from each other.,"隠れなくていいのかよ？
１ ０｡","Should I not hide?
1 0.",0.2
That little...,"３ ２…｡
いきなり？
おいおい！","3 2 ....
Suddenly?
little by little!",0.2
There's more.,もう いいよ｡,that's enough.,0.3333333333333333
"No matter where she's hiding, I'll find her!","ﾏｼﾞ？ いつの間に!?
手分けして探すぞ！","Seriously?When!
I will find out and look for it!",0.14285714285714285
You should cool your head.,"ったく どこに消えたんだ
すばるのやつ｡","Where did you disappear
Subaru's guy.",0.16666666666666666
Quit calling me stupid!,"あ！
紅緒！","Ah!
Big!",0.14285714285714285
I'm thinking.,いるわけねえよな｡,I'm sorry.,0.6
"Hey, did you see that woman?",どうした？ 見つけたのか？,What happened?Did you find it?,0.25
Where did you see her?!,"お前なあ！ すばるが
そんなとこにいるわけねえだろ！","You are!Subaru
You're in such a cousin!",0.14285714285714285
Damn it! We're too late.,"何って…｡
ｵﾗｵﾗ はっきり答えんかい！","What ....
Olaora clear answer!",0.15384615384615385
Oh... And you two are?,"は はい｡
い… いやいや｡","Yes.
Yes ...",0.1111111111111111
but it looks like we missed her...,まったく 困ったやつらだ… う！,It is a guy who was totally troubled ...,0.13333333333333333
"Yes, she was here.","あんにゃろ｡
続きが｡","Annya.
Continued.",0.125
I think she said she was headed \Nto an antique shop next.,なんか すんません…｡,I'm sorry ....,0.13333333333333333
I bet she's doing this on purpose!,"《どこに隠れてようと
絶対に見つけてやる！》","""Where to hide
I will definitely find it!""",0.1111111111111111
Yes!,"ふざけやがって！
こんな かくれんぼ→","Bullshit!
Such a lot of seek →",0.1111111111111111
Did she say where she was going next?!,で どこ探せばいいんだ？,Where should I find?,0.16666666666666666
"Oh, I don't know about that...",ﾊﾞｶ ﾊﾞｶ言うな｡,Don't speak stupid.,0.16666666666666666
Here.,考え中｡,thinking.,0.3333333333333333
Damn her! How did she \Neat that much by herself?!,ねぇねぇ さっきの人見た？,"Hey, did you see the people?",0.1111111111111111
But we're out of leads now.,"どこで見た？
その京都弁の派手派手女｡","Where did you see?
Flawish hand of the Kyoto valve.",0.1111111111111111
We have to think ahead...,ｸｿｯ ひと足遅かったか｡,Did you have a delay?,0.09090909090909091
"What is she thinking, and what does she want?",あの ここにいた人は？,What is the person who was here?,0.21428571428571427
Then we'll know where she's going?,"ああ あのきれいな人の
お連れさん？","Oh that's a beautiful person
Are you?",0.125
I think I know.,ええ いらしてましたよ｡,Yeah I did.,0.3333333333333333
Master once said...,(２人)ﾊｧ ﾊｧ ﾊｧ…｡,Ha ha ha ....,0.16666666666666666
"Oh, this is awful.","ああ その人なら
お腹が空いたからって｡","Oh, if that person
Because she is hungry.",0.3333333333333333
I-I don't know...,さあ それは知りませんけど…｡,Now I don't know ....,0.5
So that's how you read her?,"あの～ もしかして
御幣島さんのお連れさん？","That ~
Mr. Money Island's?",0.25
"you think she'd just go to the \Ngym, like a normal person?",でも これで手がかりは消えた｡,"But with this, the clues disappeared.",0.09523809523809523
It's just intuition?!,"って言ってました はい｡
はあ？","Yes I said.
Is it?",0.18181818181818182
How'd she put you up to this?!,あいつがどう動くかわかる か｡,How do they move?,0.15384615384615385
Sorry. I was wrong.,"わかった かも｡
なに？","I wonder if I understand.
what?",0.2
"O-Oh, yeah? Well, if that's how it goes,",な なんだよ それ｡,That's it it.,0.25
Am I right?,それで ﾀﾞｲｴｯﾄ？,So diet?,0.16666666666666666
It can't be! I didn't sense anything!,"それ 当たりかも｡
え？","It may be perfect.
picture?",0.14285714285714285
Where are the Kegare?!,勘かよ！ しかも女の｡,I'm sorry!And the woman's.,0.15384615384615385
"Air Fissure Bullet, come forth at once!","何やらされてんだよ！
しかも なじんでるし｡","What is done!
Moreover, he is noodle.",0.125
Go!,ﾆｬﾛｳ！,Nyarou!,0.3333333333333333
Our attacks aren't working.,あともう少しだ｡,A little more.,0.1111111111111111
What's with this thing?!,"そんなことねえよ｡
え？","That's right.
picture?",0.18181818181818182
"Where are you, Benio?","想像すりゃいいんだよな
すばるが何を考えてるか｡","You should imagine
What are you thinking about?",0.2727272727272727
"I can't. If I'm not careful, I could hit Benio!","そんなこと言ったら 俺だって
わかるぞ お前の考えくらい｡","If you say such a thing,
I know I'm about your thoughts.",0.22727272727272727
What do I do?,"なんで わかるんだ？
俺が何考えてるか｡","Why do you understand?
What is I think?",0.4444444444444444
"No, not that.","もっとも それは
悪口ではなくて事実｡","The most
It is not bad.",0.2
That's right. I can tell...,"んな ｱﾎな！
わいは何も感じてへんで｡","Hmmm!
I feel that I feel nothing.",0.25
What would you do?,出たか｡,Were you out?,0.2857142857142857
Back me up!,とにかく！,Anyways!,0.2
That means...,《でも俺たちの攻撃を…》,"""But our attack ...""",0.125
See? You can do it if you try!,《一点に集中できれば…》,"""If you can concentrate on one point ...""",0.1875
Trying to grab hold of something \Nyou can't see is pointless.,"ｸｯ… 私たちの攻撃が｡
なんだ こいつ!?","Ku ... Our attack is.
What is he?",0.1
Huh?,ろくろ どこ？,Where is it?,0.2
N-No way...,ｸｯ…｡,Ku ....,0.2
That was quite the show you gave me.,"《どうしたらいい…
せめて相手の動きが読めたら》","""what should I do…
If you read the motion of the other party at least",0.09090909090909091
We're not newlyweds!,うっ！,Uh!,0.16666666666666666
Yeah.,ﾊｧ ﾊｧ…｡,Ha ha ....,0.25
What's wrong?,《ｷﾐなら どうする？》,"""What do you do?""",0.25
"Also, don't just dig around in my room!",《先に突っ込むのは ろくろ》,"""Don't go back to me""",0.11764705882352941
Sex fiends must die!,(２人)はぁ～っ！,Ha!,0.16666666666666666
"I'm really sorry, I guess.",やればできるやないの｡,I can not do it.,0.18181818181818182
"Hey, I found this in a book \Nby that Nijuuichiche guy.","だ だから それも
あいつらが無理やり…｡","So that
A guy is forced ....",0.23529411764705882
"That's quite deep, coming from you, Rokuro!","つ～か 勝手に俺の部屋
あさるなっての！","My room for myself
It's getting sloped!",0.11764705882352941
"Although... the writer's name is \NNietzsche, not Nijuuichiche.",やっぱ なんかすんません｡,After all it is not something.,0.1875
