en_text,jp_text,google_translated,score,semantic_score
"After I successfully passed the first and second astronaut selection exams,",なんば　むった,Nameless,0.0,-0.049450256
Someone needs to turn that off!,誰か鳴ってますよ！,Someone is ringing!,0.2222222222222222,0.38921925
It must be someone in this room.,この中にいるんでしょう？,Are you in this?,0.18181818181818185,0.28613254
"Okay, how does this sound?",わかった｡じゃあ こうしよう｡,I understand. Then let's do this.,0.07142857142857142,0.14241517
I'll sleep in the bedroom hallway tonight.,今日は僕が寝室の通路で寝るよ｡➡,Today I will go to bed in the bathroom passage.,0.25,0.6460794
"If you were the responsible party, you'd build yourself up as a hero.",これでもし あなたが犯人なら,This will be the criminal if you,0.15789473684210525,0.25617775
The first person on the scene is the most suspicious.,怪しいってもんだぜ｡,It is suspicious.,0.3,0.53832984
Then how about you?,そういう自分は どうやねん！,That's right!,0.0,0.15486276
"Why did you break the clock,",《どうして あんな事したんだ》,"""Why did you do something like that.""",0.21428571428571427,0.27463958
Did you break the clock?,時計 壊した犯人は｡,The criminal who broke the clock is.,0.18181818181818185,0.5341591
"Wait, that's because...",いやっ…それは…｡,I'm sorry ... it's ....,0.18181818181818185,0.3766256
"I was, but...",《してたけど》,"""I did it""",0.1111111111111111,0.16932094
Please return the puzzles to the pass-through box.,それでは物品受け渡し室の方に➡,"Then, in the case of the goods delivery room",0.0625,0.21034798
Then get to fixin'.,ほんならジブンが直してくれや｡➡,"If you get rid of Ghin, please fix it.",0.13333333333333333,0.27821398
"And while you're at it, fix the clock.",ていうか 時計直してくれ｡,Please fix it clockwise.,0.2307692307692308,0.35594612
"Good thing I kept my mouth shut. okay, then...",さて…｡,Now….,0.07692307692307693,0.28991148
I need to talk to you.,ちょっと話が｡,A little talk.,0.25,0.399543
"This is Makabe, from Team B.",こちらＢ班 真壁です｡➡,This is B 班 true wall.,0.3636363636363637,0.26386777
About the puzzle...,あの…パズルなんですけど…｡,That ... I'm a puzzle ....,0.2222222222222222,0.66300917
so I would like to complete it during my free time.,やってしまいたいんですが…➡,I want to do it ... ➡,0.1875,0.49231565
"That was clever, Makabe.",うまいですね 真壁さん｡,It's delicious.,0.1111111111111111,0.1815982
You're still too raw.,君はまだ若すぎる｡,You are still young.,0.375,0.47601077
I'll sleep in the hallway tonight.,今日は僕が通路で寝るよ｡➡,I will go to bed in the aisle today.,0.2857142857142857,0.44046807
We can take turns.,ひとりずつ交代で行こう｡,Let's go by one by one.,0.1,0.45180905
"Yes, why indeed?",さあ…なんでだろうね｡,Well ... Why is it.,0.1,0.2595812
"then when you do,",その時は 握手でもしよう｡,"At that time, let's shake hands.",0.07692307692307693,0.32931715
Have you ever brushed your daughter's hair?,娘さんの髪 といたことある？➡,Have you ever had a daughter's hair?➡,0.5833333333333334,0.8053287
It's also coming from the other side!,《あっちからも聞こえる!?》,"""Can you hear it from?""",0.13333333333333333,0.10974977
Where is the source?,《どこだ？》,"""Where's?""",0.25,0.18134336
The sound is coming from every direction...,《そこら中から聞こえる…》,"""I can hear from there ...""",0.14285714285714285,0.380901
Now the clock...,アラームの次は 時計か｡,Is it the next time the alarm?,0.1,0.42296904
you can pretend that you're sunbathing.,浴びることができる｡➡,You can bathe.,0.375,0.40211087
This is part of my morning routine...,毎朝の 日課…だ》,Every morning's daily routine ...,0.2727272727272727,0.760424
"May 4th, 6:12 AM, a Dusky Thrush.",⦅５月４日 ６時１２分…ツグミ⦆,⦅May 4 6:12 ... Tsugumi⦆,0.07692307692307693,0.36151272
"May 4th, 6:20 AM...",ひびと,Crack,0.0,0.09703879
You can't just say it's a bird.,⦅鳥じゃないだろ 鳥じゃ！➡,⦅鳥 じ!➡,0.0,0.028522767
Then...,⦅じゃあ…ハト！⦆,⦅⦅...⦆,0.25,0.19468156
Isn't the Skylark a bird?,ヒバリも鳥やろ？,Hibari and birds?,0.1,0.5243533
"It's somewhere around 6:00 AM, 7:00 AM, or 8:00 AM.",６時か７時か８時だよ｡,It is 6 o'clock or 7 o'clock or 8 o'clock.,0.1875,0.6698836
"Oh, there's less today.",なんや？今日は量が少ないなぁ｡,What?There are fewer amounts today.,0.25,0.7059587
"Well, this is a normal-sized portion.",いや これが普通やな｡,"No, this is normal.",0.4,0.32629412
What does that mean?,《どういう意味だ？》,"""What do you mean?""",0.3333333333333333,0.14510435
"Oh, what?",あっ 何？え もしかして…｡,What is it?Well she maybe ....,0.18181818181818185,0.21419293
Could it be?,⦅ガンですね⦆,It is ⦅cancer,0.16666666666666666,0.11256243
Huh? What?,う～…何だよ！,Hmm ... What is it!,0.125,0.24527256
