en_text,jp_text,google_translated,score,semantic_score
"So, they're here...",来たか…荒巻は私の所で止める。そう伝えてくれ,Have you come ... Stop rough rolls at my place.Tell me so,0.125,0.23673257
"I understand, sir.",承知いたしました,I understand,0.4,0.6772549
as well as the death\Nof Hisashi Imakurusu.,介入の件は聞いているよ。,The matter of intervention is listening.,0.16666666666666666,-0.013542063
"Will you come with us, please?",ご同行願いますかな？,Would you like to meet you?,0.16666666666666666,0.5585752
I've heard about what happened\Nwith the narc squad.,今来栖尚殺害教唆の容疑で逮捕状が出ております。,It is arrested about the suspicion of the Kurusu Kurusu Senior.,0.17647058823529413,0.18677352
But do you think I even ordered\NImakurusu's death?,私が指示したと思っているのかね？,Do you think I instructed?,0.4545454545454545,0.26560596
so he is being most cooperative\Nwith our investigation.,捜査には協力的です。,It is cooperative for investigation.,0.25,0.68300366
so I expect that we will have a\Ngreat deal to discuss with you.,あなたとの会話を記録していたようで,It seems to have recorded conversations with you,0.2222222222222222,0.27817553
I'm going back to HQ for now.,わしは一旦本部に戻る。,I return to the headquarters once.,0.2307692307692308,0.62496144
"Paz, you go to the DEA's\NHuman Resources Division...",パズは麻薬取締課の人事課に行き,Paz is going to the Human Resources Division of the Drug Document,0.3125,0.58307314
That's where we'll start.,ボーマは新美の取調べに同行しろ。,Boma accompanies Niimi's interrogation.,0.18181818181818185,0.08981993
Assemblyman Kanzaki?,神崎…議員,Kanzaki ...,0.25,0.7674959
That was splendid work you did\Nin that incident with my daughter.,娘の件では世話になったな,I was taken care of for my daughter,0.1875,0.3825449
"No, sir, I merely did my job.",いえ、職務を全うしたまでです。,"No, it is until the job is all.",0.2857142857142857,0.3486198
"What are you doing here,\NAssemblyman?",議員こそ何故こちらに？,Caployers Who are you here?,0.4,0.43886787
I've fallen from power. I have\Na lot of free time on my hands.,失脚した身だ。暇を持て余していてね。,I'm himself.Have a free time.,0.2352941176470588,0.49231163
