en_text,jp_text,google_translated,score,semantic_score
"After that,",それから俺は…,Then I ...,0.0,0.3882952
"no matter what I did,",どんな手を尽くしても―,No matter what kind of hand,0.3333333333333333,0.47141877
It was like the entire world,まるで 世界が結託して―,The world is collected by,0.2222222222222222,0.38956952
was conspiring to kill her.,まゆりを 殺そうとしているかのように,As if you are trying to kill me,0.16666666666666666,0.3799001
"That's not really an option, sir.",そう言われても… フーッ,Even if you say so ...,0.0,0.072550155
Huh? Mayushii's watch isn't working.,あれ？ まゆしぃの懐中 止まっちゃってる,that?I'm stopping the pocket of Mayushi,0.05882352941176471,0.48803526
Shiina Mayuri was the one who died.,萌郁) 死んだのは椎名まゆりです,) It is Shiina Mayuri,0.18181818181818185,0.6487735
"I mean, Okabe Rintarou has escaped.",岡部君… いえ 岡部倫太郎は逃走しました,Okabe-kun ... I saw Okabei Taro flew away,0.06666666666666668,0.5641829
"No matter what I do,",何をどうしようが,What to do,0.2857142857142857,0.43587008
"no matter what I try,",どんな方法を取ろうが 死んでしまう,Let's get any way,0.0,0.24762946
I see. So this is...,そうか これこそ…,That's right here ...,0.09090909090909093,0.40864164
There's nothing like that!,そんなものはない！,There is no such thing!,0.2,0.6365457
They don't exist!,そんなもの… ない！,Such ... not!,0.125,0.33149028
I just got to the individual character route.,個別ルート確定したところだお せめてセーブだけでも…,A separate route is confirmed A bit of save only ...,0.05555555555555555,0.42178768
It's exactly the same.,同じだ,It's the same,0.6666666666666666,0.7753192
"No matter how many times I try to save her,",いくら まゆりを逃がそうとしても 結局は…,"After all, even if you miss some ways ...",0.05,0.29827327
Assistant,メールまで同じ　メール…,Same email to email ...,0.0,0.15330467
Did something happen?,メールまで同じ　メール…,Same email to email ...,0.0,0.12963854
"Tell me later, okay?",メールまで同じ　メール…,Same email to email ...,0.0,0.15215129
Even the message is the same.,メールまで同じ　メール…,Same email to email ...,0.1111111111111111,0.39061812
"""I have new information regarding the time machine.""",タイムマシンの新たな情報が 手に入った,New information on the time machine was available,0.35714285714285715,0.7751212
Don't move.,動くな　両手を挙げろ,Ring both hands moving,0.0,0.29078925
Who are you people?!,お前たちの正体は？,What is your true identity?,0.09090909090909093,0.32598138
I know you're planning to attack the lab and kidnap us!,お前たちが今晩 ラボを襲い―,You hit a lab tonight-,0.125,0.5429443
