en_text,jp_text,google_translated,score,semantic_score
Are you sure this is the place?,ここで本当にいいのか？,Is it really good here?,0.16666666666666666,0.40118614
CosplayMedia@Akihabara,ここで本当にいいのか？,Is it really good here?,0.0,0.16675381
We're open!,ここで本当にいいのか？,Is it really good here?,0.0,0.13267836
Come on in!,ここで本当にいいのか？,Is it really good here?,0.0,0.033292398
Without a doubt.,間違いないわ,There is no doubt,0.14285714285714285,0.5349869
But this is the first time I've been here too.,私も来たのは初めてだけど…,It is the first time I came ...,0.3333333333333333,0.70200413
They said they see us. We're to enter near the maid uniform on the right.,カメラで確認したって 右側のメイド服の辺りを入れって…,I checked with the camera and putting around the maid clothes on the right ...,0.16666666666666666,0.552665
It's like a secret passage.,まるで忍者屋敷ね,Ninja Shop,0.0,0.011910136
This must be it. keep it clean ! !,ここか,Here?,0.0,0.06582707
"That's my line, dude.",それは こっちのセリフだお,It's a line here,0.2,0.49475887
To think you're the one who was analyzing it...,まさか お前が パソコンの解析を？,No matter what you are analyzing your computer?,0.1111111111111111,0.55677444
And that Maho made the request...,依頼主が 真帆たんだったなんてね,The requestor was Mao,0.1,0.3365561
It feels insulting to me.,バカにされてる気がするわ,I feel like being stupid,0.0,0.46309432
So much for keeping this part-time job a secret...,このバイトのことは あまり 知られたくなかったんだけど…,I didn't want to know this part-time too much ...,0.2352941176470588,0.6004935
I had no idea you did stuff like this too.,こんなことまで やっていたとはな,It has been done until this,0.0625,0.18601792
"This is Miss Makise's computer, isn't it?",これ 牧瀬氏のパソコンなんよね,This is Mr. Makise's PC,0.3333333333333333,0.7471764
There,～,~,0.0,0.31299463
is,～,~,0.0,0.21651275
god,～,~,0.0,0.20410937
W,～,~,0.0,0.3957265
Wonderful,～,~,0.0,0.3380295
I had heard about a computer guru I could trust who did analysis on the side.,そういう解析とかを バイトでやっている―,I'm doing such an analysis or byte-,0.09090909090909093,0.44061598
"Except, they wouldn't meet face-to-face.",ただ顔は見せられないって,I just can not show my face,0.0,0.18723841
Abort it. Right now.,中止しろ 今すぐに,Stop,0.0,0.32793573
"Inside that computer may sleep something so terrible,",そのパソコンの中には 世界を混とんへ導くほどの―,Some of the personal computers will lead to the crowded world-,0.0,0.35991272
it'll bring the entire world to its knees!,とんでもないものが眠っている 可能性があるからだ,It is because there is a possibility that something is slept,0.05555555555555555,-0.034313414
This concerns Suzuha too!,鈴羽も関係している話だ 鈴羽？,Suzuwa is also related to Suzuwa?,0.0,0.5803726
Yeah! You should know! If the time machine...,そうだ お前も聞いただろ タイムマシンで…,That's right I heard it on time machine ...,0.17647058823529413,0.60319376
"Something you can't talk about with me around, huh?",まだ話せないことが あるってわけね,There is something I can not speak yet,0.05263157894736842,0.4850345
Sorry...,すまない 分かったわ,I understand that I'm sorry,0.16666666666666666,0.309612
I should probably leave then.,席を外しておいたほうがいいわね 終わったら呼んで,"It is better to remove the seat, call me when it is over",0.0,0.3418752
"Okarin, shouldn't you just tell her?",オカリン もう話すしかないんじゃないの？,Ocarin can not speak anymore?,0.07142857142857142,0.11650262
It's not that...,ただ 話したら比屋定さんは きっと…,"If you just talk, Mr. Yasuhara is surely ...",0.07142857142857142,0.21325697
And they're most likely after any trace of her research.,連中の狙いは 恐らく その研究の痕跡―,The aim of a series is probably traces of their research-,0.047619047619047616,0.44134682
"Possibly, that theory of hers is inside Amadeus.",もしくはアマデウスの中にある 紅莉栖の理論,Or the theory of the Red Melbu in Amadeus,0.2,0.64139014
"At this rate, it's unfair to you.",このままじゃ 比屋定さんも 気持ち悪いだろうしな,This is also uncomfortable with this reason,0.06666666666666668,0.25492546
"But, you have to promise me one thing.",ただ これだけは約束してくれ うん？,"Just like this, do you promise?",0.2,0.620973
Don't even think it!,ああっ…,Oh ...,0.0,0.09845152
Okarin says something urgent came up so he can't make it.,オカリン 急用入っちゃったから 来られないって,I can not come because I got an open either,0.0,0.19145846
"Kagari, you really like that commercial, don't you?",かがりさん そのＣＭ 好きですよね,Mr. Kaguri I like that CM,0.14285714285714285,0.44338298
Wow! 50% OFF,クリア由宇比 糖質50％オフ！,Clear Yui Dejilled 50% off!,0.5,0.5454051
It's less that I don't believe it and more that it boggles my mind.,信じられないっていうか 思考が追いつかない,I can't get involved and I can't catch my thoughts,0.21052631578947367,0.30787787
"The theory is one thing, but you made a real time machine.",理論だけじゃなく タイムマシンを作っていたなんて,I was making a time machine not only theoretical not only,0.15,0.74945325
Making an actual one is still some ways off.,実際に作られるのは もっとあとの話だ,It is the story that is actually created,0.0625,0.24358548
What we completed was the Phone Microwave  that sends mail to the past,俺たちが完成させたのは―,What we were completed-,0.14285714285714285,0.35735175
and the time leap machine.,タイムリープマシン 似たようなものよ,Time Reap Machine Similarity,0.25,0.35983428
The time machine...,タイムマシンは？,What time machine?,0.3333333333333333,0.8193132
"The fact that Suzuha is here means it must be somewhere, right?",鈴羽さんがいるってことは 今 どこかにあるってことよね？,"That's where there is Suzuwa, isn't it somewhere now?",0.3,0.73261595
"But, if we somehow saved Kurisu, this situation wouldn't—",でも もし紅莉栖を救えれば 今の この状況だって…,"But if you can save the Red Congress, this situation is now ...",0.2631578947368421,0.38358557
"It can take away someone's joy and success,",他者によって 自分の成功も幸せも―,"Even with others, my success is also happy-",0.1176470588235294,0.48234704
and sometimes it'll strip the world of their existence altogether!,やり方によっては 存在すらも 奪われる可能性があるということだ,"Depending on the way, it is possible that the existence may be robbed",0.13636363636363635,0.393245
The thing is... countries and organizations would do anything to get their hands on a power like that.,だが そんな力が 存在するとなれば―,But if there is such a power-,0.08,0.5565872
"It's more fearsome than any weapon ever made,",あらゆる兵器よりも 恐ろしい力だからな,Because it is a horrible power than all weapons,0.1176470588235294,0.52221024
which is why we must eliminate that possibility.,だからこそ その可能性は 全て なくさなくてはならない,That's why I have to miss all the possibilities,0.1176470588235294,0.39179236
Without even seeing what's inside?,中身を確認してもいないのに？,Have you not check the contents?,0.07692307692307693,0.32686827
The mere possibility it exists is enough to spark war.,その可能性が存在しているだけで 争いは必ず起こる,It is always possible that the dispute will occur just that there is that possibility,0.21052631578947367,0.35336536
No! That's not my intention!,違う！ 私はそんなつもりじゃ…,different!I'm going to say that ...,0.14285714285714285,0.2510575
That's...!,これは…,this is…,0.0,0.4536381
What? They already tracked us down?,何？ まさか もう場所を嗅ぎつけて…,what?I smell the place already ...,0.25,0.1885726
You two make a run for it.,２人とも逃げるべ 逃げるって…,Two people run away ...,0.18181818181818185,0.47390205
They're already inside!,もう店内にいるんだぞ,I'm already in the store,0.1,0.4174887
"Quiet, or they'll hear you.",大声出すと聞こえるお,You can hear that you,0.2,0.32454014
I can't believe it's come to this...,こんなふうになっていたのか,Was it like this?,0.15384615384615385,0.11514208
Behind that last building.,ここは？ さっきのビルの裏側だお,here?Backside of the previous building,0.09090909090909093,0.7157594
If we got this far...,ここまで来れば… ああっ！,If you come here ... Oh!,0.18181818181818185,0.4175335
Do exactly as I say.,言うことを聞いて,Listen to saying,0.0,0.29080445
"Wait! You're after this, right?!",待て！　目的はこれか!?,wait!Is the purpose of this?,0.3076923076923077,0.38370964
Start by letting her go!,まず手を離せ！,Start your hand first!,0.2222222222222222,0.24281366
