en_text,jp_text,google_translated,score,semantic_score
Where's Kirito-kun?,（明日奈(あすな)）キリト君はどこ？,) Where is Kirito?,0.2857142857142857,0.80814826
That boy was the biggest hole in our security.,"あの少年は この計画最大の
セキュリティーホールだって","That boy is the largest of this plan
It is a security hole",0.29411764705882354,0.7595922
Is Kirito-kun safe?,キリト君は無事なんですか？,Kirito is safe?,0.6,0.87013346
Were you lying when you said you could heal him?,"彼を治療できると言ったのは
ウソだったんですか？","What I said that he could treat him
Was it a lie?",0.2222222222222222,0.5802578
"Tell me, Kikuoka-san!",答えてください　菊岡さん！,Please answer Mr. Kikuoka!,0.1111111111111111,0.6176435
"When that fugitive from the Death Gun incident attacked,","《死銃(デス･ガン)》事件の
逃亡犯による襲撃で―","""Death Gun "" Case
In the attack by the escape-",0.1875,0.69350815
Kirito-kun's brain sustained damage that modern medicine is unable to heal.,"現代医学では治療不可能な
ダメージを負ってしまった","It is impossible to be treated with modern medicine
I have damaged",0.19047619047619047,0.49556142
"there exists one piece of technology,\Nhere at Rath, that may be able to save him.","世界でも この《ラース》にのみ
彼を治療し得る技術が存在する","Only in the world ""Larth""
There is a technology that can treat him",0.13793103448275862,0.48312166
I'm sure you've heard of it.,"（菊岡）君も
聞いたことがあるだろう","You too
I have heard",0.2727272727272727,0.4574791
The STL... the Soul Translator.,だが…,But ...,0.14285714285714285,0.113637544
"If we use the STL to directly stimulate his Fluctlight,","《ＳＴＬ》で直接
《フラクトライト》を活性化すれば","Directly with ""STL""
If you activate ""Fluctolite""",0.17647058823529413,0.634209
we can help him generate a new neural network.,"新たなニューラルネットワークの
発生を促すことができる","New neural network
Can be promoted",0.3333333333333333,0.6829963
But it takes time.,時間は かかるがね,It takes time,0.6,0.7369031
"Kirito-kun is inside one of the few full-spec STLs in existence, all of which are in this facility.","ここにしかない
《フルスペックＳＴＬ》の中にいるよ","It is only here
""Full spec STL"" is in",0.08,0.5477366
We're treating him better than any hospital could.,"彼の治療体制は
どんな大病院にも劣るものではない","His treatment system
It is not inferior to any large hospital",0.10526315789473684,0.68769264
He even has his own personal nurse.,"何もかも白状してくれても
いいんじゃないかしら？　菊岡さん","Even if it is too white
It's good?Mr. Kikuoka",0.1111111111111111,0.06325617
I understand. I'll trust you for now.,"分かりました
今は あなたを信じます","I understand
Now I believe in her you",0.3636363636363637,0.5344876
