en_text,jp_text,google_translated,score
"Listen to me, Dela.",	デラよ よく聞け,Don't listen well,0.1111111111111111
The fortune said that our princess lies to the northwest of here.,	王子のお妃様はここより北西におられると占いに出た,The prince of the prince came to a fortune telling when I was in the northwest of here,0.3
"Northwest, you say?",	北西でございますか,Do you stay northwest,0.2857142857142857
"If you can keep me informed of your whereabouts each day,",	毎日 お前のいる場所を知らせれば,If you know your place every day,0.26666666666666666
I can tell you which way to proceed from there.,	そこからどちらへ行けばよいのか 私が教える,Which one to go from there?,0.2857142857142857
"I understand, Lady Choi.",	は わかりました チョイ様,I understand Choi,0.5
Dela!,	デラ,Della,0.0
"Oh yeah, Dela.",	あ そうだ デラ,"Oh, it is a della",0.2222222222222222
Are you really leaving?,	本当に行ってしまうの,I really go,0.14285714285714285
"You will soon ascend to the throne, my prince.",	もうすぐ王子は王位を継がれます,The prince will continue to the throne soon,0.5
But I'm worried about Dela traveling so far away.,	だけど デラが遠くへ行くのは心配だよ,But I'm worried that Dela goes far,0.46153846153846156
Be careful on your travels.,	デラ 気をつけておいき,Please be careful with me,0.2222222222222222
Of course. You needn't worry about me.,	決して無理はしないようにね,I will never forgive you,0.07692307692307693
Dela and I have been friends since childhood.,	デラと僕は子供の頃からの友達なのだから,Dela and I am a friend from the age of children,0.17647058823529413
"Take shelter during bad weather, okay?",	天候が悪い時はじっとしているんだよ,"When the weather is bad, I'm sorry",0.21428571428571427
"If the journey proves dangerous, turn back at once.",	危ないと思ったらすぐに戻っておいで,"If you think it's dangerous, go back soon",0.23529411764705882
Also—,	それから,after that,0.0
"Y-You really needn't worry, Your Highness.",	王子 ご心配は要りませんぞ,I do not need to worry about the prince,0.125
Hey! Get off him!,	こら 乗るでない,Not riding,0.0
"The time has come, Dela.",	デラ 時が来た,Dela's time came,0.2222222222222222
"I understand, ma'am.",	はい わかった,I understand,0.4
"Go forth, Dela!",	さあ行け デラよ 旅立つのだ,"Well, I'm Dela",0.25
The sound of this shell will show you the way.,	この笛の音がお前の道を指し示すであろう,The sound of this whistle will point to your way,0.42857142857142855
"For one thing, I haven't even left the island once in my entire life.",	生まれてこのかた島を出たことなどないのに,I have not been able to get out of this or an island,0.1111111111111111
I suppose I'll take a break.,	一休みするか,Do you take a break,0.3333333333333333
"As though called back,",呼び込んだみたいに,It seems like you called,0.1111111111111111
I'm proud of the repeat customers we get,飛び交ってるご贔屓に得意げな自分,I am good at the flying degree,0.14285714285714285
My expectation gets the better of me and I start joking around,膨らんだ期待に はしゃぎたくなる,I want to expect my expectation,0.2
With a little hop I stood up,ずっと 待ってたの,I was waiting for a long time,0.16666666666666666
I saw your smile in passing and want to hug you tightly,抱きしめたい ギュッと,I want to hug,0.3333333333333333
"Come here, everyone",おいで さあ 皆,Good morning everyone,0.16666666666666666
right here,きらめく場所で ここを確かめていて,I'm checking here in a place,0.125
Let's enjoy it,まるでどんなパーティーも霞むような,It seems like any party also,0.1111111111111111
Is Tamako really a princess?,	娘がお妃様,My daughter is a prince,0.2222222222222222
"We had someone that amazing among us all along, huh?","{\pos(640,55)\blur1}本字幕由诸神字幕组(kamigami.org)制作，仅供交流学习，禁止用于任何商业用途","Production of Kamigami.org  production  production, 仅 交 交 学 于 于 于 于",0.05263157894736842
Dela! I heard about Tamako!,	デラちゃん たまちゃんの話聞いたんだけど,I heard the story of Dela-chan Tama-chan,0.18181818181818182
Are things already decided?,	もう決まってしまったのかい,It has already been decided,0.25
In the dusk...,	うちの商店街からお妃様が生まれるとは,From our shopping district to the printer,0.1
"Welcome back, Dela.",	戻ったぞ 娘,I'm back my daughter,0.1111111111111111
"Oh, so yer back.",	あら デラちゃん,Oh Dela-chan,0.14285714285714285
"As of just now, yes.",	今しがたな,Now,0.14285714285714285
Delicious!,	デラちゃん お帰り,Dela-Chan Return,0.0
Isn't it?,	戻ったのか,Was it returned,0.16666666666666666
Hey! Stop singing.,	ねえ,Hey you,0.16666666666666666
Lady Tamako.,	だーけーど,Echo,0.0
"Come on, Choi. Don't call me ""Lady""!",	わかったよ,understood,0.0
Just Tamako's fine.,	たまこでいいよ,Tamako is good,0.14285714285714285
"I'm sorry, but I can't,",	おい 歌うんじゃねーよ,I'm singing,0.25
It is no such thing.,	チョイちゃん 様はやだよ,Choi-chan is no,0.2857142857142857
"She smells of flowers, just like the prince.",	王子と同じ花の香りがするのだ,The smell of the same flower as the prince,0.21428571428571427
But this is a birthmark I share with my mom...,	これはお母さんとお揃いの,This is a maternal match,0.23076923076923078
"Last, but not the least, you have a deep personal connection to mochi.",	間違いではない,Not a mistake,0.125
"Anyway, make sure you treat her like a princess from now on.",	とにかくこれからは たまこ様に対してはお妃として接するように,"Anyway, from now on, it will be in contact with Mr. Tamako",0.22727272727272727
"I think this must be some sort of mistake, though.",	何かの間違いだと思うんだけど,I think it's a mistake,0.2
"If you become the princess, you'll be granted the name of the royal family,",	たまこ様がお妃様になられたら 王家の名を与えられ,"If Tamako is a printer, he gave a royal name",0.21052631578947367
and become Tamako Mochidis Gusting.,	たまこモチマッヅィになられます,Tamako Mochimashu,0.14285714285714285
"After listening to it again, I now realize how bad for the heart that name is.",	いざ聞いてみると 心臓に悪い名前だね,"When I ask, I'm a bad name for my heart",0.2608695652173913
Oh?,	ああ 驚いた,Oh was surprised,0.25
point card,	あのね あのね 商店街のポイントカード,That cat's shopping district point card,0.2857142857142857
Did you know? You get a prize if you collect a hundred of these!,	これ100冊集めると景品がもらえるんだよ,"If you collect 100 books, you will get prizes",0.2222222222222222
A medal!,	メダル 商店街のメダルなんだよ,It is a medal of the medal shopping street,0.2222222222222222
"I've never seen it, but apparently it's engraved with a pair of bunnies pounding mochi!",	まだ見たことないんだけどね,I have never seen it yet,0.2
"It's taken me a long, long time to make it this far,",	やっと やっとなんだよ,Finally it's finally,0.15384615384615385
Today's Medal Day!,	今日はメダル記念日,Today is the medal anniversary,0.25
Be careful.,	お気をつけて,be careful,0.6666666666666666
"Wait, what was that?",	やめてよ デラちゃんまで,"Stop, until Dela-chan",0.1111111111111111
Tamako's the princess of some c-c-count—,	たま...たまこがどっかの国の...お おき おきさ,Tama ... Tamako's country's country ... Oikita,0.18181818181818182
I thought as much!,	じゃあ いってきます,Then I will come,0.125
"Come on, it might be true.",	本当かもしれないもん,It may be true,0.3333333333333333
"Oh, right.",	そうか そうだよな,That's right,0.16666666666666666
I only need three more points to have a hundred of these!,	私 お妃様じゃないよ,I'm not a prince,0.125
"Come on, take a look.",	ほら 見て見て,Look at it,0.1111111111111111
Yeah. Way to go!,	もっちー,Octopus,0.0
Thanks. I'll get them today.,	うん 今日貯まるんだ,Yeah I accumulate today,0.2222222222222222
Just now.,	今,now,0.3333333333333333
She's like a ninja—,	ちょっと 何信じてんの,A little more,0.14285714285714285
"How'd it go, Princess?",	それに こんないきなり,It is difficult to do it,0.09090909090909091
I'm sure Choi just has the wrong idea.,	ねえ たまこだよ そんなのあるわけないじゃん,Hey I'm sorry I'm not there,0.14285714285714285
But there's a chance it might be real!,	だとしたら 残念すぎ,It is a matter of course if,0.13333333333333333
I see Shiori believes in the unexpected.,	どうなったの お妃様,What happened to me,0.0
"I'm not saying Choi isn't trustworthy, but you'd better be careful.",	たまこ チョイちゃんを疑うわけじゃないけど,I'm not sure I doubt Tamako Choi,0.21052631578947367
"For the record, I believe in the almighty yen.",	ちなみに私は商売繁盛説,"By the way, I am a business",0.2
And she's going to create the island's most famous mochi!,	そして 島の名物餅を生み出すとです,And if you create a specialty chopsticks of the island,0.2222222222222222
"Come now, Dela.",	よし さあデラ,Yoshisa Dela,0.16666666666666666
We really must fix your communications system today.,	今日こそお前の通信機能を回復せねば,Today is the one who recovers your communication function,0.125
Excuse me?,	チョイ様 娘がお妃とは とても私には,Choi daughter is very much to me,0.1111111111111111
The repair instructions finally arrived from our country today.,	ようやく国から修理方法が届いた,A method of repair has finally arrived from the country,0.42857142857142855
Let's ask Choi directly.,	チョイちゃんに直接聞こう,Let's listen directly to Choi,0.5
Hey!,	許せよ,Alert,0.0
"The prince is that guy we saw, right?",	王子様ってあの人だよね,The prince is that person,0.36363636363636365
"Come to think of it, Dela did project something back then...",	そういえば デラちゃんが前に何か映してたよね,"Speaking of which, Dela-chan did something before",0.23529411764705882
"Huh? Oh, sorry.",	ごめん,sorry,0.16666666666666666
"Huh? Oh, Tamako. Sorry about that.",	ああ たまこ ごめんごめん,"Oh, I'm sorry",0.2727272727272727
All of a sudden she's a VIP...,	ちょっと みんなってば,A little while everyone,0.09090909090909091
"Stop it, you guys!",	もうやめてよ,Please stop,0.14285714285714285
Sure thing.,	もちのろんですよ,Mochinano,0.0
Can I get a stamp on this?,	だからね 夕飯の買い物しながら帰っていい,That's why I can return while shopping for dinner,0.125
Sure.,	お妃様,お,0.0
There you go.,	はいはい,Yes,0.0
I did it!,	やった やった,I did it,0.75
"I'll go home and get the rest of the cards,",	やったよ 私ちょっとうち帰って残りのカードを持ってくるからさ,I did it I'm back home and bring the rest card,0.29411764705882354
I'm home!,	ただいま,I'm back,0.4
My girl.,	娘よ 何事か,My daughter,0.25
Do you know how lucky you are to be considered the prince's bride?,	王子のお妃と呼ばれるほうが 普通は喜ばしいことなのだぞ,It is usually a pleasure to be called the prince of the prince,0.19047619047619047
But that came out of nowhere.,	うん でもそんな降って湧いた話,But the story that it was falling like that,0.15384615384615385
