en_text,jp_text,google_translated,score,semantic_score
"I guess I'll be saying goodbye to my seat in a few hours, then.",俺の席とも　あと数時間でお別れというわけか,I'm going to say goodbye to my seats in a few hours,0.4,0.8518604
"Depending on where he's seated, he might not be able to slack off carelessly,",席の位置によっては迂闊にダラダラできんだろうし,"Depending on the position of the seat, it will be possible to decline",0.21739130434782608,0.4738301
so I figured changing seats would be a life-changing event for Tanaka...,席替えは田中にとって結構重大なイベントかと思ったが,Seat change was quite a serious event for Tanaka,0.2222222222222222,0.86735415
But he's calmer than I expected.,なんだ　思ったより落ち着いて…,What a calm ...,0.0,0.61446124
"Wait no, he's cast some kind of spell on himself.",いや　謎のまじないがしてある,No mystery,0.07142857142857142,0.12735954
I see... So he is concerned.,そうか　やはり気にしていたんだな,Oh yes I was worried,0.08333333333333333,0.5304564
I'm already getting excited to see which seat I'll get.,どの席になるか　今からドキドキするな　楽しみだ,I'm looking forward to it from now on which seat,0.2777777777777778,0.83566934
I just hope I don't get the front row center seat.,一番前のセンターだけは絶対やだよね,Only the first center is absolutely,0.125,0.35324442
"Oh, please no! as expected, the front row is the least popular.",前の方の席はやはり不人気だなぁ,The front seat is still unpopular,0.17647058823529413,0.633725
"Is the back corner seat the most relaxing for you, Tanaka?",田中的にも一番後ろの角が寛げたりするのか,Is the corner of the first corner of Tanaka or the horns?,0.3125,0.3865472
"This morning's horoscope said, ""Talk during a meal, and you will tempt misfortune,""",食事中にしゃべると運気ダウンって朝の占いで言ってたから,"When I talked while eating, I was lucky to say that it was a fortune telling in the morning",0.09375,0.6031773
His eyes look as though he's marching off to war!,イベントどころか　戦地に赴くレベルの目だ,Event is the eye where you go to the battlefield,0.05,0.34813368
"I've never had a front row seat, from middle school onward.",俺　中学から今まで一度も一番前の席になったことないんだよね,I have never been at the top of my junior high school.,0.17391304347826084,0.5501847
They won't stand a chance against my feelings toward this seating change.,俺の席替えにかける思いの前じゃ　敵ではないね,It is not an enemy before I think that my seat change,0.08333333333333333,0.42737988
"Tanaka, don't be so openly listless right after changing your seat.",田中　席替え早々そんな堂々とだらけられたら,Tanaka Seat change If you have made such an imposing quickly,0.08695652173913042,0.6951713
"Teacher, this is a disaster!",先生　大変です,Teacher is serious,0.25,0.63166267
This seat is abnormally close to the blackboard!,この席なんだか異常なまでに黒板が近いです,This seat is close to the blackboard by any abnormality,0.5833333333333334,0.9280711
So does this mean I can't see anything at all from this seat?!,ということは　この席では前がまったく見えないということですか,That means that this seat can not be seen at all at all,0.19047619047619047,0.8289899
"Sorry, Miyano. I never thought I'd be seated in front of you, of all people.",すまない宮野　よりによってお前の前に来てしまうとは,If you come in front of you by Miyano Suzuno,0.25,0.48619422
"If I stay here, I'll only be obstructing your studies.",このままでは　宮野の勉学の妨げになってしまう,"As it is, it will interfere with the study of Miyano",0.045454545454545456,0.23069456
"If you'd like, we can—",よかったら席を…,"If it is good, please take a seat ...",0.13333333333333333,0.24864404
"Really, Master?!",いいんですか　師匠,Is it okay?,0.125,0.2016398
"You're so generous, Master!",優しいです　師匠,It is kind to the teacher,0.0,0.15962315
"Miyano-san, thank you for being small!",宮野さん　ちっちゃくてありがとう,Miyano-san Thank you very much,0.3,0.824108
"I get it now, Ohta.",わかったよ　太田,I understand Ota,0.1111111111111111,0.27441725
It's not about how far back the seat is.,前から何番目とかじゃなくて,It is not the thy no number before,0.26666666666666666,0.11145356
The best seat is the one right behind you.,一番いいのは太田の真後ろだった,The best thing was the top of Ota,0.14285714285714285,0.16872817
You provide a defensive barrier and a sense of security.,すごい防御壁＆安心感,Great defense wall & security feeling,0.06666666666666668,0.5495612
"I have mixed feelings about that, but thanks.",俺としては複雑な心境だが　そうか,It's a complex confidence as I,0.0625,0.1629931
"Still, I can't believe a series of coincidences",それにしても　一度は絶望しつつも,"Even so, it is despaired once",0.0625,0.16623443
"resulted in such an ideal ending, even though I had all but lost hope.",いろんな偶然が重なって　こんないい結果になるなんて,Various chances will not overlap,0.0,0.11073396
This must be a reward for my consistently good conduct.,これってやっぱり　俺の日頃の行いがいいからだね,This is because I'm fine for my daily basis,0.16666666666666666,0.21342249
It's not because of the spell you cast?,まじないのおかげじゃないのか,It is not thanks to you,0.2307692307692308,0.24150118
It's been a few days since I was seated next to Tanaka-kun.,田中くんと隣の席になって数日,Tanaka-kun and the next seat for several days,0.15789473684210525,0.81823117
"Now that our physical distance has shortened,",物理的距離が縮まったことだし,The physical distance has shrunk,0.3,0.70783395
"I have a chance to get emotionally closer, too.",これは心理的にも近づくチャンス,This is a chance to be psychologically approached,0.1875,0.3811908
I'll try my best to talk to him more!,頑張っていっぱい話すぞ,I will try my best and talk a lot,0.35714285714285715,0.6378899
And it was to Ohta-kun...,しかも太田くんと,"Moreover, Taita-kun",0.0,0.5150256
I need to come up with a plan.,対策を考えないと,If you do not think about measures,0.0,0.12796822
Morning,朝のあいさつか,Morning greetings,0.5,0.7894485
10 Methods,朝のあいさつか,Morning greetings,0.0,0.124637924
Boy's Heart,朝のあいさつか,Morning greetings,0.0,0.26148048
Steal a Teenage,朝のあいさつか,Morning greetings,0.0,0.08387487
m -191.75 -49.5 l -43.75 -75 90.625 -76.5 158.5 -30 152.5 -4.5 0 3 -166 34.5,朝のあいさつか,Morning greetings,0.0,0.035149574
I guess it is the most natural way to communicate.,確かに　一番自然なコミュニケーションかも,Certainly the most natural communication,0.2307692307692308,0.6788909
I see... So making eye contact is the key...,なるほど　目を合わせるのがポイントね,It is point to get eyes in mind,0.05882352941176471,0.4551927
Here's my chance to put it into practice!,早速実践のチャンス,Chance of practicing immediately,0.07692307692307693,0.46183118
Morning...,はよう…,Good morning ...,0.6666666666666666,0.76069593
Overly long sleeves the cuffs will stretch out...,袖口伸びちゃう,Grow the cuff,0.09090909090909093,0.62224144
"Sex appeal as amateurish as i am, even i know this is probably the least likely to work,",素人の私でもわかっちゃうほどに　これが一番ダメそう,This is the most useless enough to understand the amateur me,0.17391304347826084,0.27257556
but it's worth a shot...,一応やってはみるけどさ,I'm going to do it for a while,0.14285714285714285,0.20186824
"G-Gosh, it's so hot today!",なんだか今日は暑いなぁ,Somehow it is hot today,0.3,0.6275449
I've got his attention...,見てる,Look,0.0,0.2074462
That's the most piercing look he's ever given me!,今までになく鋭い目つきで見てる,I'm looking at a sharp looking as before,0.0,0.3786391
"This was the only thing he reacted to, but it's more than I can bear.",唯一反応があったけど　こんなの私が耐えられないよ,"There was only one reaction, but I can not withstand this",0.3043478260869565,0.47657576
I don't want to steal a teenage boy's heart...,なんかこう　１０代男子っていうより　田中くんの心を掴みたいんだよね,I would like to grasp the heart of Tanaka-kun rather than this teenager boy,0.18181818181818185,0.44445717
My feminine appeal is gonna burst!,こりゃあ私の女子力が火を噴くよ,My girl's power will blow fire,0.07142857142857142,0.4386268
I didn't take notes during the last English class...,さっきの英語のノート取れてない,I can not take a note of the English,0.25,0.65994024
That was the flag for putting our desks together!,太田くんのバカー　それ机くっつけフラグ,Ota-kun's Baker Thick Missing Flag,0.06666666666666668,0.3997419
I have a feeling I was able to talk to him more naturally,なんか正体バレてなかった頃の方がもっと普通にしゃべれた気がする,I feel that it was more normal if it was not a true-body barre,0.21052631578947367,0.15972714
I want to go back to those days...,あの日に戻りたい,I want to go back to that day,0.5,0.84300697
"Oh, but he did mention that I was too sparkly and bright,",でも,but,0.07692307692307693,0.21608509
Which means...,となると…,If it becomes ...,0.16666666666666666,0.40485927
I should go back to that look.,あの格好で,In that appearance,0.1,0.3395615
Sacrificing everything I've gained in the name of love,もういっそ手に入れてきたもの全てを犠牲にして,At the expense of everything I got more,0.2857142857142857,0.36564294
"is one way to resolve this, I guess...",愛だけに生きるっていうのも一つの手　かな,It is also one of the ways to live only in love,0.15789473684210525,0.258124
"I don't really get it, but it sounds very mature for some reason!",なんだかよくわからないけど　そこはかとなく大人です,"I do not know well, but it is an adult without it",0.2272727272727273,0.42840707
What a horrible thing to say!,私ってばなに恐ろしいことを,I'm horrible about me,0.09090909090909093,0.5238561
I can't do such a thing!,ダメに決まってるじゃんそんなの,It is decided to be no good,0.0,0.043945
Is something wrong?,何かあったのですか,Something happened,0.2,0.3004201
Maybe I'm hard to open up to.,やっぱり私じゃ　打ち解けられないのかなって,After all I can not be killed,0.07142857142857142,0.068155155
That's not true!,そんなことないです,That's not it,0.5,0.3601062
Don't worry! good things come to those who work for them!,大丈夫　頑張れば頑張った分　きっといいことがありますよ,"I'm fine if I do my best, I have a good thing",0.08695652173913042,0.3743998
I'll cheer you on!,私応援してます,I support you,0.2857142857142857,0.4189048
"Yeah, you're right. Hard work will pay off.",そうだね　きっと努力は報われる,That's right I will definitely reward,0.125,0.36272484
th-this friendship a success!,に…人間関係成功させてみせるよ,... I will try to make human relations success,0.07692307692307693,0.34825686
That's the spirit! take the initiative and get closer!,その意気です　どんどんグイグイ近づいていきましょう,It is the spirit and let's get closer to the guy,0.4,0.5185323
3 days later,あの　白石さん,Mr. Shiroishi,0.0,0.17021395
I'm sorry to make you go out of your way for me so much.,なんか気ぃ遣わせちゃってごめん,I'm sorry I'm sorry,0.1875,0.46579587
There's no need to bother yourself with me.,俺　そんなに構ってくれなくて大丈夫だから,Because I do not have to be so much,0.05555555555555555,0.32672986
It's over... It's all over...,終わった　何もかも,Anything ended,0.0,0.4540488
"I always believed that if you try hard, learn, and never give up,",努力して勉強して諦めなければ　なんだってなんとかなると思ってたし,I thought that I would be able to work and study and give up,0.2380952380952381,0.5458736
and I've lived my life that way.,なんとかしてきたけど,I've been doing something,0.16666666666666666,0.22616196
But I guess people's feelings just don't work like that.,人の気持ちはそうもいかないんだな,People's feelings are not so much,0.17647058823529413,0.7185663
How do you overcome something that can't be resolved with effort?,頑張っても解決しないことって　どうやって乗り越えたらいいんだろう,How do I get over this way not to solve even if I try my best,0.07692307692307693,0.5887497
That's easy.,そんなの簡単じゃん,That easy,0.5,0.7861335
"If it can't be resolved with effort, then don't put any in.",頑張ってダメな時は　頑張らない,Good luck and do not work hard,0.047619047619047616,0.20657101
"T-T-T-Tanaka-kun, you were here all this time?!",た…たた…た田中くんいたの,... Tanaka Tanaka-kun,0.0,0.631333
"I thought I was alone, so I...",誰もいないと思って私…,I think there is no one ...,0.16666666666666666,0.28230727
And Ohta went home already because his sister is sick.,太田は妹が風邪らしくて　先に帰っちゃったし,Ota has a sister and came back first,0.1176470588235294,0.5092263
"I don't know exactly what's going on,",詳しいことはわかんないけどさ,I do not know for more details,0.21428571428571427,0.2767868
but isn't it okay to fail?,別に失敗してもいいんじゃない,It is not fine if you fail,0.25,0.77725667
"Because even if you fail today, there's still tomorrow,",だってほら　今日がダメでも明日があるし,It is no good today and it is tomorrow,0.125,0.50762844
"or the day after that, if necessary.",なんなら明後日でもいいし,"If so, it may be the day after tomorrow",0.35714285714285715,0.48762596
It may even get resolved a year from now.,もしかしたら　一年後に解決するかもしれないし,Maybe it may be solved one year later,0.2,0.70549875
"Life isn't short, so even if you can't do anything about it now,",今はどうしようもないことでも,Even now I can not help,0.10526315789473684,0.20480745
"it'll work out in the end, somehow.",人生長いんだから　そのうちなんとかなるなる,It will be manageable soon because of the long life,0.1111111111111111,0.25980955
You don't sound convincing at all.,何の確信もないし,There is no conviction,0.0,0.19126521
That was just sort of flaky and unreliable...,ざっくりっていうか　ふんわりしすぎっていうか　超適当,"It's a big way to say, it's too soft or addicted",0.0,0.056769475
"Totally irresponsible. well, that's the kind of person i am.",まあ　俺がそういう人間だから,Well because I am such a human,0.17647058823529413,0.23734853
But I'm starting to feel like things will work out.,けど　なんとなくなんとかなりそうな気がしてきたし　元気出てきた,"However, I felt something that seems to be pretty",0.1,0.3930319
