en_text,jp_text,google_translated,score,semantic_score
"That's good, because one wild horse is enough to handle.","（正一）１人で十分ですから
（沖田紗羽(さわ)）ハイヨー","because it is enough
) Hyo",0.1875,0.21227118
Sawa!,（紗羽）わあ！,Wow!,0.3333333333333333,0.2206025
Anxiety is always nearby,"（正一）それは助かります
おてんばは—","It is saved
Otanoba-",0.14285714285714285,0.08580695
"But it was fun, wasn't it?","（男性）
おい 結構楽しかったでしょ",It was a lot of fun,0.3,0.6576847
We're pros.,"（男性）
フン 俺たちはプロなんだ",Hun we are professional,0.14285714285714285,0.42145407
You're pros?,（来夏）プロ？,Pro?,0.2,0.7139053
We're in a band.,バンドなんだよ,It's a band,0.25,0.7092537
We even have a hit song.,ヒット曲もあるんだけど,There is also a hit song,0.3,0.62429404
But I guess you youngins haven't heard of the Condor Queens.,"あー ほんとは
もう１人いるんだけどね","Oh,
I have another one but",0.17647058823529413,0.089047685
Condor Queens?,"♪ コココ コンドル
ココ コンドル","♪ Coco Condalk
Coco Condor",0.16666666666666666,0.5299805
"I'd say music isn't so much a job anymore, but a way of life.","音楽は仕事というより
もう人生の一部なのかな","Music is rather than work
Is it part of your life already",0.16666666666666666,0.784659
The Condor Queens?,（来夏）コンドルクインズ？,Condork Inns?,0.16666666666666666,0.5263955
This is your grandpappy's theme song!,"（来夏の祖父）これが
じいちゃんのテーマ曲じゃけえ","This is
Temple of grande",0.18181818181818185,0.17162377
Wakana?,和奏(わかな)？,Wakana?,1.0,1.0000004
Taxi!,（ウィーン）タクシー,taxi,0.5,0.8726448
Follow that bike!,あの自転車を追ってください,Please follow that bicycle,0.3333333333333333,0.8343996
Stalker! Stalker!,"（坂井(さかい)和奏）
ストーカー！ ストーカー！",Stalker!Stalker!,1.0,1.0000002
I've been your fan since I was a kid!,"…って 子どもの頃から
ずっとファンだったんです","... from childhood
It was a fan for a long time",0.17647058823529413,0.6848183
That gives me an idea! Would you play at the World Music Festival?,"そうだ！ ワールドミュージック
フェスティバルに—","That's it!World music
Festival-",0.2222222222222222,0.68704855
Wouldn't they be just perfect?,出てもらえませんか？,Can't get it out?,0.18181818181818185,-0.11945882
"Are you okay with that, Konatsu?",負けってことで いいかな？,Is it okay to lose?,0.16666666666666666,0.2288088
"That'd be great, if you'd take us...","（陽気）
それはいい　よければ ぜひ","If it is good, by all means",0.125,0.23797005
We try to not be picky about our venues.,何もやってないよ,I'm not doing anything,0.07142857142857142,0.21114054
We did it!,（来夏）やったあ！,I did it!,0.6,0.78525877
Why don't you put them up at your place until the event?,"じゃあ イベントの日まで
紗羽の家に泊まってもらったら？","Then until the day of the event
What if you stay at the house of Aoi?",0.2727272727272727,0.50867313
It's not like you're short on rooms.,紗羽の家 お寺なんです,It is a family of Yaba's house,0.125,0.10654106
We're no Buddhas; we've got no business staying at a temple.,"やめてくれ　寺に泊まるなんぞ
ホトケじゃあるまいし","I will stay at Temple
I'm jealous",0.1111111111111111,0.47656605
"We've got enough cash,",カネに困っちゃおらん,I'm troubled with money,0.0,0.4704492
"Unless your temple has a nice, big parking lot?","あー お寺に
広い駐車場はないかな？","Ah Temple
Is there a large parking lot?",0.3333333333333333,0.8182602
Parking lot?,駐車場？,Parking Lot?,1.0,0.99999976
You could've just told me from the start that you knew my mother.,"母の知り合いなら
最初から そう言ってください","If you know your mother's acquaintance
Please say so from the beginning",0.17391304347826084,0.6208766
Sorry! I just couldn't contain myself!,"（外国）
コウフンして ごめんなさい",I'm sorry I'm sorry,0.2222222222222222,0.37684348
Hey!,"（外国）でも とってもうれしくて！
（和奏）ヒッ！","It is already good!
 Hi!",0.14285714285714285,0.39638412
What're you doing down there?,何やってるんだ？,What are you doing?,0.5,0.69801825
Is there choir practice today?,（大智）あー 今日は中止だってさ,"Oh, today is cancellation",0.2222222222222222,0.19301493
It's been canceled.,"（陽気）
おお すてきな場所だね",It's a nice place,0.25,0.10136275
Really?,えー そうなの？,Eh?,0.3333333333333333,0.5192271
"They're going to Okita's house with some band, instead.","あー 何とかってバンドと一緒に
沖田んち 行くって","Oh, with the band
Okita go",0.25,0.7910432
"If you ask me, Japan's too cramped.",（小柄）大体 日本が狭すぎる,Generally Japan is too narrow,0.15384615384615385,0.8166215
Please let me know if you need anything.,"（沖田志保(しほ)）ウフッ　じゃあ
何かあったら言ってくださいね","Uhhu
Please say something if there is something",0.14285714285714285,0.3623987
"Thank you, you're too kind.","（陽気）
おお ご厚意 感謝します",Thank you for your good guy,0.18181818181818185,0.35438654
"Would you like some, too?",おい 君たちも一緒にどう？,How are you?,0.2222222222222222,0.13531187
I'd love some!,はい 頂きます,I will,0.16666666666666666,0.33599487
"Thank you, but I'm fine.","私はいいです
じゃあ ごゆっくり","I'm good
Well then slowly",0.16666666666666666,0.41305548
