en_text,jp_text,google_translated,score,semantic_score
Malty-sama must've talked him into it.,"（影）恐らくは
マルティ様の甘言によるものかと","Perhaps
Marti-like sweetness",0.0,0.28491876
How is the Shield Hero holding up?,"（ミレリア）
盾の勇者様のほうは？",What is the brave of the shield?,0.3636363636363637,0.5760937
We'll continue to keep an eye \Non things in the capital.,"王都の動勢は引き続き我らが
監視をお引き受けいたします","The royal capital continues to
I will accept monitoring",0.15789473684210525,0.64957803
I'm counting on you.,"こちらの国でも
大きな波紋を呼んでいます","Even here
I'm calling a big ripple",0.16666666666666666,0.16525348
"As a reward for your efforts during the \NWave and for fulfilling my request,","我が依頼を
達成してくれた報酬として―","My request
As a reward achieved-",0.3333333333333333,0.746186
"Motoyasu-dono will receive 4,000 silvers,","モトヤス殿には銀貨4,000枚を","4,000 silver coins in Motoyasu",0.1,0.74223286
"And as agreed upon, I have set \Naside 500 silvers for the Shield.","そして盾には
規定どおり銀貨500枚","And for the shield
500 pieces of silver coin as specified",0.3,0.71921194
"Since it's offset by the cost of \Nfreeing his slave from her curse,","イツキ殿とレン殿には
銀貨3,800枚を","It's in the Renzhei and the Len
3,800 silver goods",0.13636363636363635,0.15552396
he will receive no funds this time.,今回の援助金は なしとする,This aid is not,0.09090909090909093,0.17893669
"You interfered in his duel, dispelled the...","（樹）勇者同士の
戦いにおいて不正を行い","Brave people
I'm invalid in the battle",0.13333333333333333,0.39429256
"slave crest, was it?",奴隷紋… でしたっけ？,Is it slave ...?,0.375,0.5342616
And now you refuse to pay \Nhim what he deserves?,"それを解除し さらに
援助金まで払わないんですか？","Release it
Do you not pay to the beneficio?",0.2352941176470588,0.38386443
Right?,"（ラフタリア）えっ？
（尚文）はっ？","Eh?
?",0.3333333333333333,0.53514874
"If you'd followed the rules, \NNaofumi clearly would've won that duel.","（錬）ルール上では
明らかに尚文は勝っていた","On the rule
Clearly Naon was won",0.15789473684210525,0.44412586
Wha... I didn't lose!,"（元康(もとやす)）なっ!?
俺は負けてねえ",")!
I lose",0.375,0.48623225
"It was a one-on-one duel,",１対１の決闘において,In a one-to-one duel,0.25,0.8321006
That is why Father didn't \Ndeclare him the victor.,"ですから父上は
決着の采配を見送ったのです","So my father
I saw the directing of the decision",0.1111111111111111,0.47209054
Get off me!,"（かむ音）
（元康）クッ　離せ",Kuck,0.0,0.20471513
"I'm a cowardly cheat, after all!",俺は卑怯(ひきょう)者だからな,I'm a wolf person,0.2727272727272727,0.24085544
it was Naofumi who defended that \Nvillage in the knights' stead.,"実際 騎士団の代わりに
村を守ったのは尚文だ","Instead of the Knights
It is Naegu that protected the village",0.21052631578947367,0.7161354
I believe he must be \Ncompensated in some way.,"最低限 いくらかの報酬は
出すべきかと","Some remuneration at least
Should I go out",0.125,0.0028960605
"You have it, so begone already!",受け取ったら早々に消え失せろ,"If you receive it, it will disappear early",0.2307692307692308,0.28760937
We don't have to waste our \Ntime in this place anymore.,"こんな所で無駄な時間を
過ごす必要がなくなりました","Waste time in such a place
I have no need to spend",0.25,0.5699321
Filo,～♪,~ ♪,0.0,0.120132215
She now has a new slave crest.,"（奴隷商）はい　これで
新しい奴隷紋が刻まれました","Yes this
New slave crest was engraved",0.25,0.6273251
"There was no need to get \Nanother one, you know.","（尚文）入れ直す必要なんか
なかったろうに","Need to fix it
It would have been",0.1176470588235294,0.24391848
"But I wanted it, as a symbol \Nof your faith in me.",欲しかったんです,I wanted,0.14285714285714285,0.3677333
What is it?,奴隷使いの盾か,Is it a slave shield?,0.42857142857142855,0.19371235
Nothing!,何でもありません,It's nothing,0.25,0.58154637
I'm amazed you helped that scrawny bag of \Nbones grow so much in such a short time.,"よくぞ
この短期間でここまで","Well
So far in this short period",0.13043478260869565,0.14625725
I am a virgin!,私は処女です,I am a virgin,0.8,0.9034755
What's that?,（尚文）ん？　それは？,? that is?,0.4,0.49410188
A monster egg lottery.,魔物の卵クジです,It is an egg cage of a demon,0.18181818181818185,0.5262746
You'll win a monster chick that'll \Ndouble in value if you raise it well.,"育てれば倍の価値になる
魔物のヒナが当たりますよ","If you grow up, it will be a double value
The demon chicks will hit",0.2,0.64139354
A filolial?,フィロリアル？,Filologic?,0.25,0.7818748
You must've seen them around.,"（ラフタリア）ナオフミ様も
見たことがあるはずですよ","Naoff Mi
You have seen it",0.18181818181818185,0.33461413
"Oh, those?","（ラフタリア）ガチャ？
（尚文）いや 何でもない","Gacha?
 No, nothing",0.2857142857142857,0.12156778
"Act now, and I'll give you a package \Ndeal for that and the slave crest!","今なら奴隷紋の代金込みで
お安くしておきますよ","Now with the price of slave crest
I'm cheap",0.2272727272727273,0.538047
A monster should at least be some help.,"魔物なら
戦いの手伝いぐらいできるはずだ","If it is a demon
You should be able to help you",0.25,0.5167637
I can fight by myself just fine!,私は１人でも戦えます,I can fight alone,0.3333333333333333,0.8072758
"If so, we can just sell it \Nback to the slave trader.","（尚文）そうしたら
また奴隷商に売り払えばいいだろ","(Na】
You can also sell to slavery",0.15789473684210525,0.616389
"Either way, don't loosen your \Npurse strings any more.","これ以上
緩めないようにしてください","more than this
Please do not loosen",0.1875,0.41652676
"Fine, I hear you.",（尚文）分かったよ,I understood,0.14285714285714285,0.29265293
Relatives of mine in Lute Village \Nasked me to help you out.,"（薬草屋）リユート村の
親戚に頼まれてな","Reiyu village
Requested by relatives",0.125,0.41390198
Who knows?,あの時 助けた誰かでしょうか？,Will it someone who helped me?,0.25,0.10783616
Use it. It's yours.,"やるから
使ってくれ","Because
Use",0.16666666666666666,0.32562715
"Uh, I can't read this \Nworld's language, though.","（尚文）
この世界の文字は
読めないんだが","The character of this world
I can not read it",0.15789473684210525,0.49635068
"Oh, right.","そうそう
魔法屋のばあさんも来てくれって","Oh yeah
Magic shop's momo also came",0.09090909090909093,0.17596509
"The old hag at the magic \Nshop wants to see you, too.","（薬草屋）お前さんが
作ってくる薬より―","you are
From the created drug-",0.1176470588235294,0.1296977
She said you helped her \Ngrandkid out in Lute Village.,"うちと同じで リユート村で
孫が世話になったと言ってたぞ","In the same way as of the house
It was said that grandchild was taken care of",0.08695652173913042,0.21368833
And the young lady has \Nlight and dark magic affinity.,"そちらの お嬢ちゃんのは
光と闇の魔法","The mystery
Magic of light and darkness",0.21428571428571427,0.5765068
"She is half-raccoon, after all.",ラクーン種だからね,Because it is Raccoon,0.1,0.604638
In which case...,だとすると…,If it is ...,0.14285714285714285,0.39603433
I actually would've loved to give \Nyou a crystal ball instead.,"本当は水晶玉を
あげたいところなんだけど","Really crystal ball
I want to raise it",0.2352941176470588,0.44432408
Huh?,（尚文）えっ？,?,0.5,0.66354716
Don't you know?,"（魔法屋）知らないのかい？
水晶玉を使えば―","Do you not know?
If you use a crystal ball-",0.3636363636363637,0.26425838
But I heard the royal court ordered a \Nbunch of them for the heroes.,"いくつか発注があったと
聞いてたんだけどね","Some orders have been ordered
I heard it",0.15789473684210525,0.3729097
I bet they handed them \Nout to every hero but me.,"（尚文）おおかた 俺以外の
勇者には渡されてるんだろう","Ookata other than me
It will be passed to the hero",0.15,0.3238992
"Learning magic from a grimoire is hard,",魔法書で覚えるのは大変だけど,It is hard to remember in a magical book,0.21428571428571427,0.6266538
"but if you keep at it, you can \Nlearn as many spells as you want!","まじめにやれば あなた次第で
多くの魔法が覚えられるわ","If you do it seriously
Many magic will be remembered",0.2,0.5259193
Thank you.,ありがとう,Thank you,0.6666666666666666,0.7717476
I really can't read it.,やっぱり読めない,After all I can not read,0.18181818181818185,0.565177
I wish there was a skill that'd \Ntranslate books for me.,あればいいんだが,I wish I had,0.14285714285714285,0.21525133
"Let's learn together, then.","（ラフタリア）
一緒に覚えましょう",Let's remember together,0.375,0.53327787
What? The language and magic?,文字と魔法を？,Letters and magic?,0.42857142857142855,0.60876155
"But the key word there is ""together.""",〝私と一緒に〞です,"""With me""",0.16666666666666666,0.2940676
"There's more than a month \Nuntil the next Wave,","（尚文）次の波まで
ひと月以上あるし―","From the next waves
More than a month-",0.35714285714285715,0.8753393
Let's spend the night in Lute Village.,今夜はリユート村に泊まろう,Let's stay in Reiyu village tonight,0.3333333333333333,0.5930164
Sure!,はい！　フフッ…,Yes!Fufu ...,0.2,0.22822785
"Hey, wake up!",（尚文）おい　起きろ,Take up,0.16666666666666666,0.23027565
"It's so cute, Naofumi-sama!",かわいいですよ　ナオフミ様,It is cute Naofumi,0.2222222222222222,0.803425
We should think of a good name for it.,"（ラフタリア）
いい名前を考えてあげないと",I have to think about a good name,0.2857142857142857,0.65278345
Yeah...,"（尚文）う…
（フィロリアル）ピイ","...
 Pii",0.3333333333333333,0.21142998
I can't believe she grew \Nso much in just two days!,"（ラフタリア）たった２日で
こんなに大きくなりましたね","only 2 days
I got so big",0.1111111111111111,0.4378833
My Growth Boost skill probably helped.,成長補正が効いたんだろう,Growth correction would be effective,0.09090909090909093,0.5523859
"Right, Filo?",（村人）おい　あれは？,What is it?,0.14285714285714285,0.053952895
