en_text,jp_text,google_translated,score,semantic_score
The Storm Dragon Veldora was  sealed by Unlimited Imprisonment. unlimited imprisonment,暴風竜ヴェルドラを 封印する無限牢獄,An infinite prison sealing a storm Verdola,0.0625,0.68241936
"To break that seal, Rimuru ate Veldora.",その封印を打ち破るため リムルはヴェルドラを捕食した,Limul preyed Verdola to defeat the seal,0.14285714285714285,0.6058531
"They both began the process  of analyzing the seal,",ヴェルドラは封印の中から,Verdora is from the seal,0.16666666666666666,0.36317345
"Veldora from the inside and  Rimuru from the outside,",リムルは封印の外から 解析を続ける,Limbul continues analysis from the outside of the seal,0.2307692307692308,0.3001778
with the goal of setting  Veldora free someday.,いつか ヴェルドラを解放するために,To release Verdora someday,0.08333333333333333,0.60380876
"After gaining several new  skills and leaving the cave,",いくつものスキルを得つつ 洞窟を出たリムルは,Limul who got a cave while gaining a number of skills,0.17647058823529413,0.63315433
"Rimuru met the Goblins,",ゴブリンたちと遭遇,Encounter with Goblins,0.14285714285714285,0.5902067
Looks like I shouldn't expect to  find many who can fight Direwolves.,牙狼族と戦うのは あんまり期待できそうにないな,It is not likely to be able to expect to fight with the bubble family,0.125,0.35372573
They all look too scrawny and beat-up.,貧弱そうだし… ボロボロ,It looks poor ... Boroboro,0.0,0.14504832
No need to get all worked up. Just relax.,気負うことはない　気楽にな,It is easy to feel,0.07142857142857142,0.24631503
Think only about doing the best you can.,最善を尽くす そのことだけを考えろ！,Consider only that thing that does its best!,0.13333333333333333,0.3846949
"But first, take me to where the wounded are.",まずは 負傷者の所へ案内してくれ,"First of all, please guide you to the injured person",0.2222222222222222,0.4081535
"We did all we could for them, but...",できるだけの手当てはしましたが…,Thank you for the allowance to,0.07142857142857142,0.18358904
Did their claws and fangs  do that much damage?,思った以上に深いな… 爪や牙で引き裂かれたのか,More deeper than I thought ... Was it torn in nails and fangs,0.09523809523809523,0.5970746
"Well, might as well try it...",まあ やってみるか,Do you try it,0.2222222222222222,0.4599553
Wh-What are you doing?!,リッ リムル様 何を…,Rwri Mleo What is ...,0.0,0.13115624
Y-Your wounds...,きっ 傷が…,Crossing ...,0.25,0.28828746
