en_text,jp_text,google_translated,score
My shadowy business role is as the Master Sergeant of the Cheery Cycle Cleanup Corps.,わたしの裏稼業は　自転車整理軍の曹長,My back business is a bicycle organizing army,0.15
"I sell off illegally parked bicycles,",違法駐輪自転車は売り飛ばし,Illive Bicycle Bicycle Sell,0.1111111111111111
"Delicious sake, food, women flocking to me...",うまい酒と　食べ物と　寄ってくる女たち,Women who come with good sake and food,0.21428571428571427
"The business may have a bit of a bad reputation, but the way of the world is the greater villainy, the greater glory.",多少　稼業の聞こえは悪いが　悪党ほど栄えるのが世の常だ,Somewhat awkward hearing is bad but it is the world of the world,0.2727272727272727
I'll have my pick of raven-haired maidens...,黒髪の乙女など　より取り見取り,View more than black haired maiden,0.0
"Master Sergeant, a woman from Birdman is coming this way!",曹長！　バードマンの女が　こっちへ向かってるようです,Sucmerer!Birdman's woman seems to be headed to her,0.15789473684210525
"What, some woman?",何だ　女か,What a woman,0.3333333333333333
"So it was you, Senpai.",先輩だったんですね,I was a senior,0.1
"Oh, is it?",えっ？　そうなんだ,eh? is that so,0.25
It can be sold for a high price to a certain important person in the north.,北のさる要人に　高く売れるんだ,It can be sold high to the north of the north,0.47058823529411764
"If you make an even better plane,  we could sell it for even more money.",もっと　いい飛行機を作れば　高い金で買ってやることもできる,"If you make a better plane, you can buy it with a high money",0.38095238095238093
So how about I become your sponsor?,何なら　スポンサーに　なってあげてもいい,You can get anything sponsor,0.08333333333333333
You are an idiot!,先輩は　アホです,Seniors are stupid,0.14285714285714285
And what of it?,何　どうってことはない,What does it mean,0.2857142857142857
"Realize the truth about society, everyone!",皆　社会の真実を知れ,Common knowledge of everyone's truth,0.16666666666666666
Then what is this pain I feel in my heart?,しかし　心が痛むのは　なぜか,But why is your heart pain,0.21428571428571427
Getting more and more consumed by the feeling of getting nowhere,行き場のない想いをずっと持って研いでいる,I have a feeling that I have no idea,0.06666666666666667
"Even now, they're still buried in the same empty town",何もない街に埋もれても それでも 今でも,"Even if it is buried in the city that is nothing, still still",0.3333333333333333
A perfect dream of dolls lined up,連なるウィンドウに,In a series of windows,0.2
so that they can be covered up,塞いでたって,I'm closed,0.0
"Wearing only their pride, they still can't find anything",埃だけ被って見つからない,I can not find only dust,0.13333333333333333
"They still aren't touched, no matter whose hands they're in",誰の手にだって触れられない,I can not touch anyone,0.0
I will meet you someday,そういつか君と出会おう,Let's meet you someday,0.42857142857142855
"Until that day is here, I will keep on going",そんな日を思って 日々を行こう,Let's go every day thinking about such a day,0.05263157894736842
Going,行こう,let's go,0.0
Then I was a brand-spanking new freshman university student,当時ぴかぴかの大学１回生だったわたしの目の前には,"At that time, before my eyes",0.0
and before me lay open innumerable doors to that rose-colored campus life.,ばら色のキャンパスライフへの扉が　無数に開かれていた,The door to rose color campus life was open countless,0.21052631578947367
But I had already come to my decision.,しかし　わたしは　もはや　決死の覚悟であった,But I was already prepared for death,0.23076923076923078
"Among the many fliers, only one was conspicuous.",数あるチラシの中でも　ひときわ異彩を放つ　このチラシ,This flyer that emits an unusual college in a few flyers,0.0
"It's sink or swim! ""secret society  lucky cat  chinese restaurant""",イチかバチか,Ichiba or bee,0.0625
You can learn the other sides of a lot of different people.,いろんな人の裏側を　知ることができて,You can know the back side of various people,0.3125
It'll be a fun experience.,面白い経験　できるよ,I can experience interesting,0.1
It means what it says.,その名のとおりさ,The name of the name,0.0
"Manager, we have a prospective new hire!",店長　入店希望者です,It is applicant who wish to enter the store manager,0.05555555555555555
Please read this now.,あと　これ読んで,I read this,0.3333333333333333
"I didn't actually expect an organization that wrote ""Secret Society"" on their flier",まさか　「秘密機関」と　大々的に　チラシに書く秘密機関が,"A secret organization written to a flyer with a ""secret organization""",0.19047619047619047
"but the Lucky Cat Chinese Restaurant is one, exactly as the sign said.",あるわけないと思っていたが　福猫飯店は 看板に偽りなく　秘密機関なのであった,"I thought I was not there, but Fukukatsu rice store was a secret organization without a false signboard",0.07142857142857142
"Their branches include the Library Police, the Print Shop,",下部組織に　図書館警察　印刷所　自転車にこやか整理軍,Library police printing to library police printing place for bicycle,0.14285714285714285
"the Cheery Cycle Cleanup Corps, and a bunch of other unofficial circles...",その他　有象無象の　非公認サークルを,Other ANO-known non-authorized circle,0.058823529411764705
"If you do quit the shop, a little process called ""paying the bill"" will be waiting to erase you from society.",もし　店をやめれば　お勘定という　社会的抹殺手段が待っている,"If you stop the store, the social killing means of the account is waiting",0.16129032258064516
We gather every single piece of personal information about the students.,われわれは　学生たちの　ありとあらゆる個人情報を網羅している,We cover all personal information and all personal information,0.2
"Which videos you rented from the video rental store,",君がレンタルビデオ店で何を借りたか,What did you borrow at the rental video store?,0.3333333333333333
We know it all.,全ては　お見通しであるぞ,Everything is outsight,0.0
But I had no intention of turning back!,とはいえ　わたしは　引くつもりは　なかった,"However, I was not going to pull",0.0625
I will show them all by climbing to the top of this Lucky Cat Chinese Restaurant!,この福猫飯店で　上り詰めてみせる,Let's go up with this lucky cat rice store,0.125
That's a good look you've got there.,いい顔だ,It is a good face,0.15384615384615385
And that man has made a giant plaything out of my fate ever since.,この男が　後に　わたしの運命を 大きく翻弄することに　なろうとは,If this man will be able to make my fate biggerly,0.13043478260869565
and to recover the lent books by force.,貸し出し図書を　力ずくで回収することであった,It was to collect the loaned books with power,0.2
