en_text,jp_text,google_translated,score,semantic_score
What is that boy doing?,あの人　何をしてるの,What I do,0.125,0.27614257
Dystrophy...?,きん　ジス,Cinning,0.0,-0.10133336
It's a disease that makes his muscles weaker over time.,筋力が徐々に低下していく病気だよ,It is a disease that muscle strength gradually decreases,0.2352941176470588,0.7679721
He was born with this unfair disease.,彼はそんな理不尽な病を背負って生まれてきた,He has been born with such an unreasonable disease,0.3076923076923077,0.79586995
"As you can see, he is fighting to overcome it.",その病を克服するために彼はああやって戦ってるんだ,He is fighting ah ah to overcome that disease,0.3333333333333333,0.5591065
"However, no matter how hard he tries, he will not recover.",だが　どんなに努力しても彼の病気は治らない,But no matter how effort does their diseases are not cured,0.21052631578947367,0.35627618
"Even with our current medical advancement, it can't be treated.",現在の医学に根本的な治療法はないんだ,There is no fundamental treatment for the current medicine,0.047619047619047616,0.64074767
His muscles will continue to weaken until he can no longer stand.,彼の筋力は衰え続け　やがて立ち上がる事も出来なくなる,His muscle strength can not be started with decline,0.1,0.6494017
"In the end, he won't even be able to breathe.",そして最後は　呼吸や心臓の活動さえ,And the end of breathing and heart activity,0.1111111111111111,0.5175214
"However, that is only the situation right now.",しかし　それはあくまで今現在の話だ,But that is the current story now,0.3076923076923077,0.5025138
he and other sick people like him might be saved.,彼は　同じ病気の人々を助ける事が出来るかもしれない,He may be able to help people of the same illness,0.15789473684210525,0.630975
Would you allow us to map your DNA?,君のDNAマップを我々に提供して貰えないだろうか,I wonder if you provide us your DNA map to us,0.4615384615384616,0.8446955
Why would I dream about something from so long ago?,夢　何であんな昔の,What a dream and that old,0.0625,0.5674604
"Oh, right. i went to see edasaki yesterday, and...",あっ　そっか　昨日　枝先さんの見舞いに行って,I went there again or yesterday to visit Mr. Branch,0.2222222222222222,0.25480607
I won't let anybody ruin the relationship we built,重ね合った　この思いは誰にも壊せないから,Because this idea that we superimposed does not break for anyone,0.05,0.24557878
"When I was oblivious to your pain,",繰り返された　真実は遠く,The truth repeated is far,0.0,0.17627144
the truth that repeated right before me was still so far,君のその痛み　気づけないまま,You don't notice your pain,0.0,0.19934858
"Even if the dream I hid long ago should tear me apart,",あの日託したその夢が　私を切り裂いても,Even if that dreamed of that dream cuts me,0.2352941176470588,0.55895627
the hope that I cherish more than anything will drive me on,何よりも大切な　希望だけ信じ貫いて,Everything believes in more important hope,0.125,0.52492285
"You were closer to me than anyone else,",誰よりも近くにいた,I was nearly nearby than anyone,0.15384615384615385,0.65467125
and yet I could not understand what you said,その声は聴こえなくて,I can not hear the voice,0.15384615384615385,0.21832575
On the inexorable river of time,刻み続けていた時の中で　やっと君に逢えたから,I finally got to you when I was continuing,0.0,0.0834304
I will protect the smile we share as we feel the other,感じ合った　同じ笑顔　必ず守ってみせる,Be sure to protect the same smile that felt,0.1875,0.7792218
"Ah! Please wait for me, Milady!",ああー　お姉さま　お待ちくださいですの,"Oh, please wait for your sister",0.3636363636363637,0.39791512
That still doesn't excuse crawling into my bed.,だからっていちいち人のベットに潜り込んでくるな,So I'm going to dive into people's beds,0.05263157894736842,0.44078642
"B-Be that as it may, where are you off to today?",それはそうと　お姉さま　今日はどちらへ,"That's right, sister and today",0.17647058823529413,0.34215838
"There's a regional field trip early in September, isn't there?",五月の頭に広域社会見学ってのがあるじゃない,There is no way to see the wide area society on the head of May,0.08,0.35319784
"Ah, right.",ああ　はい,Oh yes,0.0,0.38013834
"You're gonna go shopping for more of your childish nonsense, aren't you?",また微妙なお子様用品を買いやされますのね,You will also buy subtle children's supplies,0.043478260869565216,0.37828052
Even though our tiny room is already overflowing with Made-In-Nowhere fancy knockoff character goods?,既にメードイン不明な パチもんキャラのファンシーグッズが所狭しと溢れてますのに,The fancy goods of Pachimon characters that have already been made in the Made Inn unknown character are full,0.14285714285714285,0.4621306
You really don't need to tag along.,別についてこなくだっていいわよ,It is not good for another,0.0,0.11423457
Hardly!,そんな,Such,0.0,0.20444433
Is there anything else you might need?,えーと　ほかに何かお求めになりたい物とかは,"Well, something I want to ask for something else",0.0625,0.23937495
Maybe something to prevent sexual predators from jumping in my bed?,ベットに侵入して来る痴漢を迎撃する物とか,Anything to intercept a pervert that comes into a bed,0.10526315789473684,0.5760661
"You're not still mad about that, are you?",まだ怒ってらしゃいますのね,I'm still angry,0.07692307692307693,0.57119954
I-I'd be more than happy to help you out.,わたくし　色々とお役に立ちますわよ,I will be useful in various ways,0.05882352941176471,0.3593314
"Like, look over there!",例えば　ほら,For example,0.0,0.24977975
It comes with the job. i have maps of the city memorized down to the nooks and crannies.,仕事柄　町の地図は隅々まで頭に入っておりますので,Because the map of work pattern town is in the head every corner,0.07407407407407407,0.44136354
"Well, it doesn't happen very often, so...",まあ　こんな事はめったにありませんから,Well because there is no such thing,0.0625,0.29130924
Sorry.,ごめんね,sorry,0.5,0.8435785
"No, nothing like that.",いいえ　そんな事は,No such thing,0.125,0.4560075
"This sure is strange, right?",おかしいですわね,It is funny,0.1111111111111111,0.22064088
"Why today, of all days does this—",なんで今日に限って　こんな,Why is this limited to today,0.16666666666666666,0.6243588
"Hey, are you all right?",ちょっと　大丈夫,A little okay,0.0,0.30678666
Huh? What is it?,ああ　どうしたのう,Oh yes,0.0,0.26320902
There is no address or name written on it.,宛名も差出人も書かれてませんわね,Did not be addressed or sender,0.06666666666666668,0.4887737
What's that?,これってマネーカードですわね,This is a money card,0.0,0.2076294
"Shirai, you found one, too?",ええ　白井さん達も見つけたんですか,Yes Shirai also found,0.2222222222222222,0.8170571
"Oh, fifty-six incidents now!",おっ　56件に増えました,Opportunity increased,0.0,0.20550811
Could it be some kind of organized card counterfeiting?,もしかして　組織的なカード偽造とか,Organized card forgery,0.18181818181818185,0.72344536
"That's the thing, all of the cards that were turned in so far were genuine.",それがね　届けられたマネーカードは全部本物なのよ,That's all the money card delivered is real,0.2,0.6305551
"Really, Konori?",本当ですか　固法先輩,Is it true or solid senior,0.0,0.2045385
I haven't heard a thing about this case yet.,でもなぜです わたくし　今回の件何も聞かされていませんでしたけど,But I did not ask for anything this time I was not heard,0.15789473684210525,0.25876683
"While intentionally destroying or abandoning money is prohibited,",貨幣を故意に遺棄や破損させる事は禁止されてますけど,It is prohibited to deliberately or damage money,0.3076923076923077,0.8296159
"Money Cards are exempt, so there hasn't been a bulletin or anything yet.",マネーカードは対象外なので 特に通達はしてなかったんですよ,"Since the money card was not eligible, not particularly notification",0.08333333333333333,0.6378951
"The amounts on the cards have varied,",カードの金額はまちまちで,The amount of cards is different,0.18181818181818185,0.818744
"Each of them was left in a place with low foot traffic,",ただ　決まって人通りの少ない所に置かれているの,"However, it is placed in a place where there are few people",0.18181818181818185,0.2653894
and each was inside an envelope.,同じ封筒に入れられて,Put in the same envelope,0.09090909090909093,0.63455486
It's awfully involved for just a prank.,悪戯にしては手が込んでるって言うか,Do you say that you will get into a mischief?,0.05555555555555555,0.32161957
There were no fingerprints on either the cards or the envelopes.,カードにも　封筒にも　指紋残してないよね,I have not remembered fingerprint on the card and envelope,0.10526315789473684,0.6105894
"The rumors have been spreading around,",ただ　もう結構噂が広まって,I'm already quite rumored,0.0,0.52271813
"so more people are out prowling the alleyways, looking for treasure.",宝探し感覚で裏道をうろつく人が増えているんです,There are more people who wander the back road with a treasure hunt sense,0.2272727272727273,0.69313174
I see. Then that's why there were so many people.,なるほど　それであんなに,I see that,0.25,0.40902045
"It's just not just that. some students are stealing cards, and others are getting into fights for stumbling into skill out territory.",そればかりか カードを奪い合ったり,I just comport the card,0.038461538461538464,0.26959383
"We can't let it continue then, can we?",ほーておく訳にはいきませんわね,I'm sorry I'm sorry,0.0,0.10109656
"Ah, well I can always go by myself, so don't worry about it.",あたし一人で行くから　気にしないで,I do not care because I go alone,0.15,0.48579913
That makes me feel awfully lonely.,それはそれで寂しいですの,That's lonely,0.25,0.64188147
Now I can take my time and enjoy a little shopping!,ああ　これでようやくゆっくり買い物が出来ると,"Oh, I finally can shop slowly",0.1176470588235294,0.5823442
But I heard that Ricchan in Class B found one.,でもB組のりっちゃんが拾ったらしいよ,But B settling seems to have picked up,0.1176470588235294,0.27246994
Kuroko and I are out of the loop I guess.,噂ね　あたしも黒子もそっち系は疎いもんなあ,"Rumors too, Kuroko is no longer",0.0625,0.62313753
