en_text,jp_text,google_translated,score,semantic_score
"If you were to die, I would be sad.",私は お前が死んだら悲しいよ,I'm sad if you die,0.4166666666666667,0.84739757
"Let's go, Noro.",行くぞ… ノロ,I'm going ... Noro,0.1,0.7576575
Just how many of them are there!?,政道) こいつら どんだけいんだよ！,Polititivity) I'm just duck!,0.14285714285714285,0.1547716
There's another Owl?,梟が… もう１体だと？,梟 ... Is it another one?,0.2,0.3144865
That tickles.,あははかゆゆ,Ahaharu Yuyu,0.0,0.21646191
We've lost communication with the 4th Division! I can't contact them!,通信途絶　連絡が取れません！,Communication interruption can not be reached!,0.10526315789473684,0.2881421
"But if we do that, the main force...",しかし それでは本隊が…,But that's the head ...,0.3333333333333333,0.1766189
It doesn't matter.,かまわん… 行け,Kamawan ...,0.0,0.101715334
There's a lot of wrong in this world.,この世界は間違っている,This world is wrong,0.2727272727272727,0.7633205
And scum like you are the reason for it all!,ゆがめているのは貴様ら喰種だ！,It is a tough type that is distorted!,0.1176470588235294,0.105817065
Ghouls aren't the only things wrong with this world...,この世界をゆがめているのは 喰種だけじゃない,It is not just a seed that I'm distorting this world,0.09523809523809523,0.21869883
"It's you, too.",あなたもだ,You are too,0.2857142857142857,0.5573715
He saved them?,助けた？,helped?,0.2,0.217304
Just what are you up to?,貴様は一体…,You are integrated ...,0.2222222222222222,0.17975304
What are you even fighting for?,この戦いに何の意味がある…,What does this fight have?,0.18181818181818185,0.52149063
"If possible, I'd rather not fight you.",できれば… あなたとは戦いたくない,If possible ... I do not want to fight with you,0.4,0.7944144
Mado! What are you spacing out for!?,真戸！　何ボーっとしてんだ！,Makoto!How much is it!,0.07142857142857142,0.13383865
Sorry.,すまない…,Sorry ...,0.3333333333333333,0.736375
"Investigator Mado, I'll take it from here.",真戸２等 ここは引き受ける,"Makoto 2nd, etc.",0.15384615384615385,0.12477868
You go assist Investigator Amon and the 4th Division.,亜門上等の… 第４隊の応援へ！,"Submasion, etc. ... to support the fourth team!",0.10526315789473684,0.15596616
You received orders...,しかし… 命令は―,But ... Instructions-,0.16666666666666666,0.30971062
"to back up the 4th Division, right!?",第４隊の応援だろ！,It is the cheering of the fourth team!,0.125,0.37738004
I'm not that girl from the Academy.,ドウジマの持ち主と かぶるか？,Will it wear with the owner of Doujima?,0.05882352941176471,0.08144778
You're the one who redesigned this for me.,お前が設計し直してくれたんだ,You have re-designed,0.08333333333333333,0.5661156
I can't let it go to waste.,壊すわけには… いかない,It is not enough to break ...,0.14285714285714285,0.20210871
Where is Houji?,ぐぐ… う… 法寺は… どこだ？,Gugu ... Uh ... Where is the temple ... where?,0.3333333333333333,0.37273508
Houji-san... will not be beaten by the likes of you!,あ… 法寺さんは… お前なんかに負けるもんか！,Oh ... Mr. Hoshinji ... Something loses to you!,0.16666666666666666,0.41422486
Is that right?,そうか…,Really…,0.0,0.33286917
Seidou-san?,英良)政道… さん？,英) 道 ...?,0.16666666666666666,0.3709855
"That's all, right? You're just an ordinary ghoul, right?",ただの喰種でいいんだな？ いいんだな！,Is it just like a baby?Good!,0.10526315789473684,0.16176093
I really don't want to fight you.,やっぱり… あなたとは戦いたくない,After all ... I do not want to fight with you,0.42857142857142855,0.7947212
I'm afraid that's unavoidable.,そうも… いかない,Yeah ...,0.0,0.11289284
what your name is?,聞いてもいいですか？,May I ask you something?,0.1,0.31591237
"If only we had met some other way,",出会い方さえ違ったら… ゆっくり話してみたかったな…,Even if you met ... I wanted to talk slowly ...,0.1176470588235294,0.5457935
"If your foe is before you, even if it costs you your arms and legs, you fight!",敵を前にしたら 手足をもがれても戦え！,"If you make the enemy in front of you, you can fight even if you get the limbs!",0.25,0.7208432
That's the first thing that Mado-san taught me.,それが 真戸さんが 最初に教えてくれたことだ,That is what Manei told me first,0.2307692307692308,0.28305757
You're here.,キタ,Kita,0.0,0.15284505
Boys...,望元)ん～ ボーイズ,Oto-Boys,0.0,0.4726238
This doesn't look too good.,これは… まずいね,This is ...,0.1111111111111111,0.27358654
Understood.,太志)ああ… 分かった　フウ,Daisu) Oh ... I understand,0.0,0.25837177
It sounds like Arima's on the scene.,有馬が… 到着したようです,Arima seems to have arrived,0.07692307692307693,0.66495275
"Well, I guess we can't back down now, can we?",じゃあ 負けるわけには いかないねえ,Well then I can not lose,0.2,0.29494315
Where'd these guys find such energy?,何だ こいつら！　急に元気に…,What guy!Suddenly fine ...,0.0,0.17592001
Have to hurry... to Anteiku...,急がなきゃ… ハア… “あんていくへ”…,"I have to get hurry ... Haa ... ""To I go"" ...",0.3636363636363637,0.5564052
Everyone...,みんな…　みんな…,everyone…,0.0,0.84493965
will save you...,助けるんだ… くっ… 僕が…,Help ... ... I ...,0.16666666666666666,0.40818107
"Coffee is surprisingly hard to make, isn't it?",意外と難しいんだな コーヒーいれるのって,It is surprisingly difficult to coffee,0.4545454545454545,0.8373583
"Yo, Kaneki.",よっ カネキ,Kaneki,0.25,0.843899
"He really doesn't show any mercy, does he?",あいつ… 本当 容赦ないな…,Atsushi ... really uncommon ...,0.08333333333333333,0.16301785
That was disgusting.,ハハ… ああ 気持ち悪っ…,Haha ... Oh feelings ...,0.0,0.18910244
Father!,ンフ…　おとーさん,Numph ... Oto,0.0,0.1666949
