en_text,jp_text,google_translated,score
Signs,-----TEXT-JP-----,------ TEXT-JP -----,0.0
This is the world Shamans see.,これが　陰陽師の見る世界,This is the world where the yin-yo looks,0.4
"Hokuto,",北斗,Hokuto,0.5
"I don't know if I can ever\N live up to your expectations,",お前の願いが叶うかはまだ分からないけれど,I do not know yet if your wish comes true,0.2777777777777778
but I've finally made up my mind to try.,俺は　やっと…,I'm finally ...,0.15384615384615385
"Hurry up, Yukikaze!",急いで　雪風,Snow style in a hurry,0.1111111111111111
I can't set flight from here,"{\blur3\fad(200,0)}飛べない…ここからじゃ",I can't fly ... from here,0.5555555555555556
Just looking at your profile won't help,{\blur3}横顔 眺めてるだけじゃ,Just look at the profile,0.3
I could lament my powerlessness,"{\fad(1000,0)\blur3}飛び方を忘れていた",I forgot the flying,0.125
Cry their hearts out in regret,"{\fad(300,0)\blur3}Going out!",Going out!,0.125
toritachi no nageki wa nobasu,{\blur3}この背を 誰も押さない,No one pushes this back,0.1111111111111111
"From this cold, inhumane world","{\fad(250,0)\blur3\c&HA4A4A4&\3c&H000000&\3a&HAD&}そうだけどね 確実な","Yes, but certainly",0.1111111111111111
There's a certain hope already welling up inside of me,"{\fad(250,0)\blur3\c&HA4A4A4&\3c&H000000&\3a&HAD&}希望が もう僕の中に",Hope is already in me,0.23076923076923078
kibou ga mou boku no naka ni going up,"{\fad(250,0)\blur3\c&HA4A4A4&\3c&H000000&\3a&HAD&}Going up!",Going UP!,0.2
I sprint toward the start line,{\blur3}走り出した 序章へ,To the start of running,0.2222222222222222
I'm sure this is how it was meant to be,"{\fad(150,0)\bord3\blur3\alpha00\c&H0D0EF5&\3c&HFFFFFF&}やってみなきゃ ワカラナイ",I have to do it,0.23076923076923078
And take off to where you are,{\blur3}キミの元へ,To the source of you,0.2
habataku ravens,{\blur3}羽撃く “RAVENS!”,"Feather ""Ravens!""",0.16666666666666666
Fight! Keep holding on!,"{\bord3\blur3\t(0,167,\c&HD1B420&\3c&H070300&)}Fight! {\alphaFF}Keep holding on!",Fight!  Keep Holding on!,1.0
We'll come together in the middle of a thousand loops,"{\fad(125,0)\blur3\c&HFFFFFF&\3c&H000000&\3a&HA1&}何千のループの中 出逢う",meet thousands of loops,0.15384615384615385
Right here in this very place,{\blur3\c&HFFFFFF&\3c&H000000&\3a&HA1&}この現世で,This is the world,0.1111111111111111
My destiny can no longer be stopped,{\blur3\c&HFFFFFF&\3c&H000000&\3a&HA1&}もう止められない 宿命の真下で,Under the fate that can not be stopped anymore,0.23076923076923078
No matter how little,{\blur3\c&HFFFFFF&\3c&H000000&\3a&HA1&\t(\c&HDCDCDC&\3c&H000000&\3a&HAD&)}僕に出来ることが どんなに僅かでも…,No matter how little few things can be done ...,0.4
sono karada ni seou mono,"{\fad(150,150)\blur3\c&HDCDCDC&\3c&H000000&\3a&HAD&}その体に背負うもの",Those who bear the body,0.0
Whatever you may be burdened with,"{\fad(150,150)\blur3\c&HDCDCDC&\3c&H000000&\3a&HAD&}キミの傍にいるよ",I'm beside you,0.1111111111111111
I hope to be able to share your pain,"{\fad(150,150)\blur3\c&HDCDCDC&\3c&H000000&\3a&HAD&}その痛み 分け合える日まで",until the day when the pain can be divided,0.14285714285714285
tobitatsu ima koso ravens,"{\fad(150,0)\blur3\c&HDCDCDC&\3c&H000000&\3a&HAD&\t(1000,1500,\alpha00\blur0\bord0\c&H6A5D4E&)}飛び立つ 今こそ Rave on!",Rave ON!,0.0
Resurrection,-----STAFF-----,----- STAFF -----,0.0
Soon.,もうすぐ,very soon,0.3333333333333333
There it is!,来たかよ,Was it?,0.16666666666666666
An Armored Juggernaut!,装甲鬼兵,Armored demon,0.2
Why can't we approach the altar?!,祭壇に近づけない,I can not get close to the altar,0.13333333333333333
Okay!,はい,Yes,0.0
Here it comes.,来るぞ,It's coming,0.16666666666666666
And I'm going to bring\N my brother back to life!,あたしはお兄ちゃんを生き返らせて見せる,I will show my brother and show my brother,0.3076923076923077
"Actually, you shouldn't even try!",いえ　試すべきではないんです,I should not try,0.2
Natsume.,夏目,Summer eyes,0.0
Soul techniques are forbidden because they exist in a realm humans must never set foot in.,魂の呪術が禁じられているのは,The soul magic is forbidden,0.10526315789473684
We of this era must not try\N to imitate it in form alone.,今を生きるものが形だけ真似ていいものではありません,It is not good to imitate what we live now,0.2631578947368421
It was you Tsuchimikados who revered and revived the Taizan Fukun Ritual.,「泰山府君祭」を祀ってきたのも復活させたのも土御門だけ,"It is also the Tsuchimon who has been resurrected to the ""Taoyama Fujin Festival""",0.12
This sword's amazing!,この剣　すげえ,This sword,0.4
It's a protective one.,護身剣です,It is a self-defense sword,0.2222222222222222
"Even among its kind,\N it's a specially forged antique item.",中でもそれは特別に鍛えられた年代もので,"Among them, it is a specially trained age",0.2777777777777778
Huh? No way!,えっ　嘘,Lying,0.0
"Just a little, though.\N Just a little.",でも　ちょびっと　ちょびっとだけ,But just a little bit,0.375
