en_text,jp_text,google_translated,score
There's no way I can be confident about it.,"脂が　たっぷり乗った
ほくほくのサンマがなる木→","I got plenty of fat
Hoku Hoku no Sunma's Tree →",0.15789473684210525
Let us meet at the festival.,＜誰かが言った→,<Someone said →,0.0
Starjun is going to come to the Fest.,ジャングミがあると＞,If there is jungmi>,0.08333333333333333
The greetings you Gourmet Knights give is pretty violent.,"＜センチュリースープの争奪戦は
ますます過熱する＞","<The battle of the Century Soup is
More and more Heating>",0.10526315789473684
"Sorry, Toriko.","＜アイスヘルに上陸した
トリコたちは→","<Landed to Ice Hel
Toriko is →",0.09090909090909091
I just wanted to test the strength of the man that beat the Four Beast's.,スープが眠る氷山へ→,To the iceberg that soup sleeps →,0.15789473684210525
It's likely that was the Gourmet World plant beast.,"それだけ恐ろしい猛獣が
出るってことでしょうか。","That's why a horrible beast
Is it going out?",0.2222222222222222
You're the one that'd better not fall behind.,（マッチ）ありがとよ　昼間は。,Thank you for the daytime.,0.21428571428571427
What?!,（トリコ）うん？,Yeah?,0.25
"Aimaru-san is usually cool and collected, but when he's with Toriko-san his personality suddenly changes.","（マッチ）
見張りを代わろう　トリコ。",He replaces the perspective he is Toriko.,0.13636363636363635
"But anyhow, it sure is quiet, isn't it?","（手下）
強風しのげて　もう楽勝ですよ！",It is already easy winning!,0.15384615384615385
U-Um...,"（ティナ）
順調…　あまりにも順調過ぎる。",Smart ... too well too much.,0.14285714285714285
"Ah, yes. The spiky fruits?",取りあえずはな。,For the time being.,0.18181818181818182
Then the animals carry them far away and that's where they sprout.,（手下）今までの経験からして→,From the experience so far →,0.1111111111111111
That's pretty much it.,"ガウチだ～！
（ゾンゲ）し～っ　声が　でかいぞ。","It's Gauchi!
 -It is she's a girl.",0.23076923076923078
"Hey, Toriko, you didn't even explain that to him?",やつらが起きちまうじゃねえか。,Do you want to get up?,0.1875
"Unless something is done, all of nature in the Human World will be devoured by that thing.","地上最強最悪の生物だ
嘘じゃねえって。","It is the best creature of the ground
I'm not a lie.",0.14285714285714285
That is not the only reason.,"すでに　スープ捕獲に
動きだしているとの情報が。","Already in soup capture
Information that is moving.",0.23076923076923078
"The Death Falls. It's been a while, hasn't it?","（マンサム）ジュエルミートの捕獲には
失敗したが…　やつらのことだ。","For capture of Jewel Meet
It failed but ... it's about a guy.",0.17391304347826086
"Thanks to the Four Beast's invasion, the mountains holding back the falls were destroyed, huh?",他の四天王も向かわせるべきか。,Should I go to other four heavenly kings?,0.13636363636363635
maybe I'll give it a try.,どこなんだい？　ボギー。,Where is it?Bogey.,0.16666666666666666
Just what I would expect from Heavenly King Sani.,皆殺しだよ。,I will kill everyone.,0.15384615384615385
Who are you?,どうします？　副料理長。,What do you do?Deputy Director.,0.2222222222222222
It's an honor to be known by you.,"おい　何か見えてきたぞ。
（滝丸）あれは…。","I'm looking at something else.
 That's ....",0.1111111111111111
"You can make some dazzling, delicious oil dishes with it.",朝だってのに　太陽は雲に覆われて顔を出さねえ。,"Even in the morning, the sun is covered with clouds and the face is made.",0.13043478260869565
"Yeah, right.",はあ　はあ…。,Ha Ha….,0.16666666666666666
"Sorry, but this is not the time to be burning time away.",気温は下がる一方ってわけさ。,While the temperature is lowered.,0.1875
Can you just not get in the way of my capture?,"今日　ほとんど
食べてないじゃないですか。","Most of today
Aren't you eating?",0.17647058823529413
Coco.,小松　お前…。,Komatsu ....,0.25
"Oh, Match. It's been a while.",少し辛い。　けど　体が温まる。,A little painful.But the body warms up.,0.13333333333333333
I just thought I would earn some ingredients for Cooking Fest at the casino.,小松　その気持ちだけ頂くぜ。,Komatsu I feel the feeling.,0.17647058823529413
W-Wait up guys!,（一同）はっ！,!,0.25
I'm at my limit. I can't walk anymore!,"うわ～！　トリコさん
一気に口に入れたから　辛っ！","Wow!Toriko
It's hard because I put it in my mouth at a stretch!",0.18181818181818182
Where in the world is it?,急いでいるのに。,It is rushing.,0.2222222222222222
That fragrant component often found in tubers?,"えっ？
それに　あの毛皮は→","eh?
And that fur →",0.16666666666666666
Fork Shield!,（滝丸）うっ！→,Uh!→,0.2
It broke the shield...,その質が　高けりゃ高いほど→,The higher the quality →,0.125
Flying Fork!,"（フリーザバイソン）ブオオ！
うう！","Booo!
UU!",0.2
There will be no end to it at this rate.,"（マッチ）ふう…。
（シン）さすが　マッチさんだ！","Flap ....
 I'm going to be Match!",0.16666666666666666
Leg Knife!,（マッチ）はっ！,!,0.3333333333333333
"Ai, Takimaru.",すげえ。,great.,0.2
Leave this to me.,"これ以上
無駄に命を奪う必要はない。","more than this
There is no need to lose your life in vain.",0.1875
"Takimaru, Toriko can take care of this.",（マッチ）トリコ？,Toriko?,0.1
R-Right.,３頭で十分だろ。,Three hopes are enough.,0.16666666666666666
I've gained a little strength.,命に優しいやつだぜ。,It's a lonely guy.,0.18181818181818182
"Most of all, it's not beaut'ful.","（ボギーウッズ）
第２陣のやつらのようだな。",It seems like the second team.,0.14285714285714285
Aren't you the one being repelled?,死ぬなんて思ってなかった？,Didn't you die?,0.3
Pouring oil on a fire like that will create a result.,"（ブルボ）こっ　こんなところで…
このブルボさまが…。","This is a place like this ...
This bullbo is ....",0.1875
"Since you know what's under the cards, that's no challenge for you.","トリコたち第１陣の足跡なんか
とっくに消えてんだろ。","Toriko's No. 1 footsteps
I'm disappearing.",0.15
So let's do this with dice.,"いずれにしても
こいつは手だれだな。","Anyway
This guy is hands.",0.16666666666666666
I don't mind what the game is.,"一人　先へ進んでいる。
しかも平然と。","I'm in progress.
And it is calm.",0.2
Please check them to see that they're not rigged.,"まっ　いいや　めんどくせ。
取りあえず　攻撃してみよ。","It's nice to meet you.
Please attack for the time being.",0.14285714285714285
"By the way, how is the country itself, Jidar, doing?",別の誰かってわけか。,Who is another one?,0.14285714285714285
"There was some chaos after that for a while,","（バリーガモン）トリコたちでも
俺たち美食會でもねえ→","Toriko
Even if you are a gourding group →",0.05555555555555555
Yes. What about it?,どうだ　小松　バイソンの毛皮は。,How about Komatsu Bison's fur.,0.18181818181818182
The odds of two die faces matching... is one in six.,"この世の全ての食材に
感謝を込めて…。","All ingredients in this world
Thank you ....",0.15789473684210525
Salamander Sphinx.,（ジャムグラスホッパー）ギッ　ギッ　ガア～。,Giggiers.,0.25
Nicknamed the Mon Planc.,（トミーロッド）危険ってのは…。,The hazard is ....,0.25
Mon Planc?,さっ　急ごうか。,Suddenly?,0.25
That definitely is a chestnut.,"危険の少ない
優しい寄生昆虫だから。","Dangerous
Because it is a kind parasitic insect.",0.25
The methional and furanone I can smell coming from this thing,"（トミーロッド）こいつとかのことを
言うのさ。　ハハハハ。→","This guy
I say.Hahahaha.→",0.15384615384615385
are components of chestnuts.,"（部下たち）はあ　はあ…。
（滝丸）はあ　はあ…。","are there.
 is Ah!",0.2222222222222222
What a hard shell.,"ああ　よく頑張ったな。
根性あるよ　お前は。","Oh I worked hard.
Your root.",0.2
Mon Planc.,（シン）マッチさん。,Match.,0.25
Present Time!!,"（アイスジャガー）ガオオ！
（一同）ぎゃ～！","Gaoo!
!",0.25
"I'm your newscaster, Tina.",（ティナ）だから　アイスジャガーだって　言ってんでしょうが！,", so I'm Ice Jaguer!",0.2727272727272727
"Now then, today's wonderful present is this!","（手下）どう見ても
ガウチより強そうですよ！",It's better than Gauchi!,0.14285714285714285
Goushoku My Way!! CD,（一同）ぎゃ～！,!,0.2
The first keyword is A.,答えは　ＣＭの後。,The answer is after CM.,0.3333333333333333
"Toriko's New Technique ""Nail Gun""!!",（一同）うわ～！,wow!,0.1
"Next time will be a heaping helping of fun, too!",こんなときに　リポートしてる！,I'm reporting this time!,0.125
