en_text,jp_text,google_translated,score
Damn! Haven't the Demislad\nsprays stopped yet?,ったく デミスラードのしぶきは まだ 止まんねえのかよ,Demislad's splash is still stopped,0.07142857142857142
We'll be stuck here with\nthis caravan forever!,このまま キャラバンごと立ち往生か…,Is it going to stand for each caravan?,0.058823529411764705
Have a drink and chill out. They'll stop before you know it.,飲んでりゃ そのうち止まるさ 慌てんなよ,"If you drink it, you will stop it",0.23529411764705882
What's wrong? You had it already?,ギャハハハ どうしたい？ もう終わりかい？,What do you want to do?Is it over?,0.3076923076923077
Be quiet! I'm trying to think!!,じゃかあしい！ 今 考えてんねん,I'm sorry!I think now,0.4
"Oh, I see. I'm sorry.",あらそ　そりゃ失礼した,It was rude,0.0
Should I give him a head-butt\nand make a break for it?!,このオッサンに頭突きかまして トンズラこくか？,Do you have a head against this Ossen?,0.10526315789473684
She needs dancing lessons.,ヘタな踊りやなあ…,Heta dances ...,0.0
I mustn't escape from reality! What'll I do? What'll I do?!,あっ 現実逃避してもあかん どないする？ どないする？,Do you want to escape?Do you do?,0.21428571428571427
What? You don't have pudding?!,ええ！ プリンないんですかあ？,Yes!Is there no pudding?,0.25
But I want to have pudding! Please don't be mean to me!!,プリン食べたいんです 意地悪しないでください,I want to eat pudding Please do not do anything,0.375
Are you listening?,人の話 聞けよ,Listen to people's story,0.0
That's right! Meryl and Mr. Vash are here with me!,はい！ 先輩とヴァッシュさんも 一緒なんですよ,Yes!Seniors and Vash are also together,0.25
"Y-You mean, Vash the Stampede?",ヴァ… ヴァッシュ･ザ･スタンピードか？,Va ... Vash The Stan Peed?,0.2727272727272727
Yes. I'm surprised\nyou know him!,そうです！ よくご存じですねえ,that's right!I know well,0.25
"What's with the hand, buddy?",おう お兄ちゃん この手なんだよ ええ？,"Oh, my brother is this hand.",0.14285714285714285
"I'm sorry, how careless of me!",おおお すまん すまん 不注意やったわ,I'm sorry I didn't care,0.25
"What are you doing, girl?!",うわあ あかんがな 何すんねん,Wow Ahkan,0.0
The rest of my fare\nis riding on this game!,この先の旅費をかけた 一世一代の勝負なんやで！,The first generation match with this travel expense!,0.1875
What? Why?!,ひっ！ なんでやねん,Hi!why,0.4
Thank you for buying\nall of these for me!,こんなに買ってくれて ありがとうございます,Thank you for buying so much,0.2727272727272727
I'm pretty good at chess because I always played it with my big brother.,ずっと大兄ちゃんの相手 してましたから,Because I was the other party of Oops,0.09523809523809523
There are 10 of us!,10人兄弟です！,It is 10 brothers!,0.2222222222222222
"You're the youngest,\naren't you?",はっ… あんた末っ子やろ？,Ha ... What is your youngest child?,0.14285714285714285
That's amazing! How could you tell?!,えっ すごい どうして分かるんですか？,How do you know great?,0.25
It's written all over you.,体全体で表現しとるがな,It is expressed by the whole body,0.07692307692307693
"Please, don't let\nthem find me!",ハッ　お願いです かくまってください,Please come true please,0.1
"Well, that was sudden.",…って いきなりやな,... I'm sorry,0.0
