en_text,jp_text,google_translated,score,semantic_score
"It sure paid off, didn't it?",いやあ　しかし ウマくいったもんだな,"No, but I'm sorry",0.07692307692307693,0.15923057
Lady Luck is on our side!,まったくだ ツキも味方したしな,I also talked about Tsuki,0.0,0.09624729
Don't bring your\nreeking corpse in here!,臭えにおい まき散らして 入ってくるんじゃねえよ,I'm going to smell smell and get into it,0.0,0.39258343
I won't give you a drink...,酒はダメだが—,Sake is no good-,0.0,0.20982535
...but I'm willing to\ngive you a lead bullet.,鉛弾なら ごちそうしてやるぜ,"If it is a lead bullet, it will do it",0.17647058823529413,0.58177465
What's wrong? Too scared to talk?,どうした？ びびって声も出ねえか！,What happened?Do you have a voice too!,0.2,0.26382008
Don't show your face here again!,もう二度と 顔出すんじゃねえぞ！,I'm going to face again again!,0.25,0.6491714
Bunch of idiots.,バカ野郎どもが,Baka Buru,0.0,0.11194223
A giant man? A red coat? Blonde hair? A Mohawk?,大男か赤いコート 金髪かモヒカン,Daple or red coat blonde or mohican,0.25,0.51663303
"A gunman so amazing, they put $ $60 billion on his head.",600億ダブドルの賞金が 賭けられていそうな—,A prize of 60 billion dollars seems to be betting-,0.14285714285714285,0.39355248
That sounds awfully vague.,なんだか めちゃくちゃ あいまいな線ですね,It is a very vague line,0.1,0.6085305
"I'm saying, we will pay special\nattention to anyone like that!",つまり それらしい人物を 注意して捜すということですわ,"In other words, you are looking for some of their people",0.04166666666666666,0.11079919
"But what a peaceful\ntown this is, ma'am!",それにしても 平和そうな町ですね  先輩,"Even so, it is a peaceful town senior",0.2,0.552454
"Keep your wits about you, Milly.",油断は禁物ですわよ　ミリィ,"Oil is prohibited, Miri",0.08333333333333333,0.24131815
"Ma'am, he matches\nthe description!",先輩 それらしい人物 見つけました,Seniors Find a person,0.0,0.13300797
He only did that\nbecause he was called to.,あれはただ 呼ばれたから 手を上げただけですわ,I just raised my hand because it was just called,0.13333333333333333,0.30301824
"Listen, we're after an atrocious fiend\nwith a price on his head.",いい？ 私たちが捜しているのは—,Good?What we are looking for-,0.05,0.17381828
Not a brainless idiot like him!,あんなの全然 違いますわ,It's totally different,0.0,0.10319583
"Damn, that hurt!",痛えな チクショウ,Painful chicks,0.0,0.28503063
What do you say when\nyou bump into someone?,ぶつかっといて 挨拶もなしか？ え？,Is there a greeting as a hit?picture?,0.0625,0.4459052
Don't be shy!,おい 遠慮するんじゃねえよ,Please do not hesitate,0.125,0.3790925
"Just a drink, bro!",おごってくれよー 兄貴,I'm sorry- my brother,0.0,0.24432227
"All right, all right! Just let go!",無視しますわよ 無視！,"Ignore it, ignore!",0.2222222222222222,0.25116712
How could you be so cold?!,つれないぞ 君たち！,I can not get it!,0.07692307692307693,0.18165584
"Don't be so cold, little brother!",つれねえな 兄弟,Sakai brother,0.1,0.27948788
You got money?,カネはあんのかい？,Is the money an anton?,0.25,0.36055735
My boy here is the\nson of a millionaire!,ここにいるブラザーは 大富豪の息子だ,Here is a brother of a millionaire,0.5,0.72900754
Bring it on!,安心して持ってきな,I have peace of mind,0.0,0.18650126
"He's lying, so make it\nthe cheapest in the house.",ウソですから 一番安いやつをお願いします,I would like the cheapest guy because it is a lie,0.09523809523809523,0.55219764
"I don't want any trouble in here,\nso I'll keep your gun 'til you leave.",ここで もめ事はごめんだからね,I'm sorry for this time,0.043478260869565216,0.18931723
All right.,ああ はいはい,Oh yes,0.0,0.24731608
It misses by 3 whole iches\nfrom only 10 yarz.,10ヤーズ離れただけで ３イーチもずれるんですよ,It's only 10 YAS and you can get 3 days.,0.29411764705882354,0.40813488
It wouldn't kill her\nto be more friendly.,ちっとは 愛想よくしろってえの,Hit a lovely well,0.0,0.083224155
"All right, here's to new friends!",よし 俺たちの出会いに乾杯だ！,OK It is toast to our encounter!,0.13333333333333333,0.35392347
Right.,ああ はい…,Oh yes ...,0.0,0.2873649
"Damn, that hits the spot!",ああーっ うめえ！,Oh yeah!,0.1111111111111111,0.35238522
"Out of all of man's inventions,\nalcohol is the greatest!",酒ってのは 人間が作り出した物の中で—,Sining is among things that human beings produced-,0.05263157894736842,0.05506221
Don't you agree?,そうは思わねえか？,Do you think so?,0.42857142857142855,0.44533333
I know it's supposed\nto be an installment...,あのさ なし崩しとはいえ おごるってんだから—,It's because I'm sorry for the break.,0.1875,0.16685262
Dunno the guy.,知らねえな,Unknown,0.0,0.29234108
"Yeah, he's famous. He's the hero of this town.",ああ 有名だよ　この町の英雄さ,Oh famous Heroes of this town,0.3076923076923077,0.69771874
"A long time ago, this town\nwas attacked by bandits.",だいぶ前に この町が 悪党どもに襲われたことがあってね,This town has been attacked by the villain,0.1875,0.6134766
Marlon the gunsmith went\naround from door to door...,そのとき 銃職人のマーロンは—,At that time Merlon of the gunperson-,0.07142857142857142,0.5038723
...passing out guns\nhe had made himself.,自分が作った銃を 私らに渡して回ってくれたのさ,I passed the guns I made and went around,0.06666666666666668,0.42818347
You wanna give your gun\nto a complete stranger?,見ず知らずの他人に 銃を渡すだ？,Do you pass guns to others without looking at?,0.1111111111111111,0.5095763
You'll have yourself to blame\nif you get shot in the back.,そんなことして 後ろから撃たれても文句は言えねえ,"Even if it is shot from behind, I can not say anything",0.04166666666666666,0.5089283
You'd have to be a fool.,その男はバカだ！,That man is stupid!,0.0,0.2205442
"A hopeless, pathetic fool.",どうしようもないバカ野郎だ,It's stupid stupid,0.0,0.16983806
Nothing truly big will ever\nhappen in this small town!,こんな小さな田舎町に 事件らしい事件なんて—,Such a small country town like a case-like incident-,0.125,0.49124348
The worst we ever have to deal\nwith are the antics of drunks!,せいぜい酔っ払いどうしが—,Everyway drunken,0.0,0.46449965
The legendary outlaw? That's a riot!,伝説の賞金首ですか こりゃ おかしい,Legendary award Borse,0.09090909090909093,0.3240208
It's no laughing matter!,笑いごとではありませんわ！,I'm not laughing!,0.2222222222222222,0.58164996
We couldn't ask for\na better location!,全く文句のつけようのねえ ロケーションじゃねえかよ,You can not complain at all rights,0.0,0.20453914
"Also, it's only a rumor...",それと あくまでうわさなんですが—,That's why it is a rumor-,0.25,0.82568896
...but they say Vash the Stampede\nshowed up near here.,ヴァッシュ･ザ･スタンピードが この辺りに現れたらしいんす,Vash The Stan Peed seems to appear around this area,0.10526315789473684,0.48241326
You mean Vash as in The Humanoid Typhoon?,ヴァッシュって あの ヒューマノイド･タイフーンがか？,Vash is that humanoid tie flap?,0.2307692307692308,0.63147384
The same.,ああ,Ah,0.0,0.24592723
Get the hell out!,とっとと出ておいき！ うわっとっと…,Take a look out!Wow ...,0.2,0.25110167
