en_text,jp_text,google_translated,score,semantic_score
"Ow, ow, ow, ow!",（桐葉）この アホ神様～！,This Aho-sama ~!,0.16666666666666666,0.3294408
And you said the malison \Nlevels would stay low!,堪忍して 堪忍して～！,Budget and pause!,0.16666666666666666,0.18890195
A high of 10%?! We nearly drowned \Nin supernatural trouble!,"すそ 10％どころか
怪奇事件 めじろ押しじゃったわ！","Won't 10%
I'm pushing a strange incident!",0.2,0.50598705
"Gimme a break! C'mon, ease up!","（くくり）あ～
それは シャレにならんて！","A ~
It's a cake!",0.15384615384615385,0.24751353
"Now, the finisher: \NOne Thousand Years of Death!","（かずや）ああ…
（桐葉）とどめじゃ 奥義 千年殺し","Oh ...
 and dummyugihiro killing thousand years",0.125,0.41357428
Kukuri-sama.,"（桐葉）情けなど無用じゃ！
ららら ららら らあ～","Passionate etc.
Larger",0.2,0.122140035
K-Kokuyou! Help me out here!,（くくり）こ… 黒耀！ 助けて～,... Kurawo!Help me,0.375,0.69236195
"Kokuyou-san, what's with the uniform?","（黒耀(こくよう)）くくり様
（かずや）ん？","Kurikari
?",0.1111111111111111,0.2703666
and general living expenses have \Nobligated me to take on a part-time job.,"生活費もろもろを稼ぐための
アルバイトに行くのだ","Living costs to earn more
I'm going to part-time job",0.2,0.6995155
"Now, if you'll excuse me.",では 失礼する,Rude,0.0,0.29197866
Off!,"（くくり）うーん でえい！
（桐葉）うわっ",Hmmmmmmmmmmmmmmmmmmmmmmmmm!,0.3333333333333333,0.31722903
What was that supposed to be?!,"ハーッハッハ！
何じゃ？ ありゃあ","Hachaha!
What is it?There",0.25,0.4128487
Shoot! I done forgot how weak \NI was outside of the shrine!,"しまった！ 境内から出ると
こんなもんやった～","Oops!When it comes out of the ground
Such a thing",0.13636363636363635,0.31210336
Have some more!,ほれほれ！,Horehore!,0.2,0.17146845
"If you don't tone it down, \Nyou won't get any pudding.","ほら 桐葉さん
ほどほどにしないとプリンなしだよ","Mr. Hira
If you don't make it so much, it's no pudding",0.3333333333333333,0.6034824
"I'll go buy some, so just \Nbehave and wait here, okay?","（かずや）じゃあ 買ってくるから
けんかしないで待っててよ","is bought because it will buy
Wait without fighting",0.09523809523809523,0.2968923
"Now, why don't we have a little chat, Kukuri?","ハァ… さて
少し 話をしようか？ くくり","Hua ...
Shall we talk a little?Turning",0.2352941176470588,0.30797735
and take turns flipping \Nthem over to find pairs.,♪～,♪ ~,0.0,0.09462769
Kanayama-san,～♪,~ ♪,0.0,0.17040898
Kukuri...,（くくり）んっ… 今は まだ話せん,... I still speak still,0.2,0.220418
but why is your strength so depleted?,"なぜ お前は
それほど消耗しておるのじゃ？","Why do you
Is it so exhausted?",0.3333333333333333,0.5648777
You've taken on this young appearance \Nand are barely able to wield your power.,"姿も幼くなり
力も満足に振るえぬ","The figure is also young
Power is satisfied",0.09523809523809523,0.52290493
