en_text,jp_text,google_translated,score
Why?,（茜）なんで…,Why ...,0.3333333333333333
She was in my class in first year.,"（葵）私１年のとき
同(おな)クラだったから","When I am 1 year
Because it was the same",0.125
"I mean, even I'm getting \Nmessages about it now.",茜(あかね)ってつきあってんだ,I'm getting along with Akane,0.21428571428571427
Isn't it next week?,（葵）来週だよね ８月10日,It is next week August 10,0.5
"Oh, yeah, you're right.",（千夏）あー そうだね,Oh yeah,0.2857142857142857
Let's take ten.,（立花大輔(たちばなだいすけ)）10分 休憩,) 10 minutes break,0.0
"Dazai once said, ""There is such a thing \Nas love in this world. I'm sure of it.","“見つからぬのは
愛の表現である”","""Not found
It is a representation of love """,0.25
"It's the expression—the etiquette—\Nof love that is so hard to find.""",“その作法である”,"""It is that method""",0.25
"Yeah, Azumi and Mizuno.",（男子２）だから安曇と水野が…,"Because it is , Izumo and Mizuno ...",0.2727272727272727
"Dude, Kota! Holy crap!","（山科(やましな)ろまん）ハハッ ヤベー
コタ ヤベー！","Roman) Hahachy
Kota Yabe!",0.2
Is it sexy? Is it sexy?,デート デートなの？,Is it dating date?,0.5
Morning!,"（宮本心咲(みやもとあいら)）おはよー！
（佐藤節子(さとうせつこ)）茜っち",") Good morning!
)",0.5
B-But...,（茜）あ… うん,A ...,0.3333333333333333
"Hey, Akanecchi.",ねえねえ 茜っち,Hey nephime,0.2
Why Azumi?,なんで安曇なの？,Why is it azazic?,0.3333333333333333
"Hey, what do you like about him?",ねえねえ どこが好き？,Hey I like it?,0.2727272727272727
Well...,えっと…,Well ...,1.0
Nothing?,（節子たち）えー？,Eh?,0.3333333333333333
I don't know.,分かんない,I do not know,0.5
But you like him anyway?,でも好きなの？,But do you like?,0.5714285714285714
I totally thought it would be Hira.,比良だと思ってたのにい,I thought it was a good idea,0.25
Let me know if you guys kiss.,"（美羽）チューしたら教えてねえ
（茜）えっ？","Tell me if you chew
?",0.2727272727272727
I don't think Azumi can do it.,安曇には無理っぽいなあ,It is impossible for Azumi,0.18181818181818182
Please submit your summer break \Nhomework if you've finished it.,"（園田涼子(そのだりょうこ)）夏休みの宿題
できてる人は提出してください","Summer vacation homework
Please submit the person who can",0.16666666666666666
Summer School,"もう夏休みも
折り返してますからね","Even summer vacation
I'm back",0.14285714285714285
Aren't you going home together?,"（ろまん）一緒に帰んないの？
（小太郎）部活","Do you not come back together?
 club activities",0.23076923076923078
So wait for her.,"（ろまん）待ってりゃいいじゃん
（小太郎）えっ",Wait,0.2
Yeah.,ん？,Yeah?,0.3333333333333333
Mizuno-san!,水野さん！,Mr. Mizuno!,0.25
"I have club, too.",俺も 部活だから,Because I also have club activities,0.3333333333333333
Ready... Go!,よーい はい！,Yes!,0.2
I'm so hungry.,（女子部員）いきまーす,I'm sorry,0.3333333333333333
"Yeah, let's go.","（葵）コンビニ寄ってこっか
（千夏）あー 行こう行こう","Conveniencebi
Let's go to go",0.375
What flavor ice cream should I have today?,"（葵）今日は
何アイスにしよっかな","Today
How ice is good",0.16666666666666666
"H-Hey, I...",あっ 私 ちょっと…,"Oh, I'm a little ...",0.375
Gotta go?,えっ 用事？,Easy work?,0.16666666666666666
Are you going home together?,一緒に帰るんだ？,Are you going back with me?,0.4444444444444444
Akane-chan.,茜ちゃん,Octopus,0.0
Akane...,んん…,...,0.5
Let's eat.,あっ,Ah,0.0
You old fart.,フフッ オヤジか,Fufu father,0.0
"Well, it's so hot.",だって暑くて,It is hot,0.25
Is your club keeping you busy?,部活 忙しい？,Is it busy?,0.375
Very.,めっちゃテキトー,Very Tekito,0.3333333333333333
And the literature club?,文芸部は？,What is the literary department?,0.2222222222222222
"Plus, I have summer lessons \Nand festival prep.","（小太郎）
祭りの準備とか夏期講習あるし",Festival preparation or summer course,0.15384615384615385
"Oh, right. Cram school.",（茜）ああ… 塾,Oh ...,0.14285714285714285
I'll be there after practice,（茜）私は引退してからかなあ,I'm after retirement,0.25
I found the book you were looking for,ちょっとごめん,Sorry for a while,0.09090909090909091
What's up?,どうしたの？,What's wrong?,0.6
He's asking if I can come to practice today.,"（小太郎）今日
稽古 来れるかって","Today
It is not possible to come to practice",0.26666666666666666
For the hayashi?,"（茜）お囃子？
（小太郎）うん","お 子?
 Yeah",0.14285714285714285
I want to see!,えっ 見たい！,I want to see it!,0.8333333333333334
Can I come with you?,私も行っていい？,Can I go?,0.42857142857142855
"Sorry, would I be bothering you?",あっ… ごめん 迷惑？,Oh ... I'm sorry to trouble you?,0.3076923076923077
"No, not at all.",あっ… いや全然,Oh ... No and at all,0.3333333333333333
Let's take it from the top.,"（大輔）じゃあ
頭からやってみようか",Let's try it from my head,0.36363636363636365
Who might you be?,（おじさん）お？,?,0.2
Hello.,（茜）あっ こんにちは,Ahonhi,0.0
Hey!,へえー！,Hey!,1.0
Man...,"（大輔）小太郎の彼女… んっ
（小太郎）ちょっと","Otaro's girl ...
 a little",0.14285714285714285
If you want...,（小太郎）よかったら,if you like,0.4
It was so good.,（茜）あの すっごくよかった,That was good,0.3333333333333333
"Oh, yeah, Hikawa Shrine...",あっ そういや氷川(ひかわ)神社,Hikawa Shrine,0.3333333333333333
They have wind chimes right now.,（大輔）今 風鈴やってる,I'm doing the wind bell now,0.16666666666666666
I've never been there.,ああ… 行ったことない,Oh ... I have never been,0.3333333333333333
Good work today.,（大輔）すげえいいよ,I'm very good,0.14285714285714285
Hang on.,お疲れ ちょいと待て,Wait for a long time,0.0
Just take it.,えっ…,eh…,0.0
But...,"（おじさん）いいから
（小太郎）いや…",No ...,0.3333333333333333
What do you think?,ありがと,thank you,0.16666666666666666
Y-You look great.,すごい いいと思う,I think it's great,0.125
Kawagoe's known for them.,名産 川越の,Meiji Kawagoe,0.14285714285714285
"I like them now, though.",今は結構 好き,I like it now,0.375
I have one of these.,これ 同(おんな)じの持ってる,I have this,0.2857142857142857
It feels really nice. Try it.,昔 嫌いだった　古くさくて,It was old-fashioned old-fashioned,0.125
"I want one, too.",ホントだ 俺も欲しい,I want you to be really,0.2
"Aw, these are cute!",めっちゃ かわいい！,Truly cute!,0.2857142857142857
I like Japanese-style stuff.,私 和風の物とか好きで,I like the product of private Japanese style,0.18181818181818182
It suits you.,似合う,Suit,0.0
Fortunes?,"（茜）言ってよ
（小太郎）え？",?,0.5
When's your birthday?,（茜）誕生日っていつ？,When is your birthday?,0.6666666666666666
August 7th.,（小太郎）あー ８月７日,August 7,0.25
Why what?,なんで？,why?,0.6666666666666666
"Aw, man...",お祝いとか 何にも…,Celebration or anything ...,0.14285714285714285
