en_text,jp_text,google_translated,score,semantic_score
"1,200 years since Emperor Kammu .settled on a location for his palace,",桓武天皇が往生の地を定めてより 千二百年,Emperor Takeshi is more than a year to define the land,0.09090909090909093,0.4854128
the city of Kyoto is now .home to 1.5 million humans.,今日 京都の町には,Today in Kyoto town,0.06666666666666668,0.6408225
"""Humans are naught but an accompaniment to our history.""",人間などは我らの歴史に従属しているに過ぎない,Humans are only dependent on our history,0.26666666666666666,0.6074934
"""We were the ones who built this city and the history surrounding it.""",歴史も町も作ったのは我々であると,History and town also made towns,0.10526315789473684,0.5571724
"""The skies above the palace have been our territory since ancient times.""",往生の地を覆う天界は古来我らの縄張りであった,The heavens covering the land of the day were the case of our parentant,0.09090909090909093,0.39036536
"""Fear and respect us who dwell in the heavens!""",天界を住処とする我らを畏れ敬え,We fear the heavens to the heavenly world,0.1875,0.7099045
Or so they arrogantly declare.,てなことを傲然と言ってのける者がいた,There was a person who said that it was arrogant,0.0,0.5736361
"The tengu, that is.",天狗である,Be a temple,0.0,0.18973938
"Humans live in the city, tanuki crawl the earth,",人間は街に暮らし,Humans live in the city,0.5555555555555556,0.60380876
and tengu fly through the air.,狸は地を這い 天狗は天空を飛行する,The wolf flys the sky,0.1,0.34684765
"Since the city's establishment, humans, tanuki, and tengu have .maintained a delicate balance.",平安遷都この方続く 人間と狸と天狗の三つ巴,Hiraisu Muto This two of them and the Threesomes of Tengu and Tengu,0.13043478260869565,0.46765727
That's what keeps the great wheel .of this city turning round and round.,それがこの街の大きな車輪をぐるぐる回している,That is turning around the big wheels of this city,0.2631578947368421,0.7911955
And watching that wheel spin .is more fun than anything else.,回る車輪を眺めているのが,I'm looking at the wheels,0.0,0.3660914
"I admire tengu from afar, and I love imitating humans.",天狗に遠く憧れて,Longing far by Tengu,0.07142857142857142,0.53182566
That's why my daily life is busy enough .to make your head spin.,従って我が日常は目まぐるしく,So my everyday life,0.1176470588235294,0.42963448
"In fact, there's no time .to be bored at all.",退屈している暇が無い,I have no free time,0.125,0.5557246
You just have to make,面白くない世の中,Uninterested world,0.0,0.1644744
m 0 0 l 100 0 100 100 0 100,面白くすればいいさ,It should be interesting,0.0,0.02607606
"""Uchouten Kazoku""",面白くすればいいさ,It should be interesting,0.0,0.07457566
Gentousha Publishing,面白くすればいいさ,It should be interesting,0.0,0.17706577
this dull world more interesting,面白くすればいいさ,It should be interesting,0.125,0.41905415
tsumaranee no ga kuchiguse nano wa some people love to claim that something is boring,“つまらねえ”のが口癖なのは,"What is a whistle of ""Tsumaray""",0.045454545454545456,0.22831614
sore koso honto ni tsumaranai that habit is the most boring thing of all,それこそホントにつまらない,It is really boring,0.125,0.458753
It's easy to complain about stuff,文句を言うのは簡単だけど,It is easy to complain,0.5,0.89917994
but it doesn't do any good at all,誰かは何もくれない,Someone does not give anything,0.07692307692307693,0.25244352
dareka wa nannmo kurenai that sort of useless waste of time,走らないけど止まりはしない,I do not run but I do not stop,0.0,0.11872166
runs in our idiot blood,誰にも流れる阿呆の血,Blood of Amida flowing for anyone,0.1,0.31884617
"Just party on and on, and the more you do",騒げば騒ぐ程かき立てる,I'll make a noise,0.0,0.2724738
the more awesome will be your days nanto subarashiki hibi,なんと素晴らしき日々,What a wonderful day,0.0,0.30984
The things you find for yourself in this world,自分で見つけりゃ,Find yourself,0.2222222222222222,0.5503824
quickly turn it into a little paradise,ほどほどにパラダイスだ,It is a paradise,0.375,0.64011604
"Before you know it,",気がつけば何時だって,"If you notice it, what time",0.3333333333333333,0.32641587
Fair,兄ちゃん,Older brother,0.0,0.19606093
August  11th   - 16,兄ちゃん,Older brother,0.0,0.17743964
Used Book,兄ちゃん,Older brother,0.0,0.25419652
Shimogamo Summer,兄ちゃん,Older brother,0.0,0.13603258
25th,兄ちゃん,Older brother,0.0,0.122269794
You're using that form again?,まーたそんな格好をして,"Well, I made such a look",0.0,0.19043224
"If you keep changing your .appearance all the time,",あんまりころころ姿変えたら,If you change it so much,0.14285714285714285,0.52522993
you'll get another earful from Yaichirou.,また矢一郎お兄さんに怒られるよ,You will also be angry at Yorichiro Yoro,0.06666666666666668,0.43464464
Tanuki societal norms .can eat dirt for all I care.,狸界の風潮なんぞくそくらえだ,The tide of the border is,0.0,-0.0059729237
Mom said to use this.,母上がこれ使いなさいって,Mother's mother is using this,0.1,0.7422724
Demachi shopping arcade,母上がこれ使いなさいって,Mother's mother is using this,0.0,0.093167834
Masugata,母上がこれ使いなさいって,Mother's mother is using this,0.0,0.25287813
She said she found it on the ground .near the ticket counters at the station.,駅の切符売り場に落ちてたんだって,I fell to the ticket shop of the station,0.16666666666666666,0.5032238
Don't tell me this is actually a leaf...,実は葉っぱでしたなんて 勘弁してくれよ？,"Actually, I wonder if it was a leaf.",0.17647058823529413,0.8315038
See you later.,行ってくる,I'll be back,0.0,0.38484198
What are you even supposed to be?,何だその格好は,What is that appearance,0.09090909090909093,0.28900307
as the pitiful children who failed to inherit .the blood of Shimogamo Souichirou.,あの下鴨総一郎の血を引きそこねた,I pulled the blood of that Shigeichiro,0.16666666666666666,0.48468342
Just behave yourself until .the Nise-emon election.,偽右衛門選挙まではおとなしくしていろ,You can get married to the fake ligue election,0.0625,0.3199424
I'm trying to breathe some fresh air into your stale lif—,灰色の日常に一服の清涼剤として,As a refreshing agent for one life in gray,0.0,0.28107974
I have no interest in seeing your alluring figure!,お前の艶姿など見たくもないわ,I do not want to see you,0.0625,0.36871433
Can't you comprehend the degree of artistry achieved in this transformation?,この芸術的なまでに完成された,Completed by this artistic artistic,0.0625,0.5995728
Sounds like you're just mad at .yourself for getting turned on.,ぐっときた自分が許せないだけではないですか,Isn't it just not only forgiven?,0.05,0.029776735
"There's no point taking it out on me, then.",ならば私に怒るのは筋違いだ,"If it is anger, it is a variation that gets angry",0.1,0.15204442
I won't be bewitched by the likes of you.,お前ごときの技量で,With your workaround,0.0,0.05764802
Of all the impuden—,つけあがああ い い うう,I'm sorry,0.0,0.1810759
I bought you some food.,ふう　お弁当を買ってきました,I bought a lunch box,0.2222222222222222,0.5553136
Please eat up.,食べてください,Please eat,0.5,0.67262
She hasn't come by in a long time.,もう長く顔を見せない,I can not show my face for a long time,0.17647058823529413,0.2049286
"I wonder how she's doing, wherever she is.",どこでどうしているのやら,Where do you do,0.0,0.27785394
There's no way she'd want to .come back to a place like this.,彼女がこんな所に帰りたがるわけがありませんよ,She doesn't mean that she returned to such a place,0.19047619047619047,0.62385786
Is that so?,そうかしら,Is that so,0.75,0.8219439
"What's all this, then?",それは何だ？,What is it?,0.2222222222222222,0.17356697
"I am Yasaburou, third son .of Shimogawa Souichirou.",罷り越しましたるは 下鴨総一郎の三男,It is a third man of Shimogami Seichiro,0.05882352941176471,0.4829496
You needn't have gone to such trouble.,ご苦労様でございます,It is a hard work,0.0,0.21246976
I guess that remains to be seen.,さて どうでしょうね,"Well, how",0.0,0.14285508
Don't tease. Just leave him be.,よせよせからかうな,Good luck,0.0,0.011972362
"He's capable, but he knows .nothing of self-improvement.",己を正すということを知らん奴でな,It is a guy who knows that he is correct,0.1176470588235294,0.23768112
