en_text,jp_text,google_translated,score
"Until recently, I had been held  captive by the Friday Fellows.",私は先ほどまで 金曜倶楽部に捕まっておりました,I was caught in Friday Club until above,0.16666666666666666
"It was due to the scheming of none other than  Ebisugawa Soun, sitting right over there.",一切はそこにいる夷川早雲の企みによるものです,Anything is due to the plan of the Maei Shanagawa,0.17391304347826086
How could a tanuki plot to make  one of its own kind into stew?,狸が狸を鍋にするなんぞ 天狗や人間ではあるまいし,I will make the wolf in a pot with a wolf and a human being,0.08
He's a fellow member of  the Shimogamo family!,そいつも下鴨の一族ではないか！,Isn't it a family of Shimogawa!,0.2857142857142857
"It's been 1,200 years since Emperor Kammu  settled on a location for his palace.",桓武天皇が往生の地を定めてより千二百年,Emperor Takeshi is more than a year to define the land,0.08
"Humans live in the city,  tanuki crawl the earth,",人間は街に暮らし 狸は地を這い,Human beings live in the city and crawl,0.4166666666666667
and tengu fly the skies.,天狗は天空を飛行する,Tengu fly in the sky,0.375
"Since Kyoto's establishment, humans, tanuki, and tengu have  maintained a delicate balance.",平安遷都この方続く 人間と狸と天狗の三つ巴,Hiraisu Muto This two of them and the Threesomes of Tengu and Tengu,0.08695652173913043
That's what keeps the great wheel  of this city turning round and round.,それがこの街の大きな車輪をぐるぐる回している,That is turning around the big wheels of this city,0.3333333333333333
And watching that wheel spin  is more fun than anything else.,回る車輪を眺めているのが どんなことより面白い,What is more interesting than what you are looking at the wheels,0.15
I'm what you'd call a tanuki,私はいわゆる狸であるが,I am a so-called wolf,0.18181818181818182
"I admire tengu from afar,  and I love imitating humans.",-天狗に遠く憧れて 人間を真似るのも大好きだ -はあんく はあ,-I love to look at people far from Tengu-I love to imitate humans-,0.1
That's why my daily life is busy enough to make your head spin. sensuiro,-従って 我が日常は目まぐるしく -ん ん ん,-Simal everyday life is easy,0.10526315789473684
"In fact, there's no time to be bored at all.",退屈している暇が無い,I have no free time,0.125
There are a great number  of guests over there.,お隣は大勢いらしてますから,There are many ways next to it,0.14285714285714285
Really? I don't hear a sound.,いや それにしちゃしんとしてるね 誰もいないみたいだ,"No, I'm doing it",0.07142857142857142
"Indeed, they are quite quiet.",ええ お静かですねえ,Yeah it is quiet,0.1
"So, why don't you let me  know what you're plotting?",ねえ？　あなたは何を企んでいるの？,Hey you?What are you planning?,0.1875
Just don't get too rough.,あんまり乱暴にしないでね,Don't be so violent,0.2
Your delivery has arrived.,お届け物が到着しました,Delivery has arrived,0.6
"Unusually so. What do you think, Daikoku?",いやあ いつになく,No time,0.0
"This is a fine tanuki,  wouldn't you say, Hotei?",これは立派な狸だ,This is a good-looking guy,0.21428571428571427
"What's wrong, Hotei?",どうしたんだい？ 布袋さん,what's up?Fabric,0.375
"We've had enough of your  absurd fabrications, Yaichirou!",くだらぬ嘘をつくのは止めろ 矢一郎,It is stopping to get a crazy lie,0.0
"I'm amazed you have the guts  to lie like that, you slimeball!",よくもまあそんな嘘がつけるな貴様,Well well Well I don't like such a lie,0.15789473684210525
Is that any way to talk to your uncle?,叔父に向かって何という口の利き方をする,How to take a way to the uncle,0.23076923076923078
He cooked Souichirou?,-総一郎さんを鍋にしたって？ -ええ,-Do Toto-san in a pot?-Yes,0.1
That is just another one of  his baseless accusations.,これもまた根も葉もない話だ,This is also a story that has no roots and leaves,0.10526315789473684
so he appears to have dragged in this  sad story about his father out of desperation.,苦し紛れに父親の話を出してきたと見える,It looks like I've been talking about my father to suffering,0.11538461538461539
"But of course, he has no proof  of that story either.",-ぐ うう -だが それとて何の証拠も無い,-Au-no-but there is no evidence,0.0625
Who can corroborate this wild tale?,誰に証明できるというのだ？,Who can prove to?,0.3333333333333333
where young girls often  dream up such tragedies.,あの年頃の娘には よくあることだ,It is a common thing to that year's daughter,0.0
Aren't you embarrassed to have taken  my daughter's fantasies seriously?,夢見がちな娘の言うことを真に受けて 恥ずかしいとは思わんか,I'm embarrassed to be embarrassed to say what a dreaming daughter says,0.14285714285714285
Do you really believe I sent  Souichirou to the stew pot?,わしが総一郎を鍋にしたと本気で信じているのか,Does I really believe that I have a hot pot,0.23529411764705882
How long are you gonna  keep playing dumb?,どこまでもしらを切り通すつもりだな,I'm going to cut up anywhere,0.0
"Well, you guys keep spouting  the most outrageous nonsense.",お前たちが無茶なことばかり言うからだ,It's because you say something stupid,0.058823529411764705
What tanuki would believe  such a horrible story?,そんな恐ろしい話を信じる狸はおるまい,The wolf believe that kind of horrible story,0.21428571428571427
"there was another tanuki drinking  with him until the end, was there not?",最後まで一緒に酒を飲んでいた狸が いるというではないか,It is said that there is a wine that was drinking alcohol together,0.14285714285714285
I daresay that's the reason Souichirou  was captured by those hateful humans.,総一郎が憎むべき人間の手に捕まったのは 恐らくそれが理由である,It is probably why it was caught in the human hand who should be hate,0.07692307692307693
"But even now,",ところが 今に至るも,"However, even now",0.6
the concerned party  has not stepped forward.,その当事者は自分からは名乗りを上げておらぬ,The parties do not raise a name from yourself,0.13333333333333333
"Though he was responsible for the leader  of tanuki society ending up in a stew,",狸界の長がむざむざ鉄鍋に落ちる 原因を作っておきながら,While making a cause of falling into a rail pot with the head of the Word of the Border,0.1111111111111111
he remains tight-lipped  about his own involvement.,だんまりを決め込んどる,Determine a lot,0.0
"I heard a rumor that,  ashamed of his base actions,",わしはそいつが自分の卑劣な行いを恥じて,I'm ashamed of my sneaky way,0.2
he now spends his days  hiding in the well of some temple.,どこやらの寺の井戸に隠れているという 噂を聞いたがな,I heard the rumor that I was hiding in the well of the temple,0.3333333333333333
You'll just be chewing up your own chances  of ever becoming Nise-emon!,その時点でお前の偽右衛門は無い！,At that point there is no pseudonym!,0.047619047619047616
"Calm down, Yaichirou! Order! Order! are they holding some  sporting event in there?",運動会でもやっておるのかね,Do you have any athletic meet?,0.047619047619047616
"Good heavens, it's a tiger!",あらまあ 虎だわ,I'm a tiger,0.2
I thought I'd left her in the storeroom.,倉庫に置いておいたはずだ,I should have put it in a warehouse,0.13333333333333333
"It's a long story, but in short,  we'll be borrowing her.",こちらにもいろいろと事情があるのでな,There are various circumstances here,0.0
I clearly stated that this  one was not to be cooked!,鍋にしちゃダメだとあれほど申し上げたのに,I would like to say that it was no good in a pot,0.19047619047619047
You can cook anyone else but her!,彼女だけは鍋にしちゃダメだ,She is not good at a pot,0.0
I won't allow this!,そんなことはわしが許さん,Such a thing is forgive,0.0
I won't provide you with  any more fake Denki Bran!,もう偽電気ブランは流しませんぞ,There is no longer a false electric blanc,0.0
