en_text,jp_text,google_translated,score,semantic_score
Thorkell's using it as an excuse.,トルケルの方便だ！,Torukel's one!,0.09090909090909093,0.1737571
That's the only reason I can think of.,他には考えられん！,Other things are considered!,0.0,0.12656567
It's impossible!,決してあり得ぬ！,I can never get!,0.125,0.4016599
"Hey, Floki! Want to fight? I'll fight you.",ようフローキ。戦る気か？相手になるぜ,It looks like it.Do you feel like fighting?It will be the other party,0.08695652173913042,0.31425488
"Restrain yourself, Thorkell.",控えよトルケル,Let's refrain from Torukel,0.0,0.3083488
I thought I sent a messenger several days ago,私が帰還する旨、,"That I will return,",0.08333333333333333,0.16289131
"to notify you of my return, Floki.",数日前に使者を送ったはずだぞ。フローキ,You should have sent a messenger several days ago.Flexible,0.05882352941176471,0.23646025
Do you always greet your guests  with spears in hand?,槍をもって出迎えるのが貴様の礼か？,Are you a good deal to meet with a wolf?,0.16666666666666666,0.35125285
"No, of course not...",い…いえ。そのようなことは決して…,no.Such things are never ...,0.1,0.37884185
Askeladd! Why are you here?,アシェラッド！？なぜ貴様が…！,Asherad!?Why are you ...!,0.5555555555555556,0.4661362
I'm asking you whether you're going,貴様はデンマーク王家に対し…,You are against Denmark royal family ...,0.07692307692307693,0.12881662
to draw your bows against a member  of the royal family of Denmark.,弓を引く気かと訊いているのだ,I'm asking you to draw a bow,0.16666666666666666,0.5523147
We Jomsvikings received an inaccurate report,わがヨーム戦士団は…,My Yawame Warrior Group ...,0.0,0.1117531
that an enemy army was going to attack...,敵軍襲来との誤報を受けまして…,Have a false alarm with enemy army attack ...,0.2857142857142857,0.5725646
Notify the king,王陛下の館へ夕刻までに参じると報告しておけ。,Report that the Masarin's Hall will go to the evening.,0.07692307692307693,0.29460353
Make sure you report accurately.,正確にな,Accurate,0.0,0.2847109
What in the world happened?,一体何が…,What on earth…,0.125,0.41750848
He's a completely different person.,まるで別人ではないか…！,Isn't it another person ...!,0.07692307692307693,0.37732807
"Everyone, listen to me while we walk.",全員歩きながら聞け,Listen while walking,0.2,0.6903488
I don't have many allies within this army.,私の味方はこの軍中に少ない,My friend is small in this army,0.13333333333333333,0.490778
"If we strike now, they'll label us as traitors.",ただ手向かえば反逆者となろう。,"If you look at it, it will be a rebel.",0.15,0.2768601
We need time to prepare.,手回しの時間が要る。,It takes time to handle.,0.3333333333333333,0.41437665
"Thorkell. You betrayed them once,",トルケル。そなたは一度裏切ったが、,"Trekel.You back once, but",0.2,0.29670414
but you're still popular among the warriors.,今も戦士たちに人気がある。,Now it is popular with warriors.,0.2307692307692308,0.6908938
Spend time with the leaders  of all the clans,各部族の首領たちと交わり、,"Subscribe with the necks of each tribe,",0.2307692307692308,0.39807007
and mend ties with them.,関係を修復しておけ,Repair relationships,0.0,0.17216086
"As long as you invite the other leaders.  Now, go.",他の首領を誘ってだぞ。行け,I'm inviting other leaders.go,0.06666666666666668,0.74558645
What a wonderful order!,すっっばらしい命令だ！,It is a wonderful instruction!,0.375,0.4372311
I'm so glad I decided to follow you.,アンタについてきて正解だったぜ,It was the correct answer about the ant,0.0,0.2290387
-Let's go!  -Hey!,行くぞぉ！あっ！おい！,I'm going!Ah!Oi!,0.1,0.42952386
Askeladd. Come with me to see the king.,アシェラッドは私と共に王のところだ。,Ashelad is the king with me.,0.4545454545454545,0.55892354
I want to hear what you think of him.,そなたの人物評を聞きたい,I want to hear your person's character,0.2857142857142857,0.5276744
