en_text,jp_text,google_translated,score
"at first we, Border, and Neighbors,","当初は 僕たちボーダーと近界民(ネイバー)
双方の力は拮抗(きっこう)すると思われた","Initially we border and close people 
Both sides were thought to antagonize",0.1875
both our strengths were thought\Nto be evenly matched. But...,けれど…,But ...,0.18181818181818182
Rabits that suddenly appeared...,突如 出現した“ラービット”,"Suddenly appeared ""rabbit""",0.25
"The emergence of the new, strong enemy\Nand their inexplicable move...","新たなる強敵の出現に
不可解な相手の動き","In the emergence of new strong enemies
Unusable partner's movement",0.29411764705882354
"A Gate to another world was opened\Nby those who sought Trion,","異世界の門
〝ゲート 〞が開かれ—","Gate of different world
""Gate"" is held-",0.11764705882352941
"The battle known as\NThe First Large-Scale Invasion,","第一次大規模侵攻として
知られる その戦いは","As a primary large-scale invasion
The fight to be known is",0.26666666666666666
"was brought to an end by the action of\NBorder Defense Agency, namely Border.","ボーダーの活躍によって
収束した","By the activity of the border
Converging",0.16666666666666666
Border\NBorder Defense Agency,界境防衛機関—,Border Defense Organization-,0.2
"Since then Border has pressed forward with\Nstudying ""Trigger,"" a Neighbor technology,","以来 ボーダーは
近界民(ネイバー)の技術である—","Since then, the border
Neighbor  technology-",0.3125
"And so, four and a half years later",そして ４年半の時を経て—,And after 4 and a half years-,0.2727272727272727
the entire area of Mikado City is about\Nto be exposed to their attacks.,"三門(みかど)市の全域が
攻撃にさらされようとしている","The whole area of Mikate City
I'm trying to expose it to an attack",0.21739130434782608
Can they stand up to the threat of\Nanother large-scale invasion?,"この再度の大規模侵攻の危機に
立ち向かうことができるのか","To the crisis of this extra large-scale invasion
Can you stand up",0.4375
"Now, the fateful battle begins.",今 運命の戦いが始まる！,Now the battle of fate starts!,0.2727272727272727
"And, if we try to\Nprotect the urban area,","（城戸(きど)）戦力をここで失えば
この先が苦しくなる","If you lose the strength here
The future is painful",0.125
B... but then...,（根付(ねつき)）し… しかし それでは…,) ... But that is ...,0.2857142857142857
I know.,何者かは知らんが…,I do not know if someone ...,0.25
