en_text,jp_text,google_translated,score,semantic_score
came to attack out of the blue.,前触れもなく やって来た,I came without the fore,0.18181818181818185,0.33339867
That's when a mysterious group showed up\Nand got rid of the Neighbors.,"そのとき 突如 謎の一団が現れ
近界民(ネイバー)を撃退した","At that time, a pair of mystery appears
I repeled the neighborhood",0.17391304347826084,0.5554452
It was a group called Border.,"ひるむことなく勇敢に
立ち向かった—","Bravely without rubbing
It was confusing-",0.18181818181818185,0.2038068
"Since then, Mikado City has been\Nkept in peace through their action.","以来 その活躍により
三門(みかど)市の平和は保たれる","Since then
The peace of Mikate City is kept",0.2222222222222222,0.8450357
"Now, again, four and a half years later,",あれから４年半を経た今—,Now after four years after that,0.2727272727272727,0.65351427
Mikado City was exposed to\Nthe Neighbors' large-scale attack.,"三門市は 再び 近界民(ネイバー)からの
大規模攻撃にさらされた","Mitachin City again from the neighborhood 
Exposed to large-scale attacks",0.17647058823529413,0.6390196
The enemy was the largest military nation\Nin the Neighborhood; Aftokrator.,"敵は 近界(ネイバーフッド)最大の軍事国家
“アフトクラトル”","Enemy is near Neighbor Hood  Maximum Military National
""Afcrat""",0.1111111111111111,0.5078449
The Trion soldiers - Rabits and\Nthe Humanoid Neighbors who manipulate...,トリオン兵“ラービット”と—,"Trion soldier ""rabbit ""-",0.14285714285714285,0.55338
"Finally, the helm was steered towards\Ntheir victory at the crossroads of fate.","そして ついに 運命の分岐点は
勝利に向けて舵(かじ)を切った","And finally the branch point of fate is
I cut the rudder  toward victory",0.2380952380952381,0.63971716
In exchange for\Na great sacrifice...,多大なる犠牲と引き換えに…,In exchange for many sacrifice ...,0.5,0.9024494
He's an official agent now.,（記者）ひょっとして 今の話の…,Hiyogo's story now ...,0.2,0.12178056
"Um, it's not nice to gang up\Non a boy...","（修）大丈夫です
（林藤）…んなわけないだろう","It is all right
 ... I will not",0.17647058823529413,0.1997402
- He wants to talk!\N- Let him speak!,"（忍田(しのだ)）三雲(みくも)君！
（林藤(りんどう)）おいおい…","Sanko !
) Hey ...",0.07142857142857142,0.22604106
"Osamu,\Nare you really gonna be okay?","（忍田）
どうして ここに？
ケガは大丈夫なのか？","Why are you here?
Is it okay?",0.2,0.31813893
