en_text,jp_text,google_translated,score
Medic! Someone get me a medic!,衛生兵！ 衛生兵はいないか！,combat medic!Is there no sanitary soldier!,0.16666666666666666
"What are you doing, Visha?",何やってんだ ヴィーシャ！,What is the Visha!,0.2
We can't provide air support anymore!,上空援護は もう無理だ！,Slow support is impossible!,0.18181818181818182
Sh-She cannot allow us to retreat.,せ… 戦線後退は許容できない,Meta ... Retirement of the front is not acceptable,0.0625
We are to continue delaying  the enemy till the end.,徹底して遅滞戦闘に努めよと… あっ！,Thoroughly strive for a delay combat ... there!,0.0
For the Lord will not abandon us.,主は 我々をお見捨てにならず…,The Lord does not leave us ...,0.36363636363636365
Give me the power to destroy the enemies of the Fatherland.,我が祖国の敵を 討ち滅ぼす力を―,Power to destroy the enemy of my homeland-,0.38461538461538464
"If you have time for idle chatter,",無駄口をたたく暇があったら―,If you have time to hit the wasteful port-,0.3076923076923077
spend it doing all you can to survive.,生き残るために最善を尽くせ,Do your best to survive,0.16666666666666666
Platoon Commander?,我々は軍人だ,We are military people,0.0
"Amidst the downpour of shells and bullets,",砲弾と銃弾の豪雨の中 気高く駆けるその姿は―,The figure of the shell and bullet's heavy rainfall.,0.2
Like a fairy of the battlefield.,まるで戦場の妖精,Fairy of the battlefield,0.5714285714285714
"In a cursed world, always engulfed in the flames of war,",戦火の絶えない呪われた世界で―,In the uncursed world of the war,0.4166666666666667
there was a nation known as the Empire.,その国は“帝国”と呼ばれていた,"The country was called the ""empire""",0.23076923076923078
Its vast military and industrial power made it virtually synonymous with victory.,“帝国 それは勝利である”,"""Empire it is a victory""",0.1111111111111111
"It possessed a large number of brilliant military minds and mages,",多数の魔導師と 俊英の参謀将校を擁する彼らは―,They with many magician and Shungui's officers are-,0.05
but it was surrounded on all sides  by strong potential enemies.,しかして 四方の列強全てが 仮想敵国であった,"However, all four columns are virtual enemies",0.1111111111111111
"For this reason, its military formulated Plan 315,",そのため 帝国軍は 内線戦略“プラン315”を策定,"Therefore, the Imperial Army formulates an extension strategy ""plan 315""",0.15789473684210525
"wherein border forces carried out  delaying actions in all theaters,",各方面軍をもって 遅滞戦闘に努めつつ―,While working to a retardation battle with each field for each,0.0
"buying time for a highly mobile,  concentrated main force to travel",中央本隊の集中的な機動運用により 敵を各個撃破せん―,Each enemy is broken by intensive motion operation of the central headquarters-,0.0
"At least, that was the plan.",…と するはずだった,It was supposed to be ...,0.07692307692307693
What is the situation in the Rhine theater?,ライン戦線の状況は？,What is the status of the line front?,0.3333333333333333
When will the main force be deployed there?,中央本隊の再配置は どうなってる！,What is the relocation of the central headquarters!,0.0625
m 0 0 l 100 0 100 100 0 100,中央本隊の再配置は どうなってる！,What is the relocation of the central headquarters!,0.0
Vice Director of Strategy and Operations,中央本隊の再配置は どうなってる！,What is the relocation of the central headquarters!,0.07692307692307693
"Deputy of Strategy and Operations we must adjust the rail and ship schedules,",船腹と鉄道ダイヤの 調整もあり―,There is also a coordination of the boat and railway diamond-,0.14285714285714285
so the deployment will take another two weeks.,再配置には ２週間ほど必要かと,It is necessary for the relocation for about 2 weeks,0.125
We must pull back the lines even more?,ふむ… 更なる戦線後退か,Hum ... Do you have a further war line?,0.05555555555555555
The western industrial areas will be endangered.,西方工業地帯も 危うくなるな,West industrial areas are also dangerous,0.16666666666666666
We don't even have enough reserves to send reinforcements.,増援を送ろうにも,Even to send a reinforcement,0.23076923076923078
We've been caught totally off-guard.,完全に隙を突かれたとしか…,It is completely pierced with a gap ...,0.0
"From the start, a major offensive against  the Entente Alliance was a mistake!",そもそも 協商連合への 大規模攻勢が間違いだったのだ！,"In the first place, a large-scale offensive to the Collaboration Association was a mistake!",0.35
If we'd kept ourselves to  a limited mobilization...,せめて 限定動員にとどめておけば…,If you keep a limited mobilization at least ...,0.35714285714285715
We were the ones who failed to convince,共和国に動員の兆しなし…,No mobilization signs in the republic ...,0.07142857142857142
the higher-ups that they were wrong  about the Republic's not mobilizing.,そう 判断した上官らを 翻意させられなかった我々のミスだ,It is our mistake that could not be remedy to be surprised,0.09523809523809523
Plan 315 is no longer viable.,もはや プラン３１５は,No longer plan 315,0.5714285714285714
"Since our attempts to delay  the enemy aren't working,",遅滞防御では 間に合わない以上,More than the delay defense,0.14285714285714285
"we'll have to move to a mobile defense, right?",機動防御戦へ 移行させるしかなかろう,Migrating to a Mobile Defense Battle,0.3076923076923077
"But that will be difficult, given the state of the Rhine theater.",ですが ライン戦線の現状では 困難です,But it is difficult at the current state of the line front,0.2631578947368421
"Our forces are depleted and exhausted,  so it's beyond their capacity.",消耗した現地部隊の限界を 超えているかと…,Is it beyond the limit of the consumed local unit ...,0.09090909090909091
We've already grabbed every spare soldier we could send there.,既に 根こそぎ かき集めて―,Already collecting roots,0.07692307692307693
That will buy some time.,時間稼ぎ程度には なるだろう,It will be about time earning,0.2
"I suppose it helps to have a talented contemporary, huh?",フン 持つべき者は優秀な同期 というわけか…,Those who should have a hun are excellent synchronization ...,0.1
Isn't that statement premature?,その発言は時期尚早だな,That remark is premature,0.42857142857142855
What?,報告によれば―,According to the report-,0.0
They say the Rhine theater is now a living hell.,ライン戦線は さながら地獄らしい,The line front is like hell,0.21428571428571427
Fire!,は… はい！,... Yes!,0.25
Platoon 3 Member,は… はい！,... Yes!,0.0
Corporal Viktoriya Serebryakov,は… はい！,... Yes!,0.0
R-Right!,は… はい！,... Yes!,0.25
It's coming from above! damn the bastards!,上空からだぞ！ 魔導師のクソ野郎！,From the sky!Magician fucking bastard!,0.23076923076923078
Corporal Kurst von Walhorf,共和国のクソどもが！,Republic's fucking!,0.0
Artillery...,砲兵隊をたたく！,Take a cannier!,0.0
"Both of you corporals, get back here.",両伍長 直ちに戻れ！,Back to the leader immediately!,0.07142857142857142
Our mission is to delay the enemy via flanking attacks.,我々の任務は 側面攻撃による遅滞戦闘だ！,Our mission is a delay combat by side attack!,0.23529411764705882
"Too tired to eat, huh?",疲れて のども通らないな,I do not go tired,0.09090909090909091
Force it down if you have to. you won't last otherwise.,無理にでも食え もたないぞ,I can not eat even forced,0.0
They say the 202nd and 203rd Companies were wiped out.,二〇二中隊も 二〇三中隊も全滅したって…,Twenty-two two teams are also annihilated by the two thousands ...,0.05
I volunteered to come to the front lines.,志願して前線に来たのに,I wanted to come to the front,0.5555555555555556
And now I've gotta work for that lieutenant?,あんな少尉の下に 就かされるとはな！,It's going to be taken under such a lieutenant!,0.047619047619047616
"Platoon 3, of the 205th.",二〇五第三小隊 小隊長殿がお呼びだ,The largest major squadcoal squadnet is called,0.07692307692307693
We're being sent back home?,我々が 本国へ!?,To our head!?,0.09090909090909091
I would say you're getting off lightly.,強制送還だけで済むのだ,It is only necessary to repatriate,0.0
The army has no need for officer candidates who disobey orders.,我が軍に命令違反をする 士官候補生は必要ない,A candidate candidate who violates an order to my army is not necessary,0.09090909090909091
But we were trying to take out the artillery!,あ… あれは 砲兵隊をたたこうと！,Oh ... That's if I hit the artillery!,0.17647058823529413
"You know how many of our infantry they took out, don't you?",どれだけの歩兵がやられたか ご存じでしょう！,How much infantry will give you?,0.23529411764705882
Is that all you have to say?,言いたいことは それだけか？,Is that one that you want to say?,0.6
An army is an organization. and organizations are nothing without rules!,軍隊とは組織 組織に必要なのは規則,The army is the rule that you need for organization organizations,0.2222222222222222
I... I refuse to accept this!,な… 納得できません！,... I can not convince!,0.3
I volunteered to come to the front lines!,小官は志願して 前線へ赴いたのです！,The officials were volunteered and went to the front line!,0.38461538461538464
My only choices are victory or death!,もとより 勝つか死ぬかの 選択肢しかありません！,There is only an option to win or die from time to time!,0.17647058823529413
"Me, too. i agree with corporal kurst.",あ… 私も クルスト伍長の意見に同意します,Oh ... I also agree to the opinion of Kurst Chief,0.17647058823529413
