en_text,jp_text,google_translated,score
"During free time at swim class,","（綾小路(あやのこうじ)）
水泳授業の自由時間ともなれば―",")
If it is the free time of swimming classes-",0.13333333333333333
It seems I've thoroughly \Nfailed at making friends.,"なるほど 俺は見事に
友達作りに失敗したらしい","I see, I'm wonderfully
It seems that I failed to make friends",0.2222222222222222
What are you brooding about?,"（堀北(ほりきた)）何をたそがれているの？
（綾小路）ん？",") What are you doing?
?",0.5
I was immersed in a struggle with myself.,己との戦いに没頭していたんだ,I was immersed in the battle with myself,0.5454545454545454
don't most high school \Nfirst-years go a little nuts?,"多くの高校１年生は
はしゃぐんじゃないか？","Many high school first graders
Isn't it a sham?",0.29411764705882354
"But I can't spite them for it, either.","まるで小学生だわ
けれど最悪とも思えない","It is an elementary school student
But I do not think of the worst",0.13636363636363635
The S-system...,（綾小路）Ｓシステム…,S system ...,0.2
"Yes, this is the S-system.","（たたく音）
（茶柱(ちゃばしら)）そうこれがＳシステムだ",This is the S system,0.3333333333333333
Class A          940cp\NClass B          650cp\NClass C          490cp\NClass D             0cp,見ろ　お前たちＤクラスは―,Looking for the D class D Class-,0.15384615384615385
It assesses the students in real time \Nand assigns them numerical values.,"リアルタイムで生徒を査定し
数値として算出する","Assess students in real time
Calculate as a figures",0.2222222222222222
That you're the worst kind of defectives.,最悪の不良品であることを証明した,Prove that it is the worst defective product,0.21428571428571427
Zero?,"（拍手）
（綾小路）ん？",?,0.5
"But I'm actually impressed, in a way.",しかし逆に感心もした,But I was also impressed,0.25
No class has ever before blown \Nthrough all their points,"１か月ですべてのポイントを
吐き出したのは―","All points in one month
What I spent-",0.125
"in a single month, not even Class D.",歴代のＤクラスでも始めてだ,It is started with successive d class,0.13333333333333333
"Teacher, at least tell us the criteria \Nfor how points are gained and lost.","せめてポイント増減の
詳細な理由を聞かせてください","At least point increase or decrease
Please tell me the detailed reason",0.16666666666666666
"Just as in the real world,",実社会と同じだ,It is the same as a real society,0.25
I cannot reveal the details of \Nyour performance evaluations.,"人事考課
詳細な査定の内容は教えられない","Personnel affairs section
Detailed assessment content can not be taught",0.10526315789473684
"These are the ""class points"" \Ncurrently held by each class.","これは各クラスが
現在 保有するクラスポイントだ","This is each class
It is a class point currently held",0.16666666666666666
"For each class point, 100 private points \Nare assigned to each student in the class.","100プライベートポイントが
支給される","100 private points
Be paid",0.17647058823529413
"When you first arrived here, \Neach class had 1,000 class points.","1000クラスポイントが
与えられていた","1000 class points
It was given",0.125
