en_text,jp_text,google_translated,score
"""Yu Yu Hakusho""",♪〜,♪ ~,0.0
"Having easily overcome the preliminary
tournament aboard the boat,","（ナレーション）
船上での予選会を
難なく突破した幽助たち５人は","A preliminary party on the ship
5 people who broke up without difficulty",0.1
"Yusuke and his 5 member team
arrived at Kubikukuri Island as guests.","ゲストとして
首くくり島に到着した","As a guest
I arrived at my necked",0.16666666666666666
"members of the Tokuyukai,
whom they would fight in the first round,","１回戦で戦う六遊怪のメンバーが
こつ然と姿を現した","A member of the six-patch fighting in the first round
I suddenly appeared",0.2631578947368421
"However, exhausted
from his training with Genkai,","しかし 幽助は
幻海との修行の疲れから","But yuke
From the fatigue of training with the ichiami",0.21428571428571427
"Ladies and gentlemen,
we apologize for the long delay.","（小兎）
皆様
大変長らくお待たせいたしました","ladies and gentlemen
Thank you for waiting very long",0.3333333333333333
We now commence the Dark Tournament!,"ただいまより暗黒武術会を
開会いたします","More Dark Martial Arts
We will open up",0.15384615384615385
"and kept ourselves from stealing
while we waited for this day!","この日のために人も食わず
盗みも我慢して待ってたんだ","No people for this day
I was waiting for you to patience",0.15
Stop dawdling around!,"（鈴駒）
どっひゃー
すげえ観客だ　燃えるぜ！","B
A great audience burning!",0.1111111111111111
and sold our souls over to the devil...,"悪魔に魂を売った人間の
特権とでもいいますか ハハハ","Human who sold the soul to the devil
Is it the privilege or Hahaha",0.23529411764705882
"...but to be able to see hell on earth
is a feeling that the decent,","（ＶＩＰ客）
この世で地獄を見られる気分は",Mood that you can see hell in this world,0.13636363636363635
poor populace cannot understand.,"善良な貧乏庶民には
わかりますまい","For good poor people
I understand",0.2
"The contestants for the first match of the
first round are now making their entrance.",１回戦第１試合の選手入場です,A player admission of the first match 1st game,0.2222222222222222
The Rokuyukai Team!,六遊怪チーム！,Rokkaya team!,0.4
"We've been waiting for this, Rokuyukai!","（歓声）
（妖怪Ａ）待ってたぜ 六遊怪",Waiting for six spots,0.18181818181818182
Our stars of hope for a slam!,スラムの期待の星！,Slam expectation star!,0.2
"What do you think, Sakyo-san?",（権田原）どうですかな 左京さん,How is it?,0.1
"These guys are folks we found
in the heart of the amusement district.","あの者たちは都心の歓楽街で
見つけた連中だ","That person is in the city entanglement
It is a series that I found",0.13636363636363635
"Their names are still not well known,",まだ名前は売れてないがね,I have not selling names yet,0.16666666666666666
"but they are the new power
behind a dark mythology I am creating.","これから暗黒神話を作っていく
新勢力だよ","I will make a dark mythology from now on
It's a new power",0.2857142857142857
"They are the only ones who are capable
of overthrowing your Toguro Team.","あなたの戸愚呂チームを
打倒するのはヤツらしかいない","Your Tateo Team team
There is only a guy who beats",0.21052631578947367
Here they come!,（妖怪Ｂ）こら 浦飯 くたばれ！,Koraura Rice!,0.16666666666666666
Don't think you're going home alive!,"（妖怪Ｄ）
生きて帰れると思うな！",Don't think that you can live and go home!,0.42857142857142855
"It's unexpected to be called
traitors by these guys,","裏切り者呼ばわりされるのは
心外だな","It is to be called a trailer
I'm anxious",0.23529411764705882
"Both teams, to the center!",両チーム 中央へ！,Go to the center of both teams!,0.6666666666666666
Kill them all!,（妖怪Ｆ）おい 皆殺しだ！,All all kill!,0.75
"You're sure they're here somewhere, right?","（螢子）
ホントに
ここのどっかに来てるのね","Really
It's coming here somewhere",0.15384615384615385
"Listen, Botan-san!
Because of Yusuke, we nearly died!","（螢子）
いい？　ぼたんさん
幽助のせいで死にかけたんですよ","Good?Bottle
I died because of the yuke",0.1875
"and then say nothing and go off to do
something else dangerous is unpardonable!","黙ってまた危険なことを
してるなんて許せません","Shut up and dangerous
I can not forgive you",0.09523809523809523
"Just what you'd expect
of Yusuke's childhood friends!","（ぼたん）
さすが幽助の幼なじみ
度胸据わってるよ","Susumu Yusuke's childhood friend
I'm addicted",0.1875
"By the way, isn't Koenma-sama here yet?","ところでコエンマ様は
まだ来ないのかしら","By the way, Coenma
I wonder if it does not come yet",0.2777777777777778
"Come on, let's hurry.","（ジョルジュ早乙女）
さ 急ぎましょう",Let's hurry,0.42857142857142855
But...,"（コエンマ）
う… うん しかし…",Uh ... but ...,0.6666666666666666
"Hey, hey, this is that bigwig
Spirit Tealm guy? This puny little kid?","（桑原）
おいおい こいつが
霊界の偉いヤツだと？","Hey this guy
Is it a great guy of the spirit world?",0.3157894736842105
I don't want to be made fun of!,（コエンマ）バカにされたくない,I do not want to be stupid,0.4166666666666667
"Oh, hey there, sonny!","おう そこの兄ちゃん！
いい切符があるぜ","Your brother there!
There is a good ticket",0.16666666666666666
"Right on the edge of the gallery!
You'll be able to see the whole fight!","いちばん端っこの立ち見席
戦いの全景が見られるぜ","The best standpoint
You can see the battle on the battle",0.21052631578947367
How about two million for it?,200万でどうだい？,How is it 2 million?,0.4444444444444444
"As far as tickets go,
I have a VIP seat.","（コエンマ）
券ならＶＩＰ席を持っておる","If there is a ticket, you have a VIP seat",0.3125
I am the Urameshi Team owner.,"（コエンマ）
わしは浦飯チームのオーナーだ",It is the owner of the Uriva team,0.2727272727272727
"Oh, goodness...",（ダフ屋）あ それはそれは…,"Oh, it is ...",0.5
"We were able to suspend
the tournament in the Sprit Realm,","（コエンマ）
霊界では大会を
中止させることもできたが","In the spirit world, the tournament
I was able to cancel it",0.35294117647058826
