en_text,jp_text,google_translated,score,semantic_score
"""Yu Yu Hakusho""",♪〜,♪ ~,0.0,0.1966527
Thank you very much!,〜♪,~ ♪,0.0,0.12332353
"The Urameshi Team has
advanced to the second round.","（ナレーション）
２回戦に進出した浦飯チーム",Uritai team entrained into the second round,0.3333333333333333,0.7175044
"However, even though the time
of the match has arrived,","しかし試合時間が訪れても
飛影と蔵馬は現れなかった","But even if the match time is visited
Flow and Kurama did not appear",0.2,0.60181355
"they were engaged in intense combat
with the other team's battle robot.","森の中で相手チームの
戦闘用ロボットと","Of the other team in the forest
With combat robot",0.4375,0.70397884
"And so, the contest between the
Urameshi Team and the Dr. Ichigaki Team","かくして浦飯チームと
Ｄｒ.イチガキチームの対戦は","With the Uritai team
Dr. Ichigaki team's match",0.2857142857142857,0.8357712
"However, for Yusuke, who could not use
his Rei-gun, it was a tough battle!","だが霊丸を使えない幽助にとって
それは過酷な戦いだった","But it is for a hundredhousing that can not use the spiritualum
It was a harsh battle",0.2916666666666667,0.43131554
"Damn! We can't let ourselves
lose here! What should we do?",どうすれば…,what should I do…,0.13333333333333333,0.3277033
That's good! Drive them back!,"（Ｄｒ.イチガキ）
いいぞ 追い詰めろ",Good luck,0.125,0.21789686
"Drive them, drive them,
then kill them!!",追い詰めて 追い詰めて… 殺せ！,Get stuck and chase ... kill!,0.18181818181818185,0.42666724
Angel Chakram!!,（Ｍ-１号）エンゼルチャクラム,Angel Chakram,0.6666666666666666,0.8978559
Jump!,"（覆面）跳べ！
（桑原）うわっ","jump!
 Wow",0.6666666666666666,0.8538563
"Because they are able to see
those Reiki rings, which are
as sharp as knives...","（覆面）
あのナイフのように
鋭い霊気の輪が見えるせいで…","Like that knife
Because of the sharp spirit ring ...",0.13636363636363635,0.55789506
"...they cannot concentrate on
seeing the remaining two's
invisible Reiki attacks.","（覆面）
残り２人の見えない霊気の攻撃に
集中できない","For the remaining two people who can not see the innocent strain
I can not concentrate",0.2272727272727273,0.34041724
"However, their combinations are
even more precise than a machine's!","しかも相手は機械以上に
正確なコンビネーションだ","And the other party is more than machine
Accurate combination",0.15,0.7098437
"To think that there are humans
that can fight evenly against
Yusuke and the others!","（ジョルジュ早乙女）
幽助たちと
互角に戦える人間がいたとは","With
What kind of person who can fight",0.09523809523809523,0.46643797
"That's quite a surprise,
isn't it, Koenma-sama?",驚きですね コエンマ様,It is a surprise Coenma,0.3333333333333333,0.38304257
"No, it's not even. Those guys
have greater power than Yusuke!","（コエンマ）
いや 互角じゃない
幽助よりもヤツらのほうが力は上だ","No, it is not a mutual
The power is better than Yusuke",0.35,0.74609095
Kill... kill... kill...,（３人）殺す 殺す 殺す…,kill kill kill ...,1.0,0.84372514
"H- hey, hold on a second! Do you
guys really want to fight like this!?","あんたらホントに
この戦いを望んでんのか","Hontantly
Do you want this fight?",0.3157894736842105,0.66593397
...kill... kill...,（３人）殺す 殺す…,kill kill ...,1.0,0.88271827
"What are you doing!?
Get out of there!",何をしている 逃げろ！,What are you doing!,0.5,0.71013963
"What could be the matter
with the Urameshi Team?","（小兎）
浦飯チーム
どうしたことでしょう","Uritan team
What happened",0.18181818181818185,0.64571303
"against the
Dr. Ichigaki Team's attacks!","Ｄｒ.イチガキチームの攻撃に対し
防戦一方です","Dr. against the attack of the Ichigaki team
On the other hand",0.38461538461538464,0.8640701
Kill them! Kill them!,（妖怪たち）やっちまえ！　殺せ！,Yatsu!Kill!,0.5,0.46581736
They're going to lose this match.,"（静流）この試合 負ける
（螢子）え？","Lost this match
?",0.2,0.63211566
"Those are opponents that I'm not
sure they could beat even if
they were fighting earnestly.","真剣に戦っても勝てるかどうか
わからない相手なのに","Whether you can win even if you fight seriously
Even though I do not know",0.15384615384615385,0.568875
there's no way that they can win!,"情に流されている２人には
勝ち目はないわ","Two people who are flowing
There is no win",0.2,0.40445003
T- that can't be...!,そ… そんな,So ...,0.125,0.24413364
"In a normal battle of one-on-one,","ウハハハ １対１の
ノーマルバトルはもちろん","Uhaha Huha 1 to 1
Normal battle, of course",0.3333333333333333,0.69971555
"The probability of them
winning this fight is...","この戦いにおける
我々の勝つ確率は","In this battle
Our probability of winning",0.3333333333333333,0.7116167
99.95 percent!,"99,95パーセント","99,95 percent",0.25,0.8570966
You will win for sure! Kill them!,必ず勝つ！　殺せ！,surely win!Kill!,0.3333333333333333,0.7186826
Kill... kill... kill... kill...,"（Ｍ-３号）
殺す… 殺す… 殺す… 殺す…",Kill ... kill ... kill ... kill ...,1.0,1.0000001
Mask!,（桑原）覆面！,Masked!,0.3333333333333333,0.87668264
"This is turning out to be a more
interesting match than was anticipated.","（戸愚呂弟）
これは予想外に
面白い試合になってきましたね","This is unexpected
It has become an interesting game",0.15,0.5137804
"Yeah. The higher their level,","（左京）
ああ レベルが高いと
人間同士の殺し合いも","Oh, when the level is high
Humans are killed",0.21428571428571427,0.520636
"This isn't a fight that you want
to take on for yourselves, is it?","ヤツらの性格を
凶悪な殺人鬼に変えてあるのだ","The character of the guys
It is changed to a violent murderer",0.17391304347826084,0.109063566
Kill!!,殺せ！,Kill!,1.0,0.9608971
It's no use trying to persuade them!,クックック 説得しても無駄じゃ,It is useless to persuade the cookock,0.2307692307692308,0.48909593
"Their blood-controlling humps, as the
name implies, controls their blood,",操血瘤はその名のとおり血を操る,Annobies candle blood as their name,0.3333333333333333,0.30406296
"and through their blood,
I control their brains!",血液を通して脳を支配し,Control the brain through the blood,0.2727272727272727,0.54917765
"What are you doing!? Your
opponents are trying to kill you!","（ぼたん）
何やってんだい
相手は殺そうとしてんだよ","What
The other party is about to kill",0.1875,0.4264232
"You can't manage anything by just
running away from them, you know!","逃げてばかりじゃ
どうにもならないじゃないか","I'm just running away
I can not help",0.15789473684210525,0.37633353
You have to fight more seriously!,もっと真面目に戦いなさいよ,Please fight more seriously,0.375,0.7933638
"No, we can't! In the dream I
had, these guys had pure hearts!","俺が夢で見たヤツらは
純粋な心の持ち主だった","The guy who saw it in a dream is
It was a pure heart owner",0.16666666666666666,0.56399524
"My name is Ichigaki. I am able
to cure that gentleman's disease.",私ならその方の病気を治せますぞ,I will cure my disease,0.26666666666666666,0.51905775
What!?,（魁）何？,What?,0.6666666666666666,0.8005564
"However, there is one condition.","（Ｄｒ.イチガキ）
ただし１つ条件があります","However, there is one condition",0.8571428571428571,0.98006034
That's right...,"（梁）条件？
（Ｄｒ.イチガキ）そうです","condition?
 That's right",0.5,0.38872236
"We'll accept any condition you have,
if you can heal our master's disease!","私の実験に
つきあっていただけますかな？","In my experiment
Can you have any questions?",0.19047619047619047,0.032928642
"In that case, you, and you...","では あなたとあなた
それに あなた","Then you and you
And you",0.25,0.74104106
"They are only being used in
that dirty geezer's experiment","あのクソじじいの実験に
利用されただけなんだ","In that fucking experiment
I'm just used",0.26666666666666666,0.52340525
"because they wanted to
save their master's life!",恩師の命を助けたいばっかりに,I want to help my life's life,0.21428571428571427,0.14082566
Dammit!,"（Ｍ-３号 ）ハーッ！
（幽助）あっ えっ","Her!
 Yes",0.25,0.2127412
"And it's not even these guys
that we really have to defeat!","ホントに倒さなきゃなんねえのは
こいつらじゃねえのに","It's really dead
Even though this guy is",0.21052631578947367,0.26032963
What are we supposed to do!?,どうすりゃいいんだ,What should i do,0.2,0.37117603
Swing Crash!!,スイングクラッシュ,Swing crash,0.6666666666666666,0.8840752
"By holding back,
losing, and dying,","手加減して
お前たちが負けて死ねば","Being careful
If you lose and die",0.07692307692307693,0.54250747
"do you think those guys
are going to be saved!?",ヤツらが救われるってのか？,Is the guy saved?,0.13333333333333333,0.62513113
She's hot!,"（覆面）
何を迷ってんだ　バカどもめが",What a lost she is a stupid,0.1111111111111111,0.20976764
"Oh, my! The Masked Contestant
has returned on the count of 9!","カウント９で戻った
覆面選手だが","I returned to Count 9
Masked player",0.25,0.67044425
I wonder who that is.,"（螢子）誰なのかしら
（静流）う〜ん",Who is,0.3333333333333333,0.54132825
"It's not, is it?",そのままフェンスに激突,Clash the fence as it is,0.2,0.25731528
Truly a surprise! I am at a loss!,"幻海師範だとばかり思っていたのに
違ったんですね","I thought it was just a phantom dance
It was different",0.13333333333333333,0.07734364
"Now one of the Dr. Ichigaki Team's
members has fallen from the sky!","Ｄｒ.イチガキチームのメンバーが
降ってきました","Dr. Members of the Ichigaki Team
It has fallen",0.4666666666666667,0.881454
What's that!?,何なの？,What's?,0.6,0.4971594
M- my battle robot!?,わ… わしの戦闘用ロボットか？,Wow ... Wow Battle Robot?,0.375,0.7555711
Hiei! Kurama!,飛影！　蔵馬！,Tobikage!Kurama!,0.5,0.690478
"We heard everything from
that guy we just threw out.","（飛影）
今投げたヤツから話は全て聞いたぜ",I heard everything from the guy who threw it now,0.3333333333333333,0.6298648
"Those three are the beloved
pupils of a famous martial artist,","（蔵馬）
その３人は
高名な武術家の愛弟子であり","Three people
It is an admission child of a high-name martiesist",0.15,0.38304445
