en_text,jp_text,google_translated,score
It looks like you're enjoying yourself.,〈（ミストルティン）楽しそうだね〉,< It looks fun>,0.18181818181818182
What can you see from those depths?,〈で　何が見えるの　そこから？〉,<What is what you see?>,0.36363636363636365
I can see the face of your cruelty.,〈（飯島）お前の残忍な顔が\N飢えている心が見える〉,< You can see your brutal face \ N hungry heart>,0.23529411764705882
This is the first time I've had a vessel so similar to myself.,〈でもアンタみたいに\N気の合う器は初めて〉,<But it's like an anti-N-I-N career for the first time>,0.12
You taught me a thrilling pastime.,〈アンタは私にワクワクするような\N遊びを教えてくれた〉,<Anta taught me \ N play to be excited>,0.125
"Sow seeds without water, and flowers won't blossom.",〈種をまいて　水をやって\N花が咲く前に…〉,<Main water and do water \ N before flowers bloom ...>,0.15
Harvest them.,〈（飯島）刈り取る〉,< Mowing>,0.0
Whether you let them come true or not is another matter.,〈かなえてやるかどうかは\N別として〉,<Whether to do it or not by \ n>,0.15
Kawanami.,〈河浪　橘〉,<Kawakanakabana>,0.0
All the pieces are in place.,〈駒は揃った〉,<Some pieces are aligned>,0.18181818181818182
All that's left...,〈あとは…〉,<later…>,0.0
Kowareta Kurayami Naiteru Kimi no Kage,壊れた暗闇  泣いてる君の影,Broken dark crying Your shadow,0.0
Can I ever go back?,もう戻れはしないの？,Aren't you going back anymore?,0.18181818181818182
Ano Hibi Ano Yume Ano Kibou wa,あの日々  あの夢  あの希望は,That day that dream that hope is,0.0
Can I really trust this sky?,この空は本物？,Is this sky real?,0.3333333333333333
The colors change whimsically,気まぐれ  突然  色を変えてく,Change the mind suddenly,0.3333333333333333
Go forth!,越えて,Beyond,0.0
"Get over the wall, to the other side",その壁の向こう側へ,To the other side of the wall,0.5555555555555556
Kurutteyuku Sekai no Kakera ga,世界のカケラが,Global Kakera,0.16666666666666666
Offering Early Morning,（医師）さすが治りが早いのう→,", but the cure is early →",0.1111111111111111
"If you push yourself too hard, it'll start hurting again, although it should be fine for everyday activities.",また無理をすれば\N痛むじゃろうが→,If you imposse it again \ Nu hurts →,0.16
"That's great news. If we knew how it would've turned out, Merry and I might not have come with you this morning.",これなら　私もメリーも　朝から\N付き添うことなかったかも,"If this is also Mary and Merry, I did not hit \ N",0.21212121212121213
I guess you're right.,（勇魚）よかったね　夢路,I'm glad Yumeji,0.1111111111111111
"Merry, we have some time before school. How about we head to the donut shop?",メリー　学校まで\N少し時間があるから,Because there is a little time to Mary School,0.13043478260869565
Definitely! I'll have the Chocolate Criminal Donut.,（メリー）賛成！\Nアタシ　ハニーチョコドーナツ,favor!\ Natasi Honey Chocolate Donut,0.21428571428571427
"I'll also get a Squid Melon Donut, another with chili pepper peanut cream, and another one, and one more...",あと　イカメロンドーナツと\N唐辛子ピーナツクリームと,After that Ikameron donut and \ N pepper peanut cream,0.20833333333333334
I'll save you for sure.,〈勇魚　絶対に助けてやるからな〉,<Because I will help you with yourself>,0.14285714285714285
It's time.,それは　ちょっと食べすぎだぞ,It's a bit too much,0.25
"Hey Merry, where are you taking me?",ねえ　メリー\Nどこに連れていくの？,Hey Mary \ N Where are you taken?,0.38461538461538464
We won't have time to go to the donut shop.,ドーナツ屋さん\N行く時間なくなっちゃうよ,Donut shop \ N \ N.,0.23076923076923078
But play along for a bit.,ちょっとだけ,Just a bit,0.25
What're you up to?,ゆめじどの？,What is it?,0.25
Where am I?,どこなの　ここ？,Where is it?,0.3333333333333333
I know you're there.,そこにいるのは分かっている\N私の名は　エンギ?スリーピース,I know that there is \ N.,0.4
Please show yourself.,姿を見せてくれ,Show me the figure,0.14285714285714285
What is your name?,名は？,name is?,0.6
This is the Dream Demon inside Isana...?,〈パレイト　この夢魔が　勇魚の…〉,<Palite This Dream Devil is a guy ...>,0.26666666666666666
Today's\Nscheduled\Nexams are,パレイト,Pallite,0.0
So you didn't want to make Isana your vessel?,それじゃアンタは　サナを\N器にしたかったわけじゃないの,"Well then, I didn't want to make Sana \ N",0.2777777777777778
I was interested in Reality.,（パレイト）現実には\N興味はありました→,I was interested in \ N.,0.625
I wanted to go back as soon as I had a look at it.,でも　のぞいたら\Nすぐ帰るつもりで…,But if you look back \ N. I'm going back soon ...,0.19047619047619047
Mistilteinn Treesea's power is probably to blame.,（エンギ）恐らく樹海\Nミストルティンの力だろう,probably the power of N mistrestin,0.15384615384615385
She forces Dream Demons into human vessels and ultimately obliterates them.,人間の器に　夢魔を\N無理やり組み込んだ上,A dream magic to human vessels \ N,0.17647058823529413
Why did Mistilteinn choose Tachibana?,でも　どうしてミストルティンは\N橘さんを？,But why Mistortin is \ N Tachibana?,0.2727272727272727
"That, I don't know.",（エンギ）それは分からん→,I do not know →,0.3333333333333333
Was it a coincidence? Is there some purpose to it?,偶然なのか　何か意図があるのか,Is there any intention to do?,0.3076923076923077
I kept trying to return.,まとめて葬るつもりだ,I'm going to bury it together,0.18181818181818182
But I couldn't get back to the Dream World.,だけど帰れなかった,But I could not go back,0.3076923076923077
I understand.,分かるよ,I understand,0.6666666666666666
"Hey, Yumeji.",ねえ　夢路,Hey Yumeji,0.5
Send this poor guy back?,アタシ　この子\N送り返せないかな？,Atashi This child \ N Do you not send back?,0.3076923076923077
"If I do that, Sana won't be targeted by Mistilteinn anymore, either.",そうすればサナだって　ミストルティンに\N狙われることもないでしょ？,"If you do so, you're Sana and you're not aiming for Mistortin.",0.21739130434782608
That's why I should...,だから　その…,So that ...,0.2857142857142857
I'm sorry. I know.,ごめん　分かってる,I know sorry,0.6
Sana's dreams are at stake.,サナの夢が懸かってるんだもんね,Sana's dreams are taking place,0.4444444444444444
She says the other night a giant bird flew at her in a open field.,たまには例の「ハーッ」で\N見てあげてよ「ハーッ」で,"Sometimes I watch \ N at the example ""Her"", ""Har ...",0.11538461538461539
"There's no need. Yumeji, you don't have to do it.",いいってば\N夢路　やらなくていいよ,If it is good \ N \ n Yumeji Do not do it,0.15789473684210525
My bad. Lately I haven't been able to see anything clearly.,何か最近　変な夢見るって,I have a strange dream,0.125
Is that an attempt at slapstick comedy?,藤原君にも\Nスランプなんてあるんだ？,Is there a \ N Slightly for Fujiwara?,0.13333333333333333
What do you mean?,どういう意味だよ！？,What does it mean!?,0.375
Even if I did look...,〈見えたって…〉,<I saw ...>,0.2222222222222222
If only I had more strength. If I had the power to fight Dream Demons.,〈俺にもっと力があれば〉,<If I have more power>,0.25
"But I suppose a hollow husk of a doll with no future or purpose,",教師に対して\Nずいぶん反抗的な目だな,\ N a lot of anti-reactive eyes for teachers,0.09523809523809523
What are you implying?,何が言いたいの！？,What do you want to say!?,0.3
I'll kill Tachibana's Dream Demon today.,今日　橘の夢魔をやる→,Today Tachibana's Yumeji →,0.2727272727272727
I'm looking forward to your attempt at revenge.,お前らの復讐\N楽しみにしてるからな,You are looking forward to your revenge \ N,0.35714285714285715
"By the way, what exactly is Fujiwara?",内申書どうこうなんて脅しは…,The threat is what happens ...,0.25
I heard he can see people's dreams or something to that effect.,人の夢が見えるとかって話だがよ,It is said that it is said that people's dreams can be seen,0.2631578947368421
Do you plan on telling Fujiwara?,〈（レオン）藤原に\N伝えるつもりか？〉,< Do you intend to convey \ N to Fujiwara?>,0.2857142857142857
But do not forget this — we are here for revenge only.,〈俺達は　復讐のためだけに\Nここにいる　味方はいない〉,"<We are only for revenge \ n ""There is no ally here>",0.2727272727272727
"I'm so sorry, Saki.",夢路もごめん　先帰ってて,I'm sorry I'm sorry,0.42857142857142855
There's a painting in the art classroom that I really want to finish.,美術室で　どうしても\N仕上げたい絵があるの,I have a picture that I want to finish \ N,0.3157894736842105
I'm just surprised that you got permission to use the classroom so close to exam time.,それにしても　よく許可\Nもらえたわね　テスト期間なのに,"Even so, I got permission \ N I got it for the test period",0.2
Mr. Ijima did that?,飯島先生が？,Mr. Iijima?,0.3333333333333333
That's why I should do my best to paint.,それがね　顧問の先生は\Nダメって言ったんだけど,That's why the adviser teacher said \ N.,0.23529411764705882
Kawanami?,河浪さん？,Mr. Kawanami?,0.6666666666666666
Are you sure the teachers didn't see you?,先生達に見つからなかったか？,Didn't you find it?,0.36363636363636365
It was a real challenge keeping it up since this morning.,まあね　朝から結構苦労したけどね,I had a hard time since morning,0.2
I was never more than 50 meters away from Sana.,絶対に　サナから５０メートル以上\N離れない所にいたよ,I absolutely I was in a place where I can not leave 50 meters or more from Sana,0.35
Good work.,ご苦労さん,Hard work,0.25
It would have been nice if she'd headed straight home.,できれば　まっすぐ帰ってくれると\Nありがたかったんだけどな,"If possible, I would appreciate it when I came back straight.",0.2631578947368421
"How long have you been there, Mr. Ijima?",先生　いつからそこに？,Teacher someday there?,0.16666666666666666
"Well you know, you looked so focused that I didn't want to disturb you.",いや　あんまり集中してたから\N声かけづらくて,No so much focused \ N.,0.15789473684210525
I can only paint dreamlike pictures.,夢みたいな絵しか描けなくて,I can not draw a picture like a dream,0.15384615384615385
"I always wanted to learn how to sketch or draw some animals,",もう少しデッサンとか　静物画とか\N勉強したかったんですけど,I wanted to study a little more drawing or a still life or something,0.2
but up until now I hadn't approached painting very seriously.,真剣に\N向き合ってこなかったんです,Seriously I did not face \ N,0.11764705882352941
But you helped me realize that painting is my dream.,それが私の夢だって,That is my dream,0.36363636363636365
Then you won't mind if I harvest it.,なら　刈り取られても\N文句はないな？,"If it is reaped even if it is cut, there is no complaint?",0.10526315789473684
What?,先生？,teacher?,0.3333333333333333
Welcome to my sea of trees.,ようこそ　アタシの樹海へ,Welcome to the Sea of Atashi,0.4444444444444444
Miss Sacrifice.,もう　器が\Nこんなになってるってのに,Another bowl \ N.,0.14285714285714285
Who are you?,あなたは？,you?,0.5
The main dish is ready.,メインディッシュは,Main dish,0.3333333333333333
"You're my main dish, so don't run away.",私のメインディッシュなんだから\N逃げないでね,"Because it is my main dish, don't run away \ N",0.47058823529411764
Here I come to eat you.,さ～てと　食べちゃおう,Let's eat,0.1111111111111111
Where should I start cutting you up?,どこから刻んであげようか,Where should I go from,0.3
Stop!,やめろ！,Stop!,1.0
So you're Treesea?,アンタが樹海ね？,Anta is the sea sea?,0.1111111111111111
You're so cool!,カッコいい！,that's cool!,0.2857142857142857
I'm not sure that you'll enjoy it.,そうね　アンタに\Nそんな余裕があるのかしら,That's why I have \ N.,0.2
Have you noticed yet?,気がついた　やっと？,Finally I realized?,0.125
What a lame hat.,ダッサイ帽子ね　デカイし,Dassai hat,0.16666666666666666
It's huge.,出てきたからには\N楽しませてくれるんでしょうね,It will be \ N.,0.25
Give me my hat back!,アタシの帽子　返しなさいよ！,Return Atashi's hat!,0.2222222222222222
You're weak.,弱いんだ,Weak,0.25
Thanks for waiting.,お待たせ,Kept waiting,0.2
Stop it!,やめろー！,Stop!,0.6666666666666666
Yumeji.,夢路…,Yumeji ...,0.3333333333333333
Where should I impale you?,どこを刺してあげようか,Where should I stabb it,0.375
Sounds like it might hurt.,結構　痛いかも,It is quite painful,0.1111111111111111
"This is the leg you injured, right?",このままじゃ　パレイトは…,"This time, Palite is ...",0.25
Mr. Ijima? Why are you here?,飯島先生　どうして　ここに！？,Iijima Teacher Why Here!?,0.3
Why? Because this is Mistilteinn's and my world.,どうして？　ここが\N俺とミストルティンの世界だからだよ！,Why?This is because it is the world of Mistortin and Mistortin!,0.4375
Your teacher is Mistilteinn's vessel?,夢路の先生が　ミストルティンの器！？,Yumeji teacher is Mistertin's bowl!?,0.36363636363636365
That's a nice expression.,痛めたのは　こっちの脚だよな？,It's a painful leg?,0.2
It's the look of someone who's been betrayed by someone he trusted.,いいぞ　その顔　信じてたものに\N裏切られたときの顔だ,It's good I'm a face when I was betrayed by the face I believed,0.23809523809523808
I'll give you one more thing to despair about.,もう一つ　絶望させてやろう,Let's do it more despair,0.13333333333333333
That Dream Demon is certainly Mistilteinn's enemy. But he's not your ally.,あの夢魔は　確かに\Nミストルティンの敵だ,That dreamer is certainly the enemy of \ N Mistortin,0.2
Do you know what they've been doing this whole time while Mistilteinn was exterminating Dream Demons?,アイツらが\N何をしたか知ってるか？,Do you know what \ \ N did you do?,0.23809523809523808
"Not a thing, pretending they're not there.",もしかしたら　アイツが\N助けてくれるかもしれない,If there is a guy may help \ N,0.125
It's time for you to give up.,諦めた方がいいぞ,It is better to give up,0.36363636363636365
How does it feel knowing your friend's dreams are about to be crushed?,ねえ　どう　お友達の夢が\Nもうすぐ壊されるって気持ちは？,Hey How do you feel that your friend's dream is \ N?,0.2608695652173913
Sana.,サナ…,Sana ...,0.3333333333333333
Isana!,勇魚！,Building!,0.3333333333333333
"It'll be easier for her if her heart is broken, too.",そのまま心が壊れちまった方が\N橘にとっては幸せだ,"If the mind is broken as it is, it is happy for \ N Tachibana",0.3
You came to see me yesterday?,《昨日　来てくれたんだって？》,"""What did you come yesterday?""",0.25
Is it an animal?,《動物？》,"""animal?""",0.2857142857142857
"I decided that I want to be friends with you, Kawanami.",《決めちゃったんだ\N河浪さんと友達になるって》,"""I decided to be a friend with Mr. Naman""",0.2777777777777778
I will protect Isana.,お友達だけは\Nそうもいかねえってか,Only your friends are \ N.,0.09090909090909091
She's my precious friend.,私の大切な友達だもの,My important friend,0.2857142857142857
"You don't mind watching people you don't know get killed, but you won't let it happen to a friend.",知らねえヤツなら見殺しにしても,Even if it is a guy who does not know,0.11538461538461539
