en_text,jp_text,google_translated,score,semantic_score
The dreams we see while we're asleep,〈（夢路）\N俺達が寝ている間に見てる夢は〉,< \ n A dream that we see while we are sleeping>,0.1875,0.8120307
to come here?,〈こっちに来ようとしている…　か〉,<I'm trying to come here ...?,0.4444444444444444,0.5732416
"It still doesn't feel real to me,",とにかく捜さなくっちゃな,"Anyway, it is not searched",0.15384615384615385,0.2152727
Merry Nightmare,アイツを,Aid,0.0,0.14171222
Kowareta Kurayami Naiteru Kimi no Kage,壊れた暗闇  泣いてる君の影,Broken dark crying Your shadow,0.0,0.038253073
Can I ever go back?,もう戻れはしないの？,Aren't you going back anymore?,0.18181818181818185,0.5795087
The colors change whimsically,気まぐれ  突然  色を変えてく,Change the mind suddenly,0.3333333333333333,0.22082451
Go forth!,越えて,Beyond,0.0,0.22129585
"Get over the wall, to the other side",その壁の向こう側へ,To the other side of the wall,0.5555555555555556,0.8326945
Zurete Yuku Sekai no Kakera ga,世界のカケラが,Global Kakera,0.14285714285714285,0.5705544
The walls shatter and fade away like a daydream,剥がれ落ちて消えてゆくわ,It disappears and disappears,0.09090909090909093,0.26338845
flying!,みなと　飛んでます,Everybody is flying,0.25,0.5742701
Is this all you needed to buy?,買い物　これで全部か？,Shopping All now?,0.2,0.36125138
"I'm a man, after all.",なんの　なんの　男だからなあ,What a man,0.2222222222222222,0.49881807
Did you figure out,（勇魚）うん　大丈夫\N付き合ってくれてありがとね　夢路,ん 大 \ \ \ Thank you for meeting,0.1,0.05696727
where Merry is?,分かった？　メリーの行方,Do you get it?Merry's way,0.2,0.6910542
if she went off someplace far away,全然　遠くに行ったのか,Was it far far far,0.1111111111111111,0.33279052
or if she's still in the city.,まだ　この町にいるのかも\Nさっぱりだ,It may still be in this town \ N is refreshing,0.1111111111111111,0.30543986
But I'll definitely find her.,でも　絶対見つける,But I will definitely find,0.5,0.6990642
I've decided.,ああ　決めたんだ,Oh I decided,0.4,0.57919586
I wan't to help her.,ほっとけないんだね,I can't relax,0.2222222222222222,0.24709336
That's a bad habit of yours.,悪い癖だね\Nまあな,It's a bad habit \ N,0.3636363636363637,0.7744793
I think that side of you,立派だと思うよ,I think it is a good,0.2,0.3318614
"When Merry comes back,",メリーが帰ってきたら\Nドーナツ　たくさん食べさせようね,If Merry comes back \ Nezu Naddo Let's eat a lot of donuts,0.1875,0.590399
Don't you just wan't to eat them yourself?,お前が食べたいだけじゃねえのか,Do you just want to eat?,0.5454545454545454,0.6165901
That's not true!,そんなことないよ,That's not true,0.8,0.7841261
Today's best sprain goes to...,今日のベストグリッチョは,Today's Best Glitcho,0.375,0.44288167
Scorpio!,さそり座の君だ！,Scorpio's you!,0.5,0.91892904
Yay! I'm going to be lucky today.,やった　今日はツイてるって,Today I did today,0.18181818181818185,0.3710668
"I don't really care but,",（咲）どうでもいいけど,I do not care,0.375,0.68018776
why is a super hero doing fortune telling anyway?,何で特撮ヒーローが\N占いなんかしてんの,Why special effects Hero is \ N fortune telling,0.35714285714285715,0.7388591
It's pretty accurate.,すごいです,it's great,0.3333333333333333,0.36316243
And unfortunately today's bad sprain,そして\N今日のバッドグリッチョは,And \ N Today's Bad Glitchio,0.4444444444444444,0.33024082
"And you just said it yourself, it's accurate.",当たるって\N言ったばかりなのにね,"I just hit \ N, I just said",0.21428571428571427,0.40093353
