en_text,jp_text,google_translated,score
This power... it is indeed the princess's.,≪この力　やはり姫様の…≫,«This power still princess's ...»,0.38461538461538464
You're still inexperienced!,まだまだ未熟！,Still immature!,0.3333333333333333
"What the hell, Hakaze?!",おい　葉風　あいつ強すぎるだろ！,Hey leaf wind Atsushi too strong!,0.07692307692307693
I told you that!,だから言ったであろう！,So I would say!,0.25
"He is a true mage,",ヤツは　本物の魔法使いだ。→,The guy is a real wizard.→,0.2
unlike yourself who can only use limited magic and talismans.,使える魔具も魔法も 限られているお前とは違う。→,Magic that can be used is different from you with magic.→,0.1
"You were a fool from the start, trying to fight a Kusaribe in the city.",だいたい　町なかで 鎖部の者と戦おうというのが→,It is said that it will fight with the chain part in the town →,0.12
It's already used up.,ちっ！　もう終わりか。,Chicken!Is it over?,0.09090909090909091
"Let's see, what should I do now?",さて　どうするかな。 腹も減ってきたし…。,What do you do?The belly is also decreasing ....,0.16666666666666666
"Oh, thanks...",おっ　助かる。　えっ？,It is saved. eh?,0.0
The hell? Are you stupid?,お前　バカか!?,Do you like stupid?,0.375
I said you didn't have to stay with me!,俺につきあう義理はないって 言っただろ！,I said that there is no law to meet you!,0.29411764705882354
"I imagined my girlfriend scolding me and saying,",友達を大事にしない人は 嫌いですって→,If you don't care about your friends →,0.0
"""I don't like people who aren't good to their friends.""",彼女に怒られそうでね。,She seems to be angry.,0.1111111111111111
Don't worry about what some chick says.,情けねぇな。 女の言うことなんて気にすんなよ。,I'm sorry.I'm worried about what a woman says.,0.26666666666666666
Maybe you should worry a little more about what people say.,お前は　人の言うこと気にしろよ。 あっ。,Don't worry about what you say.Ah.,0.3333333333333333
It's him.,ヤツだ。 ヤツって？,It is a guy.Is it a guy?,0.1111111111111111
Sorry.,ごめん。 いいから合わせろ！,sorry.Take advantage of good!,0.0
See? I told you it'd work.,なっ？　うまくいっただろ。,?It works well.,0.2727272727272727
"If we'd messed up, that car could've blown up.",下手したら 車ごと　バラバラだったけどね。,"When I was not good, it was a barbarara everybody.",0.09523809523809523
That's why I told you to keep up.,だから合わせろって言ったんだよ。,So I told you.,0.36363636363636365
You won't gain anything by fighting Natsumura right now!,今　夏村と戦っても益はない。 黙れよ。,There is no benefit from fighting Natsumura now.Shut up.,0.10526315789473684
"Besides, if I have to run from a guy like that,",第一 あんなのから逃げる程度じゃ→,The degree to escape from the first thing →,0.1111111111111111
Getting closer to his sister's killer,≪妹を殺した犯人に近づいて→,«Closer to the criminal who killed my sister →,0.21428571428571427
has him more worked up than I'd expected.,思ったより気が立っていたか≫,Was more fonder than I thought »,0.21428571428571427
